"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"vs. CHI","1 out of 5 stars","A+","12.9"
"2","Tyreek Hill",KC,"at TB","4 out of 5 stars","A+","12.8"
"3","Keenan Allen",LAC,"at BUF","2 out of 5 stars","A+","12.0"
"4","D.K. Metcalf",SEA,"at PHI","3 out of 5 stars","A+","11.9"
"5","Stefon Diggs",BUF,"vs. LAC","2 out of 5 stars","A+","11.8"
"6","DeAndre Hopkins",ARI,"at NE","4 out of 5 stars","A","11.5"
"7","Terry McLaurin",WAS,"at DAL","5 out of 5 stars","A","11.2"
"8","Tyler Lockett",SEA,"at PHI","3 out of 5 stars","A","11.2"
"9","Calvin Ridley",ATL,"vs. LV","4 out of 5 stars","A","11.0"
"10","A.J. Brown",TEN,"at IND","3 out of 5 stars","A","11.0"
"11","Will Fuller V",HOU,"at DET","4 out of 5 stars","A","10.8"
"12","Adam Thielen",MIN,"vs. CAR","1 out of 5 stars","A","10.2"
"13","Justin Jefferson",MIN,"vs. CAR","1 out of 5 stars","A","9.8"
"14","Cooper Kupp",LAR,"vs. SF","2 out of 5 stars","A-","9.8"
"15","Michael Thomas",NO,"at DEN","2 out of 5 stars","A-","9.4"
"16","Diontae Johnson",PIT,"vs. BAL","2 out of 5 stars","A-","9.4"
"17","Robert Woods",LAR,"vs. SF","2 out of 5 stars","A-","9.4"
"18","Mike Evans",TB,"vs. KC","2 out of 5 stars","A-","9.4"
"19","Brandin Cooks",HOU,"at DET","4 out of 5 stars","B+","9.2"
"20","Chase Claypool",PIT,"vs. BAL","2 out of 5 stars","B+","9.0"
"21","Allen Robinson II",CHI,"at GB","2 out of 5 stars","B+","8.9"
"22","Chris Godwin",TB,"vs. KC","2 out of 5 stars","B","8.9"
"23","D.J. Moore",CAR,"at MIN","4 out of 5 stars","B","8.8"
"24","Amari Cooper",DAL,"vs. WAS","2 out of 5 stars","B","8.7"
"25","Robby Anderson",CAR,"at MIN","4 out of 5 stars","B","8.5"
"26","DeVante Parker",MIA,"at NYJ","5 out of 5 stars","B","8.5"
"27","D.J. Chark Jr.",JAC,"vs. CLE","4 out of 5 stars","B-","8.5"
"28","Marvin Jones Jr.",DET,"vs. HOU","4 out of 5 stars","B-","8.4"
"29","Antonio Brown",TB,"vs. KC","2 out of 5 stars","B-","8.3"
"30","JuJu Smith-Schuster",PIT,"vs. BAL","2 out of 5 stars","B-","8.0"
"31","CeeDee Lamb",DAL,"vs. WAS","2 out of 5 stars","B-","8.0"
"32","Curtis Samuel",CAR,"at MIN","4 out of 5 stars","B-","8.0"
"33","Christian Kirk",ARI,"at NE","4 out of 5 stars","C+","8.0"
"34","Darius Slayton",NYG,"at CIN","5 out of 5 stars","C+","7.9"
"35","Julio Jones",ATL,"vs. LV","4 out of 5 stars","B+","7.9"
"36","Michael Pittman Jr.",IND,"vs. TEN","4 out of 5 stars","C+","7.8"
"37","Mike Williams",LAC,"at BUF","2 out of 5 stars","C+","7.7"
"38","Tyler Boyd",CIN,"vs. NYG","4 out of 5 stars","C+","7.7"
"39","Sterling Shepard",NYG,"at CIN","5 out of 5 stars","C+","7.7"
"40","Jakobi Meyers",NE,"vs. ARI","4 out of 5 stars","C+","7.7"
"41","Jerry Jeudy",DEN,"vs. NO","3 out of 5 stars","C","7.7"
"42","Tee Higgins",CIN,"vs. NYG","4 out of 5 stars","C","7.6"
"43","Jalen Reagor",PHI,"vs. SEA","5 out of 5 stars","C","7.6"
"44","Corey Davis",TEN,"at IND","3 out of 5 stars","C","7.5"
"45","Nelson Agholor",LV,"at ATL","5 out of 5 stars","C","7.5"
"46","Cole Beasley",BUF,"vs. LAC","2 out of 5 stars","C","7.5"
"47","Jarvis Landry",CLE,"at JAC","4 out of 5 stars","C","7.3"
"48","Travis Fulgham",PHI,"vs. SEA","5 out of 5 stars","C","7.3"
"49","Breshad Perriman",NYJ,"vs. MIA","3 out of 5 stars","C","7.3"
"50","Jamison Crowder",NYJ,"vs. MIA","3 out of 5 stars","C-","7.0"
"51","Tim Patrick",DEN,"vs. NO","3 out of 5 stars","C-","7.0"
"52","Marquise Brown",BAL,"at PIT","5 out of 5 stars","C-","6.9"
"53","Michael Gallup",DAL,"vs. WAS","2 out of 5 stars","C-","6.8"
"54","Denzel Mims",NYJ,"vs. MIA","3 out of 5 stars","D+","6.8"
"55","Brandon Aiyuk",SF,"at LAR","1 out of 5 stars","C-","6.6"
"56","T.Y. Hilton",IND,"vs. TEN","4 out of 5 stars","D","6.5"
"57","KJ Hamler",DEN,"vs. NO","3 out of 5 stars","D","6.3"
"58","Josh Reynolds",LAR,"vs. SF","2 out of 5 stars","D","6.2"
"59","Rashard Higgins",CLE,"at JAC","4 out of 5 stars","D","6.1"
"60","Mecole Hardman",KC,"at TB","4 out of 5 stars","D","6.1"
"61","Marquez Valdes-Scantling",GB,"vs. CHI","1 out of 5 stars","D","6.0"
"62","Keelan Cole Sr.",JAC,"vs. CLE","4 out of 5 stars","D","6.0"
"63","Henry Ruggs III",LV,"at ATL","5 out of 5 stars","D-","6.0"
"64","Emmanuel Sanders",NO,"at DEN","2 out of 5 stars","D-","6.0"
"65","Allen Lazard",GB,"vs. CHI","1 out of 5 stars","D-","5.9"
"66","John Brown",BUF,"vs. LAC","2 out of 5 stars","C-","5.7"
"67","Deebo Samuel",SF,"at LAR","1 out of 5 stars","D","5.7"
"68","A.J. Green",CIN,"vs. NYG","4 out of 5 stars","F","5.7"
"69","Jakeem Grant",MIA,"at NYJ","5 out of 5 stars","F","5.5"
"70","Anthony Miller",CHI,"at GB","2 out of 5 stars","F","5.5"
"71","Hunter Renfrow",LV,"at ATL","5 out of 5 stars","F","5.5"
"72","Russell Gage",ATL,"vs. LV","4 out of 5 stars","F","5.5"
"73","Cam Sims",WAS,"at DAL","5 out of 5 stars","F","5.4"
"74","Darnell Mooney",CHI,"at GB","2 out of 5 stars","F","5.4"
"75","Damiere Byrd",NE,"vs. ARI","4 out of 5 stars","F","5.0"
"76","Willie Snead IV",BAL,"at PIT","5 out of 5 stars","F","5.0"
"77","Marvin Hall",DET,"vs. HOU","4 out of 5 stars","F","5.0"
"78","Zach Pascal",IND,"vs. TEN","4 out of 5 stars","F","5.0"
"79","Demarcus Robinson",KC,"at TB","4 out of 5 stars","F","5.0"
"80","Keke Coutee",HOU,"at DET","4 out of 5 stars","F","4.8"
"81","Larry Fitzgerald",ARI,"at NE","4 out of 5 stars","F","4.8"
