"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Pittsburgh Steelers",PIT,"at DAL","5 out of 5 stars","A+","9.2"
"2","Washington Football Team",WAS,"vs. NYG","3 out of 5 stars","A","8.9"
"3","New England Patriots",NE,"at NYJ","3 out of 5 stars","A-","8.6"
"4","Houston Texans",HOU,"at JAC","3 out of 5 stars","B+","7.6"
"5","Baltimore Ravens",BAL,"at IND","3 out of 5 stars","B+","7.2"
"6","Kansas City Chiefs",KC,"vs. CAR","2 out of 5 stars","B+","6.9"
"7","Arizona Cardinals",ARI,"vs. MIA","3 out of 5 stars","B","6.8"
"8","Tennessee Titans",TEN,"vs. CHI","3 out of 5 stars","B","6.7"
"9","Green Bay Packers",GB,"at SF","3 out of 5 stars","B","6.6"
"10","Tampa Bay Buccaneers",TB,"vs. NO","1 out of 5 stars","B-","6.6"
"11","New York Giants",NYG,"at WAS","5 out of 5 stars","B-","6.4"
"12","Chicago Bears",CHI,"at TEN","1 out of 5 stars","C+","6.2"
"13","Indianapolis Colts",IND,"vs. BAL","4 out of 5 stars","C","6.2"
"14","Atlanta Falcons",ATL,"vs. DEN","4 out of 5 stars","C","6.2"
"15","Seattle Seahawks",SEA,"at BUF","1 out of 5 stars","C","6.1"
"16","Denver Broncos",DEN,"at ATL","1 out of 5 stars","C-","6.0"
"17","Los Angeles Chargers",LAC,"vs. LV","2 out of 5 stars","C","6.0"
"18","Miami Dolphins",MIA,"at ARI","3 out of 5 stars","D+","5.9"
"19","New Orleans Saints",NO,"at TB","4 out of 5 stars","D+","5.9"
"20","Minnesota Vikings",MIN,"vs. DET","3 out of 5 stars","D","5.7"
"21","Detroit Lions",DET,"at MIN","3 out of 5 stars","D","5.6"
"22","Buffalo Bills",BUF,"vs. SEA","2 out of 5 stars","D-","5.4"
"23","New York Jets",NYJ,"vs. NE","5 out of 5 stars","D-","5.4"
"24","San Francisco 49ers",SF,"vs. GB","1 out of 5 stars","F","5.3"
"25","Las Vegas Raiders",LV,"at LAC","1 out of 5 stars","F","5.3"
"26","Jacksonville Jaguars",JAC,"vs. HOU","1 out of 5 stars","F","5.1"
"27","Dallas Cowboys",DAL,"vs. PIT","1 out of 5 stars","F","4.6"
"28","Carolina Panthers",CAR,"at KC","1 out of 5 stars","F","4.5"
