"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Travis Kelce",KC,"vs. DEN","2 out of 5 stars","A+","11.9"
"2","Darren Waller",LV,"at NYJ","4 out of 5 stars","A","10.3"
"3","T.J. Hockenson",DET,"at CHI","4 out of 5 stars","A-","8.2"
"4","Hunter Henry",LAC,"vs. NE","1 out of 5 stars","B","8.1"
"5","Dallas Goedert",PHI,"at GB","1 out of 5 stars","B","7.3"
"6","Evan Engram",NYG,"at SEA","3 out of 5 stars","B","6.9"
"7","Robert Tonyan",GB,"vs. PHI","3 out of 5 stars","B-","6.1"
"8","Eric Ebron",PIT,"vs. WAS","3 out of 5 stars","C+","5.8"
"9","Hayden Hurst",ATL,"vs. NO","2 out of 5 stars","C+","5.5"
"10","Noah Fant",DEN,"at KC","3 out of 5 stars","C","5.5"
"11","Mike Gesicki",MIA,"vs. CIN","4 out of 5 stars","C","5.3"
"12","Kyle Rudolph",MIN,"vs. JAC","4 out of 5 stars","C-","5.3"
"13","Austin Hooper",CLE,"at TEN","5 out of 5 stars","D+","5.1"
"14","Jordan Reed",SF,"vs. BUF","4 out of 5 stars","D+","5.0"
"15","Trey Burton",IND,"at HOU","4 out of 5 stars","D","4.7"
"16","Dalton Schultz",DAL,"at BAL","3 out of 5 stars","D","4.7"
"17","Jordan Akins",HOU,"vs. IND","1 out of 5 stars","D","4.6"
"18","Anthony Firkser",TEN,"vs. CLE","4 out of 5 stars","D","4.3"
"19","Logan Thomas",WAS,"at PIT","1 out of 5 stars","D","4.2"
"20","Gerald Everett",LAR,"at ARI","3 out of 5 stars","D-","4.1"
"21","Zach Ertz",PHI,"at GB","1 out of 5 stars","D-","4.1"
"22","Jimmy Graham",CHI,"vs. DET","3 out of 5 stars","F","4.1"
"23","Tyler Eifert",JAC,"at MIN","3 out of 5 stars","F","4.0"
"24","Tyler Higbee",LAR,"at ARI","3 out of 5 stars","F","3.6"
"25","Jared Cook",NO,"at ATL","5 out of 5 stars","F","3.4"
"26","Jacob Hollister",SEA,"vs. NYG","2 out of 5 stars","F","3.2"
"27","Mo Alie-Cox",IND,"at HOU","4 out of 5 stars","F","2.9"
"28","Dawson Knox",BUF,"at SF","1 out of 5 stars","F","2.8"
"29","Darren Fells",HOU,"vs. IND","1 out of 5 stars","F","2.7"
"30","Drew Sample",CIN,"at MIA","3 out of 5 stars","F","2.7"
"31","Will Dissly",SEA,"vs. NYG","2 out of 5 stars","F","2.6"
"32","Jack Doyle",IND,"at HOU","4 out of 5 stars","F","2.6"
"33","Chris Herndon IV",NYJ,"vs. LV","3 out of 5 stars","F","2.5"
"34","Cole Kmet",CHI,"vs. DET","3 out of 5 stars","F","2.5"
"35","Dan Arnold",ARI,"vs. LAR","3 out of 5 stars","F","2.4"
"36","Harrison Bryant",CLE,"at TEN","5 out of 5 stars","F","2.3"
"37","Luke Willson",BAL,"vs. DAL","4 out of 5 stars","F","2.2"
"38","Pharaoh Brown",HOU,"vs. IND","1 out of 5 stars","F","2.1"
"39","Ryan Izzo",NE,"at LAC","5 out of 5 stars","F","2.1"
"40","Mark Andrews",BAL,"vs. DAL","4 out of 5 stars","F","2.1"
"41","Ross Dwelley",SF,"vs. BUF","4 out of 5 stars","F","2.0"
"42","Maxx Williams",ARI,"vs. LAR","3 out of 5 stars","F","1.9"
"43","Geoff Swaim",TEN,"vs. CLE","4 out of 5 stars","F","1.9"
"44","Durham Smythe",MIA,"vs. CIN","4 out of 5 stars","F","1.9"
"45","Jason Witten",LV,"at NYJ","4 out of 5 stars","F","1.9"
"46","Richard Rodgers",PHI,"at GB","1 out of 5 stars","F","1.9"
"47","James O'Shaughnessy",JAC,"at MIN","3 out of 5 stars","F","1.8"
"48","Adam Shaheen",MIA,"vs. CIN","4 out of 5 stars","F","1.6"
"49","David Njoku",CLE,"at TEN","5 out of 5 stars","F","1.6"
"50","Jesse James",DET,"at CHI","4 out of 5 stars","F","1.6"
"51","Adam Trautman",NO,"at ATL","5 out of 5 stars","F","1.6"
"52","Nick Vannett",DEN,"at KC","3 out of 5 stars","F","1.5"
"53","Jace Sternberger",GB,"vs. PHI","3 out of 5 stars","F","1.5"
"54","Tyler Conklin",MIN,"vs. JAC","4 out of 5 stars","F","1.5"
"55","Marcedes Lewis",GB,"vs. PHI","3 out of 5 stars","F","1.4"
"56","Ryan Griffin",NYJ,"vs. LV","3 out of 5 stars","F","1.4"
"57","Donald Parham Jr.",LAC,"vs. NE","1 out of 5 stars","F","1.4"
"58","Foster Moreau",LV,"at NYJ","4 out of 5 stars","F","1.4"
"59","Tyler Kroft",BUF,"at SF","1 out of 5 stars","F","1.4"
"60","Kaden Smith",NYG,"at SEA","3 out of 5 stars","F","1.3"
"61","Nick Keizer",KC,"vs. DEN","2 out of 5 stars","F","1.3"
"62","MyCole Pruitt",TEN,"vs. CLE","4 out of 5 stars","F","1.3"
"63","Gabe Nabers",LAC,"vs. NE","1 out of 5 stars","F","1.3"
"64","Vance McDonald",PIT,"vs. WAS","3 out of 5 stars","F","1.2"
"65","Blake Bell",DAL,"at BAL","3 out of 5 stars","F","1.2"
"66","Kahale Warring",HOU,"vs. IND","1 out of 5 stars","F","1.2"
"67","Jaeden Graham",ATL,"vs. NO","2 out of 5 stars","F","1.2"
"68","Eric Tomlinson",BAL,"vs. DAL","4 out of 5 stars","F","1.2"
"69","Troy Fumagalli",DEN,"at KC","3 out of 5 stars","F","1.2"
"70","Deon Yelder",KC,"vs. DEN","2 out of 5 stars","F","1.1"
"71","Luke Stocker",ATL,"vs. NO","2 out of 5 stars","F","1.1"
"72","Josh Hill",NO,"at ATL","5 out of 5 stars","F","1.1"
"73","Lee Smith",BUF,"at SF","1 out of 5 stars","F","1.0"
"74","Brandon Dillon",MIN,"vs. JAC","4 out of 5 stars","F","1.0"
"75","Demetrius Harris",CHI,"vs. DET","3 out of 5 stars","F","1.0"
"76","Cethan Carter",CIN,"at MIA","3 out of 5 stars","F","1.0"
"77","Eric Saubert",JAC,"at MIN","3 out of 5 stars","F","1.0"
"78","Temarrick Hemingway",WAS,"at PIT","1 out of 5 stars","F","0.9"
"79","Jordan Thomas",NE,"at LAC","5 out of 5 stars","F","0.9"
"80","Charlie Woerner",SF,"vs. BUF","4 out of 5 stars","F","0.8"
"81","Jeremy Sprinkle",WAS,"at PIT","1 out of 5 stars","F","0.8"
"82","Isaac Nauta",DET,"at CHI","4 out of 5 stars","F","0.7"
"83","Levine Toilolo",NYG,"at SEA","3 out of 5 stars","F","0.7"
"84","Stephen Carlson",CLE,"at TEN","5 out of 5 stars","F","0.7"
"85","Colby Parkinson",SEA,"vs. NYG","2 out of 5 stars","F","0.6"
"86","Sean Culkin",BAL,"vs. DAL","4 out of 5 stars","F","0.6"
"87","Derek Carrier",LV,"at NYJ","4 out of 5 stars","F","0.6"
"88","Evan Baylis",ARI,"vs. LAR","3 out of 5 stars","F","0.5"
"89","Hunter Bryant",DET,"at CHI","4 out of 5 stars","F","0.5"
"90","Stephen Anderson",LAC,"vs. NE","1 out of 5 stars","F","0.5"
"91","Johnny Mundt",LAR,"at ARI","3 out of 5 stars","F","0.4"
"92","J.P. Holtz",CHI,"vs. DET","3 out of 5 stars","F","0.3"
"93","Mason Schreck",CIN,"at MIA","3 out of 5 stars","F","0.3"
"94","Sean McKeon",DAL,"at BAL","3 out of 5 stars","F","0.3"
"95","Dalton Keene",NE,"at LAC","5 out of 5 stars","F","0.3"
"96","Daniel Brown",NYJ,"vs. LV","3 out of 5 stars","F","0.2"
