"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"at SF","3 out of 5 stars","A+","21.3"
"2","DeAndre Hopkins",ARI,"vs. MIA","3 out of 5 stars","A+","19.8"
"3","Tyreek Hill",KC,"vs. CAR","1 out of 5 stars","A+","19.1"
"4","Julio Jones",ATL,"vs. DEN","3 out of 5 stars","A+","18.8"
"5","Stefon Diggs",BUF,"vs. SEA","5 out of 5 stars","A+","18.3"
"6","D.K. Metcalf",SEA,"at BUF","2 out of 5 stars","A","17.4"
"7","Keenan Allen",LAC,"vs. LV","3 out of 5 stars","A","16.4"
"8","Tyler Lockett",SEA,"at BUF","2 out of 5 stars","A","16.4"
"9","Terry McLaurin",WAS,"vs. NYG","4 out of 5 stars","A","16.3"
"10","Allen Robinson II",CHI,"at TEN","5 out of 5 stars","A","16.3"
"11","Adam Thielen",MIN,"vs. DET","4 out of 5 stars","A","16.1"
"12","Will Fuller V",HOU,"at JAC","4 out of 5 stars","A","15.7"
"13","Michael Thomas",NO,"at TB","3 out of 5 stars","A-","15.4"
"14","A.J. Brown",TEN,"vs. CHI","1 out of 5 stars","A","15.2"
"15","D.J. Moore",CAR,"at KC","2 out of 5 stars","A","14.5"
"16","Robby Anderson",CAR,"at KC","2 out of 5 stars","A","14.2"
"17","Mike Evans",TB,"vs. NO","5 out of 5 stars","A-","14.1"
"18","Justin Jefferson",MIN,"vs. DET","4 out of 5 stars","A-","13.5"
"19","Chase Claypool",PIT,"at DAL","4 out of 5 stars","A-","13.4"
"20","Brandin Cooks",HOU,"at JAC","4 out of 5 stars","B+","13.4"
"21","JuJu Smith-Schuster",PIT,"at DAL","4 out of 5 stars","B+","12.8"
"22","Diontae Johnson",PIT,"at DAL","4 out of 5 stars","B","12.6"
"23","Marquise Brown",BAL,"at IND","3 out of 5 stars","B","12.5"
"24","Amari Cooper",DAL,"vs. PIT","5 out of 5 stars","B","12.5"
"25","D.J. Chark Jr.",JAC,"vs. HOU","5 out of 5 stars","B","12.5"
"26","Marvin Jones Jr.",DET,"at MIN","5 out of 5 stars","B-","12.4"
"27","Mike Williams",LAC,"vs. LV","3 out of 5 stars","C+","12.4"
"28","DeVante Parker",MIA,"at ARI","3 out of 5 stars","B-","12.3"
"29","Jerry Jeudy",DEN,"at ATL","5 out of 5 stars","C+","12.2"
"30","Darius Slayton",NYG,"at WAS","1 out of 5 stars","C+","12.1"
"31","Cole Beasley",BUF,"vs. SEA","5 out of 5 stars","C+","11.9"
"32","Corey Davis",TEN,"vs. CHI","1 out of 5 stars","B-","11.9"
"33","Christian Kirk",ARI,"vs. MIA","3 out of 5 stars","C+","11.9"
"34","Sterling Shepard",NYG,"at WAS","1 out of 5 stars","C+","11.6"
"35","CeeDee Lamb",DAL,"vs. PIT","5 out of 5 stars","C","11.5"
"36","John Brown",BUF,"vs. SEA","5 out of 5 stars","C","11.5"
"37","Henry Ruggs III",LV,"at LAC","3 out of 5 stars","C","11.4"
"38","Antonio Brown",TB,"vs. NO","5 out of 5 stars","C","11.4"
"39","Darnell Mooney",CHI,"at TEN","5 out of 5 stars","C","11.3"
"40","Mecole Hardman",KC,"vs. CAR","1 out of 5 stars","C","10.9"
"41","Laviska Shenault Jr.",JAC,"vs. HOU","5 out of 5 stars","C","10.9"
"42","Michael Gallup",DAL,"vs. PIT","5 out of 5 stars","C","10.6"
"43","Scotty Miller",TB,"vs. NO","5 out of 5 stars","C","10.4"
"44","Curtis Samuel",CAR,"at KC","2 out of 5 stars","C","10.4"
"45","Denzel Mims",NYJ,"vs. NE","2 out of 5 stars","C-","10.3"
"46","Preston Williams",MIA,"at ARI","3 out of 5 stars","C-","10.2"
"47","Keelan Cole Sr.",JAC,"vs. HOU","5 out of 5 stars","C-","9.8"
"48","Russell Gage",ATL,"vs. DEN","3 out of 5 stars","C-","9.8"
"49","Jakobi Meyers",NE,"at NYJ","4 out of 5 stars","C-","9.7"
"50","Zach Pascal",IND,"vs. BAL","2 out of 5 stars","C-","9.5"
"51","Anthony Miller",CHI,"at TEN","5 out of 5 stars","D+","9.4"
"52","Golden Tate",NYG,"at WAS","1 out of 5 stars","D","9.3"
"53","Nelson Agholor",LV,"at LAC","3 out of 5 stars","D+","9.1"
"54","Hunter Renfrow",LV,"at LAC","3 out of 5 stars","D","9.0"
"55","Demarcus Robinson",KC,"vs. CAR","1 out of 5 stars","D","8.9"
"56","Danny Amendola",DET,"at MIN","5 out of 5 stars","D","8.9"
"57","Randall Cobb",HOU,"at JAC","4 out of 5 stars","D+","8.8"
"58","Marquez Valdes-Scantling",GB,"at SF","3 out of 5 stars","D-","8.8"
"59","Tre'Quan Smith",NO,"at TB","3 out of 5 stars","D","8.7"
"60","Jamison Crowder",NYJ,"vs. NE","2 out of 5 stars","C-","8.6"
"61","KJ Hamler",DEN,"at ATL","5 out of 5 stars","F","8.3"
"62","Marcus Johnson",IND,"vs. BAL","2 out of 5 stars","F","8.3"
"63","Damiere Byrd",NE,"at NYJ","4 out of 5 stars","F","8.2"
"64","Braxton Berrios",NYJ,"vs. NE","2 out of 5 stars","F","7.9"
"65","Calvin Ridley",ATL,"vs. DEN","3 out of 5 stars","C-","7.8"
"66","James Washington",PIT,"at DAL","4 out of 5 stars","F","7.3"
"67","Michael Pittman Jr.",IND,"vs. BAL","2 out of 5 stars","F","7.2"
"68","Jalen Guyton",LAC,"vs. LV","3 out of 5 stars","F","7.2"
"69","Marvin Hall",DET,"at MIN","5 out of 5 stars","F","7.1"
"70","Tim Patrick",DEN,"at ATL","5 out of 5 stars","D-","6.9"
