"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"1","Davante Adams",GB,"vs. MIN","5 out of 5 stars","A+","22.0"
"2","Tyreek Hill",KC,"vs. NYJ","3 out of 5 stars","A+","18.3"
"3","Julio Jones",ATL,"at CAR","1 out of 5 stars","A+","17.7"
"4","Calvin Ridley",ATL,"at CAR","1 out of 5 stars","A+","17.3"
"5","D.K. Metcalf",SEA,"vs. SF","2 out of 5 stars","A+","17.2"
"6","A.J. Brown",TEN,"at CIN","5 out of 5 stars","A+","16.9"
"7","Keenan Allen",LAC,"at DEN","2 out of 5 stars","A","16.9"
"8","Adam Thielen",MIN,"at GB","2 out of 5 stars","A","16.3"
"9","Tyler Lockett",SEA,"vs. SF","2 out of 5 stars","A","16.2"
"10","Allen Robinson II",CHI,"vs. NO","3 out of 5 stars","A","16.0"
"11","D.J. Moore",CAR,"vs. ATL","5 out of 5 stars","A","15.8"
"12","Robby Anderson",CAR,"vs. ATL","5 out of 5 stars","A","15.6"
"13","Stefon Diggs",BUF,"vs. NE","3 out of 5 stars","A","15.5"
"14","Justin Jefferson",MIN,"at GB","2 out of 5 stars","A","15.4"
"15","Kenny Golladay",DET,"vs. IND","3 out of 5 stars","A","14.6"
"16","Travis Fulgham",PHI,"vs. DAL","4 out of 5 stars","A-","14.5"
"17","Tyler Boyd",CIN,"vs. TEN","5 out of 5 stars","A-","14.3"
"18","Cooper Kupp",LAR,"at MIA","2 out of 5 stars","A-","14.2"
"19","Mike Evans",TB,"at NYG","4 out of 5 stars","A-","13.7"
"20","Robert Woods",LAR,"at MIA","2 out of 5 stars","A-","13.7"
"21","Amari Cooper",DAL,"at PHI","4 out of 5 stars","A-","13.7"
"22","Tee Higgins",CIN,"vs. TEN","5 out of 5 stars","B+","13.5"
"23","Diontae Johnson",PIT,"at BAL","2 out of 5 stars","B","13.1"
"24","Brandon Aiyuk",SF,"at SEA","5 out of 5 stars","B","12.7"
"25","Jarvis Landry",CLE,"vs. LV","4 out of 5 stars","B","12.4"
"26","Chase Claypool",PIT,"at BAL","2 out of 5 stars","B","11.8"
"27","JuJu Smith-Schuster",PIT,"at BAL","2 out of 5 stars","B","11.8"
"28","Cole Beasley",BUF,"vs. NE","3 out of 5 stars","C+","11.8"
"29","Darius Slayton",NYG,"vs. TB","3 out of 5 stars","B-","11.5"
"30","CeeDee Lamb",DAL,"at PHI","4 out of 5 stars","C+","11.5"
"31","DeVante Parker",MIA,"vs. LAR","1 out of 5 stars","C+","11.4"
"32","A.J. Green",CIN,"vs. TEN","5 out of 5 stars","C+","11.2"
"33","Marquise Brown",BAL,"vs. PIT","5 out of 5 stars","C+","11.2"
"34","Mike Williams",LAC,"at DEN","2 out of 5 stars","C+","11.2"
"35","Corey Davis",TEN,"at CIN","5 out of 5 stars","C+","11.1"
"36","Julian Edelman",NE,"at BUF","1 out of 5 stars","C","10.8"
"37","Sterling Shepard",NYG,"vs. TB","3 out of 5 stars","C","10.7"
"38","Jerry Jeudy",DEN,"vs. LAC","2 out of 5 stars","C","10.7"
"39","Henry Ruggs III",LV,"at CLE","5 out of 5 stars","C","10.6"
"40","Rashard Higgins",CLE,"vs. LV","4 out of 5 stars","C","10.6"
"41","Michael Gallup",DAL,"at PHI","4 out of 5 stars","C","10.4"
"42","Marvin Jones Jr.",DET,"vs. IND","3 out of 5 stars","C","10.2"
"43","T.Y. Hilton",IND,"at DET","4 out of 5 stars","C","10.1"
"44","Tim Patrick",DEN,"vs. LAC","2 out of 5 stars","C","10.0"
"45","Tre'Quan Smith",NO,"at CHI","1 out of 5 stars","C","9.9"
"46","Nelson Agholor",LV,"at CLE","5 out of 5 stars","C-","9.7"
"47","Mecole Hardman",KC,"vs. NYJ","3 out of 5 stars","C-","9.6"
