"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Dalvin Cook",MIN,"at CHI","2 out of 5 stars","A+","17.3"
"2","Aaron Jones",GB,"vs. JAC","5 out of 5 stars","A+","17.1"
"3","Derrick Henry",TEN,"vs. IND","1 out of 5 stars","A","16.0"
"4","James Robinson",JAC,"at GB","5 out of 5 stars","A","15.2"
"5","Alvin Kamara",NO,"vs. SF","1 out of 5 stars","A","13.9"
"6","Josh Jacobs",LV,"vs. DEN","1 out of 5 stars","A","13.9"
"7","Nick Chubb",CLE,"vs. HOU","5 out of 5 stars","A","13.6"
"8","James Conner",PIT,"vs. CIN","3 out of 5 stars","A","13.0"
"9","Miles Sanders",PHI,"at NYG","4 out of 5 stars","A-","11.8"
"10","Chase Edmonds",ARI,"vs. BUF","5 out of 5 stars","A-","11.5"
"11","Mike Davis",CAR,"vs. TB","2 out of 5 stars","A-","11.0"
"12","Antonio Gibson",WAS,"at DET","5 out of 5 stars","B+","10.7"
"13","D'Andre Swift",DET,"vs. WAS","2 out of 5 stars","B+","10.3"
"14","Kareem Hunt",CLE,"vs. HOU","5 out of 5 stars","B+","10.2"
"15","Leonard Fournette",TB,"at CAR","4 out of 5 stars","B","10.0"
"16","Melvin Gordon III",DEN,"at LV","4 out of 5 stars","B","9.9"
"17","Darrell Henderson",LAR,"vs. SEA","2 out of 5 stars","B","9.5"
"18","David Montgomery",CHI,"vs. MIN","3 out of 5 stars","B+","9.5"
"19","Jerick McKinnon",SF,"at NO","1 out of 5 stars","B-","9.3"
"20","Zack Moss",BUF,"at ARI","2 out of 5 stars","B-","8.2"
"21","Jonathan Taylor",IND,"at TEN","5 out of 5 stars","B-","8.0"
"22","J.K. Dobbins",BAL,"at NE","4 out of 5 stars","B-","7.9"
"23","Ronald Jones II",TB,"at CAR","4 out of 5 stars","C+","7.8"
"24","Duke Johnson Jr.",HOU,"at CLE","3 out of 5 stars","C+","7.8"
"25","Chris Carson",SEA,"at LAR","2 out of 5 stars","B","7.6"
"26","Phillip Lindsay",DEN,"at LV","4 out of 5 stars","C+","7.5"
"27","Gus Edwards",BAL,"at NE","4 out of 5 stars","C","7.4"
"28","Devin Singletary",BUF,"at ARI","2 out of 5 stars","C","7.2"
"29","Wayne Gallman",NYG,"vs. PHI","2 out of 5 stars","C","7.0"
"30","Kalen Ballage",LAC,"at MIA","4 out of 5 stars","C","7.0"
"31","J.D. McKissic",WAS,"at DET","5 out of 5 stars","C","6.9"
"32","Jordan Wilkins",IND,"at TEN","5 out of 5 stars","C","6.8"
"33","Damien Harris",NE,"vs. BAL","2 out of 5 stars","C","6.8"
"34","Malcolm Brown",LAR,"vs. SEA","2 out of 5 stars","C","6.8"
"35","Giovani Bernard",CIN,"at PIT","2 out of 5 stars","C","6.6"
"36","Joshua Kelley",LAC,"at MIA","4 out of 5 stars","C-","6.5"
"37","Jamaal Williams",GB,"vs. JAC","5 out of 5 stars","C-","6.4"
"38","Latavius Murray",NO,"vs. SF","1 out of 5 stars","C-","6.4"
"39","JaMycal Hasty",SF,"at NO","1 out of 5 stars","D+","6.3"
"40","Rex Burkhead",NE,"vs. BAL","2 out of 5 stars","D","6.0"
"41","Salvon Ahmed",MIA,"vs. LAC","3 out of 5 stars","D","5.9"
"42","Adrian Peterson",DET,"vs. WAS","2 out of 5 stars","D","5.8"
"43","Nyheim Hines",IND,"at TEN","5 out of 5 stars","D","5.8"
"44","James White",NE,"vs. BAL","2 out of 5 stars","D-","5.8"
"45","DeeJay Dallas",SEA,"at LAR","2 out of 5 stars","D","5.7"
"46","Jordan Howard",MIA,"vs. LAC","3 out of 5 stars","D-","5.7"
"47","Alexander Mattison",MIN,"at CHI","2 out of 5 stars","F","5.6"
"48","Joe Mixon",CIN,"at PIT","2 out of 5 stars","C-","5.5"
"49","Kerryon Johnson",DET,"vs. WAS","2 out of 5 stars","F","5.4"
"50","Boston Scott",PHI,"at NYG","4 out of 5 stars","F","5.1"
"51","David Johnson",HOU,"at CLE","3 out of 5 stars","C-","4.6"
"52","Cam Akers",LAR,"vs. SEA","2 out of 5 stars","F","4.6"
"53","Benny Snell Jr.",PIT,"vs. CIN","3 out of 5 stars","F","4.5"
"54","Devontae Booker",LV,"vs. DEN","1 out of 5 stars","F","4.5"
"55","Troymaine Pope",LAC,"at MIA","4 out of 5 stars","F","4.5"
"56","Travis Homer",SEA,"at LAR","2 out of 5 stars","F","4.2"
"57","Chris Thompson",JAC,"at GB","5 out of 5 stars","F","3.9"
"58","Devonta Freeman",NYG,"vs. PHI","2 out of 5 stars","F","3.4"
"59","Jeremy McNichols",TEN,"vs. IND","1 out of 5 stars","F","3.2"
"60","Ryan Nall",CHI,"vs. MIN","3 out of 5 stars","F","3.2"
"61","Alfred Morris",NYG,"vs. PHI","2 out of 5 stars","F","3.1"
"62","Jalen Richard",LV,"vs. DEN","1 out of 5 stars","F","3.0"
"63","Dion Lewis",NYG,"vs. PHI","2 out of 5 stars","F","3.0"
"64","Anthony McFarland Jr.",PIT,"vs. CIN","3 out of 5 stars","F","3.0"
"65","D'Onta Foreman",TEN,"vs. IND","1 out of 5 stars","F","2.8"
"66","Kenyan Drake",ARI,"vs. BUF","5 out of 5 stars","F","2.5"
"67","Patrick Laird",MIA,"vs. LAC","3 out of 5 stars","F","2.5"
"68","Tyler Ervin",GB,"vs. JAC","5 out of 5 stars","F","2.5"
"69","Peyton Barber",WAS,"at DET","5 out of 5 stars","F","2.5"
"70","Justin Jackson",LAC,"at MIA","4 out of 5 stars","F","2.5"
"71","Mark Ingram II",BAL,"at NE","4 out of 5 stars","F","2.4"
"72","Alex Collins",SEA,"at LAR","2 out of 5 stars","F","2.3"
