"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","22.5","22.3","21.4","21.4","21.4","35.5","35.3"
"Jayden Daniels","WAS","QB","20.8","20.5","20.0","20.0","20.0","32.4","32.1"
"Alvin Kamara","NO","RB","21.0","18.4","15.1","17.5","19.9","35.3","32.1"
"Josh Allen","BUF","QB","20.4","20.2","19.7","19.7","19.7","31.4","31.3"
"Justin Fields","PIT","QB","20.3","20.0","19.5","19.5","19.5","32.0","31.7"
"Jordan Mason","SF","RB","20.9","19.8","17.5","18.5","19.4","36.8","35.4"
"C.J. Stroud","HOU","QB","20.4","20.2","19.1","19.1","19.1","31.1","31.0"
"Patrick Mahomes","KC","QB","19.8","19.6","18.8","18.8","18.8","29.9","29.7"
"Jordan Love","GB","QB","19.9","19.7","18.7","18.7","18.7","30.3","30.2"
"Brock Purdy","SF","QB","19.9","19.7","18.7","18.7","18.7","30.4","30.3"
"Joe Burrow","CIN","QB","19.7","19.5","18.5","18.5","18.5","30.2","30.0"
"Aaron Jones","MIN","RB","19.2","17.0","14.2","16.3","18.4","33.5","30.6"
"Kyren Williams","LA","RB","19.2","17.6","15.1","16.7","18.2","33.9","31.8"
"Geno Smith","SEA","QB","19.4","19.2","18.2","18.2","18.2","29.6","29.5"
"Deebo Samuel","SF","WR","18.8","16.2","12.9","15.5","18.0","36.0","32.1"
"Kyler Murray","ARI","QB","18.7","18.5","17.9","17.9","17.9","29.6","29.4"
"CeeDee Lamb","DAL","WR","18.6","15.5","11.5","14.6","17.8","33.7","29.0"
"Nico Collins","HOU","WR","18.8","15.8","11.7","14.8","17.8","33.9","29.4"
"Trevor Lawrence","JAX","QB","18.7","18.4","17.7","17.7","17.7","28.9","28.8"
"Jayden Reed","GB","WR","18.2","15.4","11.7","14.6","17.4","33.6","29.4"
"Bijan Robinson","ATL","RB","17.7","15.7","13.2","15.1","17.0","32.0","29.3"
"Derrick Henry","BAL","RB","18.3","17.4","15.5","16.3","17.0","33.5","32.4"
"Ja'Marr Chase","CIN","WR","17.7","14.6","10.7","13.8","16.9","31.9","27.3"
"Deshaun Watson","CLE","QB","17.4","17.1","16.7","16.7","16.7","27.3","27.1"
"Michael Pittman","IND","WR","17.2","13.9","10.0","13.2","16.4","30.8","26.1"
"Justin Jefferson","MIN","WR","17.4","14.6","11.0","13.7","16.4","32.2","28.0"
"Kenneth Walker III","SEA","RB","17.3","15.9","13.8","15.1","16.4","31.5","29.7"
"Baker Mayfield","TB","QB","17.2","16.9","16.3","16.3","16.3","26.9","26.8"
"Najee Harris","PIT","RB","17.0","15.4","13.1","14.6","16.1","31.6","29.5"
"Daniel Jones","NYG","QB","16.5","16.2","15.9","15.9","15.9","26.4","26.1"
"Kirk Cousins","ATL","QB","16.7","16.5","15.8","15.8","15.8","26.2","26.1"
"Dak Prescott","DAL","QB","16.5","16.3","15.8","15.8","15.8","25.8","25.7"
"Caleb Williams","CHI","QB","16.3","16.1","15.7","15.7","15.7","26.0","25.9"
"Drake London","ATL","WR","16.4","13.5","10.0","12.8","15.6","30.1","25.8"
"Tyler Huntley","MIA","QB","16.1","15.9","15.6","15.6","15.6","25.8","25.6"
"Breece Hall","NYJ","RB","16.1","13.9","11.5","13.5","15.6","29.4","26.4"
"Chris Godwin","TB","WR","16.2","13.2","9.6","12.6","15.6","29.6","25.2"
"Chuba Hubbard","CAR","RB","16.3","14.5","12.2","13.9","15.5","29.3","27.0"
"Sam Darnold","MIN","QB","16.3","16.0","15.5","15.5","15.5","25.5","25.4"
"Travis Kelce","KC","TE","15.9","12.8","9.3","12.3","15.4","28.5","23.8"
"Marvin Harrison Jr.","ARI","WR","16.0","13.3","10.0","12.6","15.3","30.0","25.9"
"James Cook","BUF","RB","16.0","14.3","12.2","13.7","15.3","29.7","27.5"
"Joe Flacco","IND","QB","16.2","16.0","15.3","15.3","15.3","25.6","25.5"
"Diontae Johnson","CAR","WR","15.9","13.0","9.5","12.4","15.2","29.0","24.7"
"Bo Nix","DEN","QB","15.5","15.3","15.2","15.2","15.2","25.0","24.8"
"Travis Etienne","JAX","RB","15.8","14.1","12.1","13.6","15.2","29.4","27.2"
"Matthew Stafford","LA","QB","15.9","15.7","15.1","15.1","15.1","25.3","25.1"
"Josh Jacobs","GB","RB","15.7","14.2","12.2","13.6","15.0","29.3","27.4"
