"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Lamar Jackson","BAL","QB","23.2","23.0","22.2","22.2","22.2","36.5","36.2"
"Jayden Daniels","WAS","QB","22.1","21.8","21.0","21.0","21.0","34.0","33.7"
"Jalen Hurts","PHI","QB","21.6","21.4","20.7","20.7","20.7","34.3","34.1"
"Ja'Marr Chase","CIN","WR","21.5","17.9","13.1","16.7","20.3","37.3","32.1"
"Justin Jefferson","MIN","WR","21.2","18.0","13.5","16.7","20.0","37.0","32.2"
"Breece Hall","NYJ","RB","21.0","18.7","15.8","17.9","20.0","36.3","33.5"
"Jordan Love","GB","QB","20.9","20.8","19.7","19.7","19.7","31.6","31.5"
"Josh Allen","BUF","QB","20.3","20.1","19.5","19.5","19.5","31.3","31.2"
"Joe Burrow","CIN","QB","20.0","19.7","18.9","18.9","18.9","30.5","30.3"
"Patrick Mahomes","KC","QB","19.8","19.6","18.9","18.9","18.9","29.8","29.7"
"Sam Darnold","MIN","QB","19.8","19.5","18.7","18.7","18.7","30.3","30.1"
"Amon-Ra St. Brown","DET","WR","19.3","15.9","11.7","15.1","18.4","34.1","29.3"
"CeeDee Lamb","DAL","WR","19.2","16.0","11.9","15.1","18.3","34.5","29.7"
"Bo Nix","DEN","QB","18.7","18.4","18.2","18.2","18.2","29.1","29.0"
"Aaron Jones","MIN","RB","19.1","17.2","14.7","16.5","18.2","34.1","31.7"
"Joe Mixon","HOU","RB","19.2","17.6","15.2","16.7","18.1","33.7","31.7"
"C.J. Stroud","HOU","QB","18.9","18.7","17.9","17.9","17.9","29.2","29.1"
"Tyreek Hill","MIA","WR","18.8","15.9","12.0","14.9","17.8","34.7","30.4"
"Derrick Henry","BAL","RB","19.2","18.6","16.7","17.2","17.7","35.2","34.4"
"Caleb Williams","CHI","QB","18.5","18.2","17.7","17.7","17.7","29.0","28.8"
"J.K. Dobbins","LAC","RB","18.8","17.4","15.0","16.3","17.6","33.4","31.6"
"Brock Purdy","SF","QB","18.3","18.1","17.5","17.5","17.5","28.4","28.3"
"Drake London","ATL","WR","18.1","14.9","10.9","14.1","17.3","32.5","27.8"
"Kyler Murray","ARI","QB","17.8","17.6","17.2","17.2","17.2","28.4","28.2"
"Saquon Barkley","PHI","RB","18.4","16.9","14.6","15.9","17.2","32.7","30.9"
"Cooper Kupp","LA","WR","17.7","14.3","10.3","13.7","17.1","31.9","27.0"
"Alvin Kamara","NO","RB","17.7","15.1","12.1","14.6","17.1","30.6","27.2"
"Kenneth Walker III","SEA","RB","17.7","15.5","12.9","15.0","17.1","31.5","28.6"
"Kyren Williams","LA","RB","18.0","16.8","14.7","15.8","17.0","32.0","30.5"
"Jordan Mason","SF","RB","18.3","17.3","15.3","16.2","17.0","33.3","32.1"
"Geno Smith","SEA","QB","18.0","17.7","17.0","17.0","17.0","27.9","27.7"
"Trevor Lawrence","JAX","QB","17.7","17.5","16.9","16.9","16.9","27.6","27.5"
"Anthony Richardson","IND","QB","17.5","17.2","16.8","16.8","16.8","28.0","27.8"
"Tua Tagovailoa","MIA","QB","17.8","17.7","16.8","16.8","16.8","27.7","27.6"
"Jahmyr Gibbs","DET","RB","17.5","15.9","13.8","15.3","16.7","33.3","31.2"
"Aaron Rodgers","NYJ","QB","17.5","17.3","16.7","16.7","16.7","27.3","27.2"
"A.J. Brown","PHI","WR","17.7","14.8","10.9","13.8","16.7","31.9","27.5"
"Dak Prescott","DAL","QB","17.6","17.4","16.6","16.6","16.6","27.6","27.5"
"Kirk Cousins","ATL","QB","17.4","17.2","16.4","16.4","16.4","27.2","27.1"
"Justin Herbert","LAC","QB","17.0","16.8","16.4","16.4","16.4","26.5","26.4"
"Deebo Samuel","SF","WR","17.0","14.4","11.3","13.8","16.3","32.6","28.7"
"Bijan Robinson","ATL","RB","16.9","15.1","13.0","14.6","16.2","31.2","29.0"
"Jared Goff","DET","QB","17.1","16.9","16.2","16.2","16.2","26.5","26.4"
"De'Von Achane","MIA","RB","16.8","14.8","12.3","14.3","16.2","31.3","28.5"
"Baker Mayfield","TB","QB","16.8","16.6","16.1","16.1","16.1","26.4","26.2"
"Javonte Williams","DEN","RB","16.8","15.0","12.8","14.4","16.0","30.5","28.2"
"Stefon Diggs","HOU","WR","16.4","13.5","9.9","12.9","15.8","30.4","26.0"
"Kareem Hunt","KC","RB","16.4","15.2","13.3","14.4","15.5","30.1","28.5"
"Matthew Stafford","LA","QB","16.1","15.9","15.3","15.3","15.3","25.4","25.3"
"Tony Pollard","TEN","RB","15.9","13.9","11.5","13.4","15.3","28.2","25.6"
"D'Andre Swift","CHI","RB","16.0","14.5","12.5","13.8","15.2","29.8","27.8"
"Russell Wilson","PIT","QB","15.8","15.5","15.2","15.2","15.2","25.4","25.3"
"Jonathan Taylor","IND","RB","16.0","14.9","13.1","14.1","15.1","29.4","28.0"
"Davante Adams","NYJ","WR","15.7","13.0","9.7","12.4","15.1","29.1","25.0"
"Jameis Winston","CLE","QB","15.9","15.6","15.0","15.0","15.0","25.3","25.1"
"Josh Jacobs","GB","RB","15.6","14.2","12.4","13.7","15.0","29.1","27.3"
"Garrett Wilson","NYJ","WR","15.3","12.5","9.2","12.0","14.8","28.5","24.3"
"James Conner","ARI","RB","15.5","14.3","12.5","13.6","14.7","28.8","27.2"
"Drake Maye","NE","QB","15.2","14.9","14.7","14.7","14.7","23.9","23.7"
"Jayden Reed","GB","WR","15.1","12.7","9.9","12.2","14.6","29.5","25.9"
"George Pickens","PIT","WR","15.1","12.6","9.5","11.9","14.4","28.5","24.7"
"Tank Dell","HOU","WR","14.7","12.4","9.5","11.8","14.2","28.9","25.2"
"Daniel Jones","NYG","QB","14.6","14.3","14.1","14.1","14.1","23.6","23.3"
"Malik Nabers","NYG","WR","14.7","11.9","8.7","11.4","14.1","27.3","23.2"
"James Cook","BUF","RB","14.7","13.4","11.6","12.8","14.0","27.8","26.0"
"David Njoku","CLE","TE","14.3","11.3","7.9","10.9","13.9","25.3","20.8"
"David Montgomery","DET","RB","14.6","13.7","12.3","13.1","13.9","29.5","28.3"
"Chuba Hubbard","CAR","RB","14.5","12.9","11.0","12.4","13.8","26.1","24.1"
"Travis Kelce","KC","TE","14.1","11.4","8.3","11.0","13.8","25.4","21.2"
"Brock Bowers","LV","TE","14.2","11.2","7.9","10.9","13.8","25.6","21.1"
"Chase Brown","CIN","RB","14.2","12.9","11.3","12.4","13.6","26.7","25.1"
"Jaylen Waddle","MIA","WR","14.2","11.8","8.9","11.3","13.6","27.4","23.8"
"Terry McLaurin","WAS","WR","14.2","11.9","9.0","11.3","13.6","27.7","24.1"
"Spencer Rattler","NO","QB","13.9","13.6","13.4","13.4","13.4","22.1","21.9"
"Brian Thomas Jr.","JAX","WR","13.9","11.7","8.9","11.1","13.3","27.3","23.8"
"Mason Rudolph","TEN","QB","13.9","13.7","13.3","13.3","13.3","22.3","22.1"
"DJ Moore","CHI","WR","13.7","11.3","8.5","10.8","13.2","26.6","22.9"
"Tank Bigsby","JAX","RB","14.0","13.3","12.0","12.5","13.1","26.9","26.1"
"Evan Engram","JAX","TE","13.3","10.5","7.5","10.3","13.1","24.1","19.9"
"Najee Harris","PIT","RB","13.7","12.8","11.3","12.1","13.0","26.3","25.0"
"Darnell Mooney","ATL","WR","13.4","10.9","8.1","10.5","12.9","25.5","21.9"
"Devonta Smith","PHI","WR","13.4","10.9","7.9","10.4","12.8","25.6","21.8"
"Jaxon Smith-Njigba","SEA","WR","13.2","10.6","7.6","10.2","12.8","24.8","20.8"
"Gardner Minshew","LV","QB","13.3","13.0","12.7","12.7","12.7","21.3","21.1"
"Zay Flowers","BAL","WR","12.9","10.8","8.3","10.4","12.6","26.1","22.8"
"Rachaad White","TB","RB","12.9","11.1","9.1","10.9","12.6","24.8","22.2"
"Trey McBride","ARI","TE","12.7","10.0","7.1","9.7","12.4","22.9","18.8"
"Ladd McConkey","LAC","WR","12.8","10.5","7.8","10.1","12.4","24.8","21.2"
"Tyler Lockett","SEA","WR","12.7","10.5","7.8","10.0","12.3","24.7","21.2"
"Chris Olave","NO","WR","12.6","10.2","7.5","9.8","12.1","24.2","20.6"
"George Kittle","SF","TE","12.5","10.3","7.8","10.0","12.1","23.7","20.3"
"Calvin Ridley","TEN","WR","12.6","10.5","8.0","10.1","12.1","24.9","21.7"
"Romeo Doubs","GB","WR","12.4","10.3","7.9","9.9","12.0","24.5","21.3"
"Jordan Addison","MIN","WR","12.4","10.4","8.1","10.0","12.0","25.0","21.9"
"Rhamondre Stevenson","NE","RB","12.4","11.0","9.4","10.6","11.9","23.3","21.5"
"Marvin Harrison Jr.","ARI","WR","12.1","10.1","7.7","9.7","11.8","23.8","20.6"
"Brian Robinson","WAS","RB","12.4","11.5","10.3","11.0","11.8","24.8","23.7"
"Amari Cooper","BUF","WR","11.7","9.9","7.6","9.5","11.4","23.5","20.5"
"Bryce Young","CAR","QB","11.8","11.5","11.4","11.4","11.4","19.0","18.8"
"Xavier Worthy","KC","WR","11.7","10.0","7.9","9.6","11.4","24.4","21.5"
"Keenan Allen","CHI","WR","11.6","9.4","7.0","9.1","11.3","22.4","19.1"
"Wan'Dale Robinson","NYG","WR","11.3","8.6","5.9","8.5","11.1","20.8","16.9"
"Alexander Mattison","LV","RB","11.3","10.1","8.7","9.8","10.9","21.8","20.1"
"Jakobi Meyers","LV","WR","11.1","8.9","6.5","8.6","10.8","21.9","18.5"
"Cade Otton","TB","TE","11.0","8.7","6.3","8.6","10.8","20.4","16.9"
"Jerry Jeudy","CLE","WR","11.0","9.1","6.8","8.7","10.7","22.0","18.9"
"Jake Ferguson","DAL","TE","10.8","8.5","6.1","8.4","10.7","20.0","16.4"
