Week-13-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Josh Allen","BUF","QB",1,12,"ACTIVE"
2,"Lamar Jackson","BAL","QB",2,14,"ACTIVE"
3,"Jalen Hurts","PHI","QB",3,5,"ACTIVE"
4,"Jayden Daniels","WAS","QB",4,14,"ACTIVE"
5,"Joe Mixon","HOU","RB",1,14,"ACTIVE"
6,"Justin Herbert","LAC","QB",5,5,"ACTIVE"
7,"Ja'Marr Chase","CIN","WR",1,12,"ACTIVE"
8,"A.J. Brown","PHI","WR",2,5,"ACTIVE"
9,"Patrick Mahomes","KC","QB",6,6,"ACTIVE"
10,"Joe Burrow","CIN","QB",7,12,"ACTIVE"
11,"Puka Nacua","LAR","WR",3,6,"ACTIVE"
12,"Baker Mayfield","TB","QB",8,11,"ACTIVE"
13,"Bo Nix","DEN","QB",9,14,"ACTIVE"
14,"Saquon Barkley","PHI","RB",2,5,"ACTIVE"
15,"Anthony Richardson","IND","QB",10,14,"ACTIVE"
16,"C.J. Stroud","HOU","QB",11,14,"ACTIVE"
17,"Nico Collins","HOU","WR",4,14,"ACTIVE"
18,"Cooper Kupp","LAR","WR",5,6,"ACTIVE"
19,"Sam Darnold","MIN","QB",12,6,"ACTIVE"
20,"Alvin Kamara","NO","RB",3,12,"ACTIVE"
21,"Kyler Murray","ARI","QB",13,11,"ACTIVE"
22,"Matthew Stafford","LAR","QB",14,6,"ACTIVE"
23,"Jared Goff","DET","QB",15,5,"ACTIVE"
24,"Justin Jefferson","MIN","WR",6,6,"ACTIVE"
25,"Jordan Love","GB","QB",16,10,"ACTIVE"
26,"Tua Tagovailoa","MIA","QB",17,6,"ACTIVE"
27,"Brock Purdy","SF","QB",18,9,"QUEST"
28,"Caleb Williams","CHI","QB",19,7,"ACTIVE"
29,"Amon-Ra St. Brown","DET","WR",7,5,"PROB"
30,"Geno Smith","SEA","QB",20,10,"ACTIVE"
31,"Bryce Young","CAR","QB",21,11,"ACTIVE"
32,"Jahmyr Gibbs","DET","RB",4,5,"ACTIVE"
33,"Will Levis","TEN","QB",22,5,"ACTIVE"
34,"Bijan Robinson","ATL","RB",5,12,"ACTIVE"
35,"Drake Maye","NE","QB",23,14,"ACTIVE"
36,"Russell Wilson","PIT","QB",24,9,"ACTIVE"
37,"Christian McCaffrey","SF","RB",6,9,"ACTIVE"
38,"Mike Evans","TB","WR",8,11,"ACTIVE"
39,"De'Von Achane","MIA","RB",7,6,"ACTIVE"
40,"CeeDee Lamb","DAL","WR",9,7,"ACTIVE"
41,"Tee Higgins","CIN","WR",10,12,"ACTIVE"
42,"Kirk Cousins","ATL","QB",25,12,"ACTIVE"
43,"Derek Carr","NO","QB",26,12,"ACTIVE"
44,"Kyren Williams","LAR","RB",8,6,"ACTIVE"
45,"Chase Brown","CIN","RB",9,12,"ACTIVE"
46,"Derrick Henry","BAL","RB",10,14,"ACTIVE"
47,"George Pickens","PIT","WR",11,9,"ACTIVE"
48,"Courtland Sutton","DEN","WR",12,14,"ACTIVE"
49,"Aaron Rodgers","NYJ","QB",27,12,"ACTIVE"
50,"Jameis Winston","CLE","QB",28,10,"ACTIVE"
51,"Drake London","ATL","WR",13,12,"ACTIVE"
52,"Malik Nabers","NYG","WR",14,11,"ACTIVE"
53,"Tyreek Hill","MIA","WR",15,6,"ACTIVE"
54,"Garrett Wilson","NYJ","WR",16,12,"ACTIVE"
55,"Trevor Lawrence","JAX","QB",29,12,"QUEST"
56,"Jonathan Taylor","IND","RB",11,14,"ACTIVE"
57,"Travis Kelce","KC","TE",1,6,"ACTIVE"
58,"Trey McBride","ARI","TE",2,11,"ACTIVE"
59,"Cooper Rush","DAL","QB",30,7,"ACTIVE"
60,"Drew Lock","NYG","QB",31,11,"ACTIVE"
61,"Aidan O'Connell","LV","QB",32,10,"ACTIVE"
62,"Josh Jacobs","GB","RB",12,10,"ACTIVE"
63,"Jaxon Smith-Njigba","SEA","WR",17,10,"ACTIVE"
64,"Chuba Hubbard","CAR","RB",13,11,"ACTIVE"
65,"Kenneth Walker III","SEA","RB",14,10,"ACTIVE"
66,"Aaron Jones","MIN","RB",15,6,"ACTIVE"
67,"Breece Hall","NYJ","RB",16,12,"QUEST"
68,"Ladd McConkey","LAC","WR",18,5,"ACTIVE"
69,"Bucky Irving","TB","RB",17,11,"ACTIVE"
70,"Davante Adams","NYJ","WR",19,12,"ACTIVE"
71,"Calvin Ridley","TEN","WR",20,5,"ACTIVE"
72,"Terry McLaurin","WAS","WR",21,14,"ACTIVE"
73,"Zay Flowers","BAL","WR",22,14,"ACTIVE"
74,"D.K. Metcalf","SEA","WR",23,10,"ACTIVE"
75,"Brian Thomas Jr.","JAX","WR",24,12,"ACTIVE"
76,"Jayden Reed","GB","WR",25,10,"ACTIVE"
77,"DJ Moore","CHI","WR",26,7,"ACTIVE"
78,"Jakobi Meyers","LV","WR",27,10,"ACTIVE"
79,"Brock Bowers","LV","TE",3,10,"ACTIVE"
80,"Marvin Harrison Jr.","ARI","WR",28,11,"ACTIVE"
81,"Khalil Shakir","BUF","WR",29,12,"ACTIVE"
82,"Keenan Allen","CHI","WR",30,7,"ACTIVE"
83,"James Cook","BUF","RB",18,12,"ACTIVE"
84,"Jauan Jennings","SF","WR",31,9,"ACTIVE"
85,"Darnell Mooney","ATL","WR",32,12,"ACTIVE"
86,"Rico Dowdle","DAL","RB",19,7,"ACTIVE"
87,"Tank Dell","HOU","WR",33,14,"ACTIVE"
88,"Jameson Williams","DET","WR",34,5,"ACTIVE"
89,"Taysom Hill","NO","TE",4,12,"ACTIVE"
90,"Michael Pittman Jr.","IND","WR",35,14,"ACTIVE"
91,"T.J. Hockenson","MIN","TE",5,6,"ACTIVE"
92,"George Kittle","SF","TE",6,9,"ACTIVE"
93,"David Montgomery","DET","RB",20,5,"PROB"
94,"Jaylen Waddle","MIA","WR",36,6,"ACTIVE"
95,"James Conner","ARI","RB",21,11,"ACTIVE"
96,"Tony Pollard","TEN","RB",22,5,"ACTIVE"
97,"Deebo Samuel","SF","WR",37,9,"ACTIVE"
98,"Rhamondre Stevenson","NE","RB",23,14,"ACTIVE"
99,"Evan Engram","JAX","TE",7,12,"ACTIVE"
100,"Brian Robinson","WAS","RB",24,14,"ACTIVE"
101,"Tyrone Tracy","NYG","RB",25,11,"ACTIVE"
102,"Jordan Addison","MIN","WR",38,6,"ACTIVE"
103,"Jerry Jeudy","CLE","WR",39,10,"ACTIVE"
104,"Jonnu Smith","MIA","TE",8,6,"ACTIVE"
105,"Christian Watson","GB","WR",40,10,"ACTIVE"
106,"DeAndre Hopkins","KC","WR",41,6,"ACTIVE"
107,"Najee Harris","PIT","RB",26,9,"ACTIVE"
108,"Rachaad White","TB","RB",27,11,"ACTIVE"
109,"Rome Odunze","CHI","WR",42,7,"ACTIVE"
110,"D'Andre Swift","CHI","RB",28,7,"ACTIVE"
111,"Isiah Pacheco","KC","RB",29,6,"ACTIVE"
112,"Nick Chubb","CLE","RB",30,10,"ACTIVE"
113,"Xavier Legette","CAR","WR",43,11,"ACTIVE"
114,"Amari Cooper","BUF","WR",44,12,"ACTIVE"
115,"Cade Otton","TB","TE",9,11,"ACTIVE"
116,"Quentin Johnston","LAC","WR",45,5,"ACTIVE"
117,"Jaylen Warren","PIT","RB",31,9,"ACTIVE"
118,"Marquez Valdes-Scantling","NO","WR",46,12,"ACTIVE"
119,"Dallas Goedert","PHI","TE",10,5,"ACTIVE"
120,"Travis Etienne Jr.","JAX","RB",32,12,"ACTIVE"
121,"Elijah Moore","CLE","WR",47,10,"ACTIVE"
122,"Ameer Abdullah","LV","RB",33,10,"ACTIVE"
123,"Javonte Williams","DEN","RB",34,14,"ACTIVE"
124,"Keon Coleman","BUF","WR",48,12,"QUEST"
125,"Gus Edwards","LAC","RB",35,5,"ACTIVE"
126,"Xavier Worthy","KC","WR",49,6,"ACTIVE"
127,"Demario Douglas","NE","WR",50,14,"QUEST"
128,"Noah Brown","WAS","WR",51,14,"ACTIVE"
129,"Kareem Hunt","KC","RB",36,6,"ACTIVE"
130,"Tyjae Spears","TEN","RB",37,5,"QUEST"
131,"Adonai Mitchell","IND","WR",52,14,"ACTIVE"
132,"David Njoku","CLE","TE",11,10,"ACTIVE"
133,"Wan'Dale Robinson","NYG","WR",53,11,"ACTIVE"
134,"Nick Westbrook-Ikhine","TEN","WR",54,5,"ACTIVE"
135,"Rashod Bateman","BAL","WR",55,14,"ACTIVE"
136,"Dontayvion Wicks","GB","WR",56,10,"ACTIVE"
137,"Hunter Henry","NE","TE",12,14,"ACTIVE"
138,"Jeremy McNichols","WAS","RB",38,14,"ACTIVE"
139,"Alec Pierce","IND","WR",57,14,"QUEST"
140,"Adam Thielen","CAR","WR",58,11,"ACTIVE"
141,"Devaughn Vele","DEN","WR",59,14,"ACTIVE"
142,"David Moore","CAR","WR",60,11,"ACTIVE"
143,"Joshua Palmer","LAC","WR",61,5,"ACTIVE"
144,"Michael Wilson","ARI","WR",62,11,"ACTIVE"
145,"Sam LaPorta","DET","TE",13,5,"ACTIVE"
