Week-16-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Green Bay Packers","GB","D",1,10,"ACTIVE"
2,"Buffalo Bills","BUF","D",2,12,"ACTIVE"
3,"Atlanta Falcons","ATL","D",3,12,"ACTIVE"
4,"Cincinnati Bengals","CIN","D",4,12,"ACTIVE"
5,"Minnesota Vikings","MIN","D",5,6,"ACTIVE"
6,"Detroit Lions","DET","D",6,5,"ACTIVE"
7,"Indianapolis Colts","IND","D",7,14,"ACTIVE"
8,"Arizona Cardinals","ARI","D",8,11,"ACTIVE"
9,"Kansas City Chiefs","KC","D",9,6,"ACTIVE"
10,"Philadelphia Eagles","PHI","D",10,5,"ACTIVE"
11,"Los Angeles Chargers","LAC","D",11,5,"ACTIVE"
12,"Tampa Bay Buccaneers","TB","D",12,11,"ACTIVE"
13,"Baltimore Ravens","BAL","D",13,14,"ACTIVE"
14,"Denver Broncos","DEN","D",14,14,"ACTIVE"
15,"Tennessee Titans","TEN","D",15,5,"ACTIVE"
16,"Houston Texans","HOU","D",16,14,"ACTIVE"
17,"San Francisco 49ers","SF","D",17,9,"ACTIVE"
18,"Jacksonville Jaguars","JAX","D",18,12,"ACTIVE"
19,"Las Vegas Raiders","LV","D",19,10,"ACTIVE"
20,"Los Angeles Rams","LAR","D",20,6,"ACTIVE"
21,"Seattle Seahawks","SEA","D",21,10,"ACTIVE"
22,"Dallas Cowboys","DAL","D",22,7,"ACTIVE"
23,"Miami Dolphins","MIA","D",23,6,"ACTIVE"
24,"New York Giants","NYG","D",24,11,"ACTIVE"
25,"Washington Commanders","WAS","D",25,14,"ACTIVE"
26,"Pittsburgh Steelers","PIT","D",26,9,"ACTIVE"
27,"New York Jets","NYJ","D",27,12,"ACTIVE"
28,"Cleveland Browns","CLE","D",28,10,"ACTIVE"
29,"Carolina Panthers","CAR","D",29,11,"ACTIVE"
30,"Chicago Bears","CHI","D",30,7,"ACTIVE"
31,"New Orleans Saints","NO","D",31,12,"ACTIVE"
32,"New England Patriots","NE","D",32,14,"ACTIVE"
