Week-16-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Josh Allen","BUF","QB",1,12,"ACTIVE"
2,"Jalen Hurts","PHI","QB",2,5,"ACTIVE"
3,"Joe Burrow","CIN","QB",3,12,"ACTIVE"
4,"Lamar Jackson","BAL","QB",4,14,"ACTIVE"
5,"Jahmyr Gibbs","DET","RB",1,5,"ACTIVE"
6,"Kyler Murray","ARI","QB",5,11,"ACTIVE"
7,"Ja'Marr Chase","CIN","WR",1,12,"ACTIVE"
8,"Puka Nacua","LAR","WR",2,6,"ACTIVE"
9,"Baker Mayfield","TB","QB",6,11,"ACTIVE"
10,"Jayden Daniels","WAS","QB",7,14,"ACTIVE"
11,"Justin Jefferson","MIN","WR",3,6,"ACTIVE"
12,"Sam Darnold","MIN","QB",8,6,"ACTIVE"
13,"Jordan Love","GB","QB",9,10,"ACTIVE"
14,"Josh Jacobs","GB","RB",2,10,"ACTIVE"
15,"Jared Goff","DET","QB",10,5,"ACTIVE"
16,"Brock Purdy","SF","QB",11,9,"ACTIVE"
17,"Mike Evans","TB","WR",4,11,"ACTIVE"
18,"Amon-Ra St. Brown","DET","WR",5,5,"ACTIVE"
19,"Anthony Richardson","IND","QB",12,14,"ACTIVE"
20,"Bijan Robinson","ATL","RB",3,12,"ACTIVE"
21,"Caleb Williams","CHI","QB",13,7,"ACTIVE"
22,"Bo Nix","DEN","QB",14,14,"ACTIVE"
23,"Patrick Mahomes","KC","QB",15,6,"ACTIVE"
24,"CeeDee Lamb","DAL","WR",6,7,"ACTIVE"
25,"Tua Tagovailoa","MIA","QB",16,6,"ACTIVE"
26,"Matthew Stafford","LAR","QB",17,6,"ACTIVE"
27,"Aaron Rodgers","NYJ","QB",18,12,"ACTIVE"
28,"Justin Herbert","LAC","QB",19,5,"ACTIVE"
29,"Davante Adams","NYJ","WR",7,12,"ACTIVE"
30,"C.J. Stroud","HOU","QB",20,14,"ACTIVE"
31,"Cooper Rush","DAL","QB",21,7,"ACTIVE"
32,"Saquon Barkley","PHI","RB",4,5,"ACTIVE"
33,"Michael Penix Jr.","ATL","QB",22,12,"ACTIVE"
34,"James Conner","ARI","RB",5,11,"ACTIVE"
35,"Geno Smith","SEA","QB",23,10,"ACTIVE"
36,"Drake Maye","NE","QB",24,14,"ACTIVE"
37,"Chase Brown","CIN","RB",6,12,"ACTIVE"
38,"Nico Collins","HOU","WR",8,14,"ACTIVE"
39,"De'Von Achane","MIA","RB",7,6,"ACTIVE"
40,"A.J. Brown","PHI","WR",9,5,"ACTIVE"
41,"Brian Thomas Jr.","JAX","WR",10,12,"ACTIVE"
42,"Mac Jones","JAX","QB",25,12,"ACTIVE"
43,"Bryce Young","CAR","QB",26,11,"ACTIVE"
44,"Chuba Hubbard","CAR","RB",8,11,"ACTIVE"
45,"Derrick Henry","BAL","RB",9,14,"ACTIVE"
46,"Kyren Williams","LAR","RB",10,6,"ACTIVE"
47,"Tyreek Hill","MIA","WR",11,6,"QUEST"
48,"Malik Nabers","NYG","WR",12,11,"ACTIVE"
49,"Russell Wilson","PIT","QB",27,9,"ACTIVE"
50,"Aidan O'Connell","LV","QB",28,10,"ACTIVE"
51,"Terry McLaurin","WAS","WR",13,14,"ACTIVE"
52,"Ladd McConkey","LAC","WR",14,5,"ACTIVE"
53,"Courtland Sutton","DEN","WR",15,14,"ACTIVE"
54,"Jaxon Smith-Njigba","SEA","WR",16,10,"ACTIVE"
55,"Dorian Thompson-Robinson","CLE","QB",29,10,"ACTIVE"
56,"Joe Mixon","HOU","RB",11,14,"ACTIVE"
57,"Trey McBride","ARI","TE",1,11,"ACTIVE"
58,"Brock Bowers","LV","TE",2,10,"ACTIVE"
59,"Mason Rudolph","TEN","QB",30,5,"ACTIVE"
60,"Drew Lock","NYG","QB",31,11,"ACTIVE"
61,"Spencer Rattler","NO","QB",32,12,"ACTIVE"
62,"Rico Dowdle","DAL","RB",12,7,"ACTIVE"
63,"Drake London","ATL","WR",17,12,"ACTIVE"
64,"Jonathan Taylor","IND","RB",13,14,"ACTIVE"
65,"James Cook","BUF","RB",14,12,"ACTIVE"
66,"Aaron Jones","MIN","RB",15,6,"ACTIVE"
67,"Bucky Irving","TB","RB",16,11,"ACTIVE"
68,"Tee Higgins","CIN","WR",18,12,"ACTIVE"
69,"Brian Robinson","WAS","RB",17,14,"ACTIVE"
70,"Cooper Kupp","LAR","WR",19,6,"ACTIVE"
71,"Jauan Jennings","SF","WR",20,9,"ACTIVE"
72,"DJ Moore","CHI","WR",21,7,"ACTIVE"
73,"Garrett Wilson","NYJ","WR",22,12,"ACTIVE"
74,"Jakobi Meyers","LV","WR",23,10,"ACTIVE"
75,"Zay Flowers","BAL","WR",24,14,"ACTIVE"
76,"Jordan Addison","MIN","WR",25,6,"ACTIVE"
77,"DeVonta Smith","PHI","WR",26,5,"ACTIVE"
78,"D.K. Metcalf","SEA","WR",27,10,"ACTIVE"
79,"George Kittle","SF","TE",3,9,"ACTIVE"
80,"Keenan Allen","CHI","WR",28,7,"ACTIVE"
81,"Khalil Shakir","BUF","WR",29,12,"ACTIVE"
82,"Adam Thielen","CAR","WR",30,11,"ACTIVE"
