Week-15-rankings-export

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,Injury Status
1,"Josh Allen","BUF","QB",1,12,"ACTIVE"
2,"Lamar Jackson","BAL","QB",2,14,"ACTIVE"
3,"Jayden Daniels","WAS","QB",3,14,"ACTIVE"
4,"Joe Burrow","CIN","QB",4,12,"ACTIVE"
5,"Saquon Barkley","PHI","RB",1,5,"ACTIVE"
6,"Jalen Hurts","PHI","QB",5,5,"ACTIVE"
7,"Ja'Marr Chase","CIN","WR",1,12,"ACTIVE"
8,"Puka Nacua","LAR","WR",2,6,"ACTIVE"
9,"Brock Purdy","SF","QB",6,9,"ACTIVE"
10,"Kyler Murray","ARI","QB",7,11,"ACTIVE"
11,"Justin Jefferson","MIN","WR",3,6,"ACTIVE"
12,"Sam Darnold","MIN","QB",8,6,"ACTIVE"
13,"Bo Nix","DEN","QB",9,14,"ACTIVE"
14,"Derrick Henry","BAL","RB",2,14,"ACTIVE"
15,"Patrick Mahomes","KC","QB",10,6,"ACTIVE"
16,"Tua Tagovailoa","MIA","QB",11,6,"ACTIVE"
17,"Nico Collins","HOU","WR",4,14,"ACTIVE"
18,"Amon-Ra St. Brown","DET","WR",5,5,"ACTIVE"
19,"Justin Herbert","LAC","QB",12,5,"ACTIVE"
20,"Bijan Robinson","ATL","RB",3,12,"ACTIVE"
21,"Jared Goff","DET","QB",13,5,"ACTIVE"
22,"C.J. Stroud","HOU","QB",14,14,"ACTIVE"
23,"Jordan Love","GB","QB",15,10,"ACTIVE"
24,"Tyreek Hill","MIA","WR",6,6,"ACTIVE"
25,"Jameis Winston","CLE","QB",16,10,"ACTIVE"
26,"Caleb Williams","CHI","QB",17,7,"ACTIVE"
27,"Baker Mayfield","TB","QB",18,11,"ACTIVE"
28,"Anthony Richardson","IND","QB",19,14,"ACTIVE"
29,"CeeDee Lamb","DAL","WR",7,7,"ACTIVE"
30,"Geno Smith","SEA","QB",20,10,"ACTIVE"
31,"Matthew Stafford","LAR","QB",21,6,"ACTIVE"
32,"Joe Mixon","HOU","RB",4,14,"ACTIVE"
33,"Drake Maye","NE","QB",22,14,"ACTIVE"
34,"Chase Brown","CIN","RB",5,12,"ACTIVE"
35,"Aaron Rodgers","NYJ","QB",23,12,"ACTIVE"
36,"Will Levis","TEN","QB",24,5,"ACTIVE"
37,"Chuba Hubbard","CAR","RB",6,11,"ACTIVE"
38,"Cooper Kupp","LAR","WR",8,6,"ACTIVE"
39,"Josh Jacobs","GB","RB",7,10,"ACTIVE"
40,"Mike Evans","TB","WR",9,11,"ACTIVE"
41,"A.J. Brown","PHI","WR",10,5,"ACTIVE"
42,"Kirk Cousins","ATL","QB",25,12,"ACTIVE"
43,"Bryce Young","CAR","QB",26,11,"ACTIVE"
44,"De'Von Achane","MIA","RB",8,6,"ACTIVE"
45,"Zach Charbonnet","SEA","RB",9,10,"ACTIVE"
46,"Jahmyr Gibbs","DET","RB",10,5,"ACTIVE"
47,"Tee Higgins","CIN","WR",11,12,"ACTIVE"
48,"Drake London","ATL","WR",12,12,"ACTIVE"
49,"Cooper Rush","DAL","QB",27,7,"ACTIVE"
50,"Russell Wilson","PIT","QB",28,9,"ACTIVE"
51,"Terry McLaurin","WAS","WR",13,14,"ACTIVE"
52,"Jauan Jennings","SF","WR",14,9,"ACTIVE"
53,"Davante Adams","NYJ","WR",15,12,"ACTIVE"
54,"Courtland Sutton","DEN","WR",16,14,"ACTIVE"
55,"Mac Jones","JAX","QB",29,12,"ACTIVE"
56,"James Conner","ARI","RB",11,11,"ACTIVE"
57,"Brock Bowers","LV","TE",1,10,"ACTIVE"
58,"George Kittle","SF","TE",2,9,"ACTIVE"
59,"Desmond Ridder","LV","QB",30,10,"ACTIVE"
60,"Jake Haener","NO","QB",31,12,"ACTIVE"
61,"Tommy DeVito","NYG","QB",32,11,"ACTIVE"
62,"Rico Dowdle","DAL","RB",12,7,"ACTIVE"
63,"Malik Nabers","NYG","WR",17,11,"ACTIVE"
64,"Alvin Kamara","NO","RB",13,12,"ACTIVE"
65,"Kyren Williams","LAR","RB",14,6,"ACTIVE"
66,"Brian Robinson","WAS","RB",15,14,"ACTIVE"
67,"Tony Pollard","TEN","RB",16,5,"QUEST"
68,"Jaxon Smith-Njigba","SEA","WR",18,10,"ACTIVE"
69,"David Montgomery","DET","RB",17,5,"ACTIVE"
70,"Brian Thomas Jr.","JAX","WR",19,12,"ACTIVE"
71,"Ladd McConkey","LAC","WR",20,5,"QUEST"
72,"Garrett Wilson","NYJ","WR",21,12,"ACTIVE"
73,"Jerry Jeudy","CLE","WR",22,10,"ACTIVE"
74,"D.K. Metcalf","SEA","WR",23,10,"ACTIVE"
75,"Calvin Ridley","TEN","WR",24,5,"ACTIVE"
76,"DJ Moore","CHI","WR",25,7,"ACTIVE"
77,"Jordan Addison","MIN","WR",26,6,"ACTIVE"
78,"Khalil Shakir","BUF","WR",27,12,"ACTIVE"
79,"Trey McBride","ARI","TE",3,11,"ACTIVE"
80,"Zay Flowers","BAL","WR",28,14,"ACTIVE"
81,"Jakobi Meyers","LV","WR",29,10,"ACTIVE"
82,"Marvin Harrison Jr.","ARI","WR",30,11,"ACTIVE"
83,"Aaron Jones","MIN","RB",18,6,"ACTIVE"
84,"Deebo Samuel","SF","WR",31,9,"ACTIVE"
85,"Jaylen Waddle","MIA","WR",32,6,"ACTIVE"
86,"Jonathan Taylor","IND","RB",19,14,"ACTIVE"
87,"Darnell Mooney","ATL","WR",33,12,"ACTIVE"
88,"Jameson Williams","DET","WR",34,5,"ACTIVE"
89,"T.J. Hockenson","MIN","TE",4,6,"ACTIVE"
90,"Keenan Allen","CHI","WR",35,7,"ACTIVE"
91,"Travis Kelce","KC","TE",5,6,"ACTIVE"
92,"Sam LaPorta","DET","TE",6,5,"ACTIVE"
93,"Rhamondre Stevenson","NE","RB",20,14,"ACTIVE"
94,"Jayden Reed","GB","WR",36,10,"ACTIVE"
95,"Isaac Guerendo","SF","RB",21,9,"PROB"
96,"James Cook","BUF","RB",22,12,"ACTIVE"
97,"Adam Thielen","CAR","WR",37,11,"ACTIVE"
98,"Isiah Pacheco","KC","RB",23,6,"ACTIVE"
99,"Jonnu Smith","MIA","TE",7,6,"ACTIVE"
100,"Breece Hall","NYJ","RB",24,12,"QUEST"
101,"Tyrone Tracy","NYG","RB",25,11,"ACTIVE"
102,"DeAndre Hopkins","KC","WR",38,6,"ACTIVE"
103,"DeVonta Smith","PHI","WR",39,5,"ACTIVE"
104,"Tucker Kraft","GB","TE",8,10,"ACTIVE"
105,"Elijah Moore","CLE","WR",40,10,"ACTIVE"
106,"Amari Cooper","BUF","WR",41,12,"ACTIVE"
107,"Najee Harris","PIT","RB",26,9,"ACTIVE"
108,"D'Andre Swift","CHI","RB",27,7,"QUEST"
109,"Tank Dell","HOU","WR",42,14,"ACTIVE"
110,"Rachaad White","TB","RB",28,11,"ACTIVE"
111,"Sincere McCormick","LV","RB",29,10,"ACTIVE"
112,"Tank Bigsby","JAX","RB",30,12,"ACTIVE"
113,"Quentin Johnston","LAC","WR",43,5,"ACTIVE"
114,"Rome Odunze","CHI","WR",44,7,"ACTIVE"
115,"Zach Ertz","WAS","TE",9,14,"ACTIVE"
116,"Josh Downs","IND","WR",45,14,"QUEST"
117,"Bucky Irving","TB","RB",31,11,"QUEST"
118,"Xavier Worthy","KC","WR",46,6,"ACTIVE"
119,"Mark Andrews","BAL","TE",10,14,"ACTIVE"
120,"Gus Edwards","LAC","RB",32,5,"ACTIVE"
121,"Michael Pittman Jr.","IND","WR",47,14,"ACTIVE"
122,"Jaylen Warren","PIT","RB",33,9,"ACTIVE"
123,"Jaleel McLaughlin","DEN","RB",34,14,"ACTIVE"
124,"Christian Watson","GB","WR",48,10,"ACTIVE"
125,"Travis Etienne Jr.","JAX","RB",35,12,"ACTIVE"
126,"Nick Westbrook-Ikhine","TEN","WR",49,5,"ACTIVE"
127,"Romeo Doubs","GB","WR",50,10,"ACTIVE"
128,"Ray-Ray McCloud III","ATL","WR",51,12,"ACTIVE"
129,"Nick Chubb","CLE","RB",36,10,"ACTIVE"
130,"Javonte Williams","DEN","RB",37,14,"ACTIVE"
131,"Xavier Legette","CAR","WR",52,11,"ACTIVE"
132,"Hunter Henry","NE","TE",11,14,"ACTIVE"
133,"Demario Douglas","NE","WR",53,14,"ACTIVE"
134,"Marquez Valdes-Scantling","NO","WR",54,12,"ACTIVE"
135,"Joshua Palmer","LAC","WR",55,5,"ACTIVE"
136,"Rashod Bateman","BAL","WR",56,14,"ACTIVE"
137,"Cade Otton","TB","TE",12,11,"ACTIVE"
138,"Jerome Ford","CLE","RB",38,10,"ACTIVE"
139,"Michael Wilson","ARI","WR",57,11,"ACTIVE"
140,"Jalen McMillan","TB","WR",58,11,"ACTIVE"
141,"Marvin Mims Jr.","DEN","WR",59,14,"ACTIVE"
142,"Wan'Dale Robinson","NYG","WR",60,11,"ACTIVE"
143,"Tre Tucker","LV","WR",61,10,"ACTIVE"
144,"Keon Coleman","BUF","WR",62,12,"ACTIVE"
