player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Dak Prescott,10769,QB,DAL,1,79.2,53,57,9.0,2.6,2,2,3.4,64.9,37,0,14,11.9,62,5,21,9,82.3,83.4,79.9,72.5,0,2,64,0,14.3,93.6,3.2,2,3,0,2,3,3,4.7,472,8.3
Justin Herbert,28237,QB,LAC,1,80.4,46,49,6.8,2.55,0,2,3.8,71.4,35,0,22,5.4,53,2,20,27,81.1,73.7,71.3,67.2,1,1,57,0,9.1,88.0,3.8,2,2,1,1,1,2,3.5,330,6.7
Carson Wentz,10636,QB,PHI,1,71.4,42,47,6.6,2.78,1,1,2.0,61.7,29,0,13,3.3,56,1,15,24,41.1,56.9,43.9,89.9,0,2,60,0,23.1,62.8,5.4,3,6,0,4,1,4,6.7,225,4.8
Joe Burrow,28022,QB,CIN,1,77.5,40,44,9.0,2.57,1,2,4.3,70.5,31,0,23,0.0,52,0,19,7,81.0,86.5,84.4,60.0,1,0,54,0,34.8,105.5,15.4,8,0,0,2,2,0,0.0,312,7.1
Gardner Minshew,41401,QB,JAX,1,82.1,39,42,7.4,2.72,0,1,2.2,71.4,30,0,18,6.3,49,2,15,15,32.0,52.9,51.7,63.5,0,1,52,0,22.2,79.0,8.2,4,3,0,3,0,2,3.8,275,6.5
Patrick Mahomes,11765,QB,KC,1,80.0,40,42,8.7,2.68,1,4,9.3,73.8,31,0,13,3.1,47,1,24,16,80.1,92.3,91.4,68.1,0,0,49,0,0.0,133.5,0.0,0,4,0,1,4,0,0.0,385,9.2
Russell Wilson,7077,QB,SEA,1,83.8,37,40,9.9,3.46,1,5,11.4,67.5,27,0,17,12.9,48,4,16,29,81.1,89.1,90.3,53.7,0,0,54,1,23.5,130.7,8.3,4,4,0,2,5,0,0.0,315,7.9
Matt Ryan,4317,QB,ATL,1,67.7,31,38,11.9,2.66,2,1,2.6,50.0,19,0,13,9.5,40,2,13,2,79.5,64.1,63.9,57.9,1,1,43,0,15.4,67.7,5.0,2,0,0,4,1,1,2.3,238,6.3
Tom Brady,698,QB,TB,1,79.4,34,38,10.0,2.66,2,3,7.7,65.8,25,0,8,7.4,41,2,12,30,79.9,72.3,72.6,56.2,1,0,42,0,25.0,115.8,4.9,2,1,0,1,3,0,0.0,297,7.8
Dwayne Haskins,41897,QB,WAS,1,58.3,36,37,7.3,2.42,1,1,2.6,56.8,21,0,9,0.0,41,0,12,32,21.9,29.2,33.2,38.7,0,3,42,0,33.3,58.8,7.3,3,1,0,0,2,5,11.9,224,6.1
