"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"vs. NE","3 out of 5 stars","5.4","A+","22.0","+2.0","56% (9/16)","16%","Good"
"2","Stefon Diggs",BUF,"vs. TB","3 out of 5 stars","6.0","A+","19.4","-1.1","41% (7/17)","12%","Great"
"3","Ja'Marr Chase",CIN,"at SF","4 out of 5 stars","7.6","A+","19.1","-1.6","27% (3/11)","23%","Poor"
"4","Keenan Allen",LAC,"vs. CHI","3 out of 5 stars","6.2","A+","18.7","+1.1","57% (8/14)","15%","Good"
"5","A.J. Brown",PHI,"at WAS","3 out of 5 stars","7.0","A+","18.4","+2.6","58% (10/17)","21%","Poor"
"6","Amon-Ra St. Brown",DET,"vs. LV","3 out of 5 stars","6.6","A+","18.3","+0.3","43% (7/16)","10%","Great"
"7","Cooper Kupp",LAR,"at DAL","3 out of 5 stars","5.4","A+","18.1","-1.3","66% (4/6)","8%","Good"
"8","Davante Adams",LV,"at DET","4 out of 5 stars","6.2","A","16.9","-0.2","41% (7/17)","22%","Bad"
"9","Puka Nacua",LAR,"at DAL","3 out of 5 stars","5.4","A","16.6","+5.3","71% (5/7)","9%","Average"
"10","CeeDee Lamb",DAL,"vs. LAR","2 out of 5 stars","3.2","A","16.4","+1.0","53% (8/15)","11%","Bad"
"11","Brandon Aiyuk",SF,"vs. CIN","2 out of 5 stars","5.4","A","15.7","+1.2","46% (7/15)","12%","Average"
"12","Adam Thielen",CAR,"vs. HOU","4 out of 5 stars","7.0","A","15.6","+2.2","50% (8/16)","18%","Great"
"13","Jaylen Waddle",MIA,"vs. NE","3 out of 5 stars","5.6","A","15.5","-1.0","40% (6/15)","15%","Bad"
"14","Mike Evans",TB,"at BUF","4 out of 5 stars","8.6","A","15.1","+0.7","46% (7/15)","21%","Good"
"15","Chris Olave",NO,"at IND","4 out of 5 stars","7.2","A","15.1","-2.5","26% (4/15)","14%","Bad"
"16","Jakobi Meyers",LV,"at DET","4 out of 5 stars","8.0","A-","15.0","+1.6","57% (8/14)","21%","Good"
"17","Zay Flowers",BAL,"at ARI","5 out of 5 stars","9.2","A-","15.0","-0.7","28% (2/7)","15%","Bad"
"18","Jordan Addison",MIN,"at GB","2 out of 5 stars","4.8","A-","14.8","+3.6","57% (4/7)","18%","Good"
"19","DJ Moore",CHI,"at LAC","4 out of 5 stars","7.8","A-","14.0","+2.5","56% (9/16)","11%","Great"
