"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"at PHI","3 out of 5 stars","5.8","A+","23.4","+1.7","50% (8/16)","16%","Good"
"2","Cooper Kupp",LAR,"vs. PIT","3 out of 5 stars","5.0","A+","20.2","+0.6","80% (4/5)","14%","Great"
"3","Stefon Diggs",BUF,"at NE","3 out of 5 stars","6.0","A+","18.9","-1.1","43% (7/16)","13%","Great"
"4","Keenan Allen",LAC,"at KC","3 out of 5 stars","5.4","A+","17.9","+1.0","57% (8/14)","14%","Good"
"5","A.J. Brown",PHI,"vs. MIA","3 out of 5 stars","6.6","A+","17.7","+2.1","56% (9/16)","20%","Bad"
"6","Amon-Ra St. Brown",DET,"at BAL","3 out of 5 stars","5.6","A","17.6","-0.7","37% (6/16)","10%","Great"
"7","Brandon Aiyuk",SF,"at MIN","3 out of 5 stars","6.0","A","16.2","+1.7","53% (8/15)","13%","Average"
"8","Davante Adams",LV,"at CHI","4 out of 5 stars","7.2","A","16.1","-0.1","41% (7/17)","21%","Poor"
"9","Puka Nacua",LAR,"vs. PIT","3 out of 5 stars","5.8","A","15.1","+4.9","66% (4/6)","11%","Good"
"10","Jaylen Waddle",MIA,"at PHI","3 out of 5 stars","5.4","A","15.1","-1.0","40% (6/15)","17%","Bad"
"11","DeVonta Smith",PHI,"vs. MIA","3 out of 5 stars","6.0","A","14.7","+0.5","50% (8/16)","9%","Good"
"12","Chris Olave",NO,"vs. JAC","3 out of 5 stars","5.6","A","14.5","-2.2","33% (5/15)","14%","Bad"
"13","Mike Evans",TB,"vs. ATL","2 out of 5 stars","4.2","A","14.4","+0.5","46% (7/15)","20%","Average"
"14","DK Metcalf",SEA,"vs. ARI","4 out of 5 stars","8.4","A","14.1","-1.8","33% (5/15)","12%","Average"
"15","Marquise Brown",ARI,"at SEA","3 out of 5 stars","6.4","A","13.9","-0.6","36% (4/11)","32%","Poor"
"16","Tyler Lockett",SEA,"vs. ARI","4 out of 5 stars","8.0","A","13.9","-0.2","50% (7/14)","24%","Bad"
"17","Amari Cooper",CLE,"at IND","4 out of 5 stars","7.2","A-","13.8","+0.3","40% (6/15)","11%","Poor"
"18","Chris Godwin",TB,"vs. ATL","2 out of 5 stars","4.4","A-","13.7","0.0","33% (5/15)","15%","Bad"
