"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",SF,"vs. CIN","4 out of 5 stars","7.2","A+","21.5","+3.0","62% (10/16)","30%","Great"
"2","Austin Ekeler",LAC,"vs. CHI","4 out of 5 stars","7.6","A+","19.0","-2.6","38% (5/13)","27%","Bad"
"3","Alvin Kamara",NO,"at IND","3 out of 5 stars","7.2","A+","18.3","-0.8","38% (5/13)","24%","Bad"
"4","Jahmyr Gibbs",DET,"vs. LV","5 out of 5 stars","8.4","A","17.6","-1.5","20% (1/5)","7%","Average"
"5","Tony Pollard",DAL,"vs. LAR","3 out of 5 stars","5.6","A","17.5","+1.9","50% (7/14)","24%","Bad"
"6","Travis Etienne Jr.",JAC,"at PIT","4 out of 5 stars","7.2","A","16.7","+0.4","62% (10/16)","15%","Great"
"7","Breece Hall",NYJ,"at NYG","3 out of 5 stars","7.0","A","16.7","+1.3","50% (3/6)","8%","Great"
"8","Saquon Barkley",NYG,"vs. NYJ","2 out of 5 stars","4.0","A","16.4","-2.1","46% (6/13)","38%","Good"
"9","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","7.0","A","16.3","-0.1","47% (8/17)","18%","Average"
"10","D'Andre Swift",PHI,"at WAS","3 out of 5 stars","5.6","A-","16.2","+1.0","41% (7/17)","17%","Average"
"11","Raheem Mostert",MIA,"vs. NE","3 out of 5 stars","6.4","A-","16.1","+2.4","53% (8/15)","20%","Great"
"12","Kenneth Walker III",SEA,"vs. CLE","2 out of 5 stars","5.0","A-","15.6","+0.4","42% (6/14)","35%","Average"
"13","Jonathan Taylor",IND,"vs. NO","3 out of 5 stars","5.2","A-","15.5","-2.2","33% (3/9)","17%","Poor"
"14","Josh Jacobs",LV,"at DET","2 out of 5 stars","3.6","A-","15.5","-1.3","41% (7/17)","23%","Bad"
"15","Bijan Robinson",ATL,"at TEN","3 out of 5 stars","7.6","B+","15.4","-4.3","28% (2/7)","12%","Average"
"16","Joe Mixon",CIN,"at SF","3 out of 5 stars","5.8","B+","13.7","-1.6","15% (2/13)","24%","Bad"
"17","James Cook",BUF,"vs. TB","3 out of 5 stars","6.4","B","13.6","+1.2","58% (10/17)","9%","Poor"
"18","Derrick Henry",TEN,"vs. ATL","3 out of 5 stars","6.0","B","13.0","+0.4","53% (8/15)","24%","Good"
"19","Aaron Jones",GB,"vs. MIN","2 out of 5 stars","4.8","B","12.9","-1.4","50% (6/12)","16%","Great"
"20","Rachaad White",TB,"at BUF","4 out of 5 stars","8.0","B","12.6","-0.6","46% (7/15)","15%","Bad"
"21","Javonte Williams",DEN,"vs. KC","3 out of 5 stars","4.8","B","12.5","-3.1","16% (1/6)","6%","Bad"
"22","Rhamondre Stevenson",NE,"at MIA","5 out of 5 stars","9.4","B","11.3","-3.5","31% (5/16)","11%","Average"
"23","Kareem Hunt",CLE,"at SEA","2 out of 5 stars","3.4","B-","11.3","-1.0","30% (4/13)","14%","Great"
"24","Alexander Mattison",MIN,"at GB","5 out of 5 stars","8.8","C+","10.4","-1.3","29% (5/17)","22%","Bad"
"25","Dameon Pierce",HOU,"at CAR","5 out of 5 stars","9.9","C+","10.4","-4.2","23% (3/13)","20%","Bad"
"26","Gus Edwards",BAL,"at ARI","4 out of 5 stars","6.6","C+","10.3","-0.4","42% (6/14)","9%","Average"
"27","Chuba Hubbard",CAR,"vs. HOU","3 out of 5 stars","5.6","C+","10.3","+1.4","61% (8/13)","8%","Average"
"28","D'Onta Foreman",CHI,"at LAC","3 out of 5 stars","4.8","C","10.3","+1.5","41% (5/12)","18%","Great"
"29","Najee Harris",PIT,"vs. JAC","3 out of 5 stars","6.8","C","10.2","+0.4","53% (8/15)","12%","Poor"
"30","Emari Demercado",ARI,"vs. BAL","3 out of 5 stars","7.4","C","9.9","+1.2","57% (4/7)","6%","Great"
"31","Darrell Henderson Jr.",LAR,"at DAL","2 out of 5 stars","5.2","C","9.7","-0.7","40% (2/5)","28%","Good"
"32","Jaylen Warren",PIT,"vs. JAC","3 out of 5 stars","5.4","C","9.4","+0.8","50% (7/14)","7%","Good"
"33","Miles Sanders",CAR,"vs. HOU","3 out of 5 stars","6.2","C","9.2","-1.8","33% (5/15)","16%","Bad"
"34","Zack Moss",IND,"vs. NO","3 out of 5 stars","4.6","C-","9.0","+3.2","38% (5/13)","19%","Great"
"35","Brian Robinson Jr.",WAS,"vs. PHI","2 out of 5 stars","2.8","C","8.8","+0.3","43% (7/16)","19%","Great"
"36","Devin Singletary",HOU,"at CAR","5 out of 5 stars","9.9","C-","8.6","-0.6","43% (7/16)","4%","Average"
"37","AJ Dillon",GB,"vs. MIN","2 out of 5 stars","3.4","C-","8.5","+1.2","40% (6/15)","15%","Bad"
"38","Roschon Johnson",CHI,"at LAC","3 out of 5 stars","5.0","C-","8.5","-0.9","20% (1/5)","12%","Bad"
"39","Royce Freeman",LAR,"at DAL","2 out of 5 stars","5.2","D+","8.3","-0.4","20% (1/5)","2%","Bad"
"40","Justice Hill",BAL,"at ARI","4 out of 5 stars","7.0","D+","8.2","+0.3","26% (4/15)","11%","Good"
"41","Tyler Allgeier",ATL,"at TEN","3 out of 5 stars","7.2","D+","7.5","+1.9","50% (8/16)","16%","Poor"
"42","Ezekiel Elliott",NE,"at MIA","5 out of 5 stars","9.4","D","7.5","+1.5","71% (10/14)","10%","Average"
"43","Cam Akers",MIN,"at GB","5 out of 5 stars","9.2","D","7.3","+1.9","42% (6/14)","2%","Great"
"44","Latavius Murray",BUF,"vs. TB","3 out of 5 stars","7.0","D","7.3","+1.1","62% (10/16)","18%","Bad"
"45","Tyjae Spears",TEN,"vs. ATL","3 out of 5 stars","7.2","D","7.3","+1.2","50% (3/6)","8%","Good"
"46","Pierre Strong Jr.",CLE,"at SEA","2 out of 5 stars","2.6","D","6.9","+0.7","42% (6/14)","11%","Average"
"47","Jaleel McLaughlin",DEN,"vs. KC","3 out of 5 stars","4.6","D-","6.8","+3.0","57% (4/7)","9%","Great"
"48","Craig Reynolds",DET,"vs. LV","5 out of 5 stars","9.2","D-","6.8","-0.9","27% (3/11)","5%","Great"
"49","Antonio Gibson",WAS,"vs. PHI","2 out of 5 stars","2.8","F","6.3","-1.1","33% (5/15)","5%","Average"
"50","Jeff Wilson Jr.",MIA,"vs. NE","3 out of 5 stars","6.0","F","6.2","+0.3","55% (5/9)","0%","Bad"
"51","Jerick McKinnon",KC,"at DEN","3 out of 5 stars","8.0","F","5.6","+2.3","41% (7/17)","4%","Great"
"52","Joshua Kelley",LAC,"vs. CHI","4 out of 5 stars","7.6","F","5.5","0.0","50% (6/12)","9%","Average"
"53","Kenneth Gainwell",PHI,"at WAS","3 out of 5 stars","5.8","F","5.5","-0.3","37% (6/16)","8%","Poor"
"54","Samaje Perine",DEN,"vs. KC","3 out of 5 stars","4.2","F","5.4","+0.6","43% (7/16)","6%","Bad"
"55","Jamaal Williams",NO,"at IND","3 out of 5 stars","6.6","F","5.1","-0.1","38% (5/13)","3%","Bad"
"56","Salvon Ahmed",MIA,"vs. NE","3 out of 5 stars","7.6","F","4.9","+0.1","25% (3/12)","5%","Great"
"57","Elijah Mitchell",SF,"vs. CIN","4 out of 5 stars","6.2","F","4.8","-1.7","25% (2/8)","3%","Bad"
"58","Zach Charbonnet",SEA,"vs. CLE","2 out of 5 stars","5.2","F","4.7","-1.9","20% (1/5)","7%","Bad"
"59","Rico Dowdle",DAL,"vs. LAR","3 out of 5 stars","6.0","F","4.2","-0.4","25% (2/8)","6%","Poor"
"60","Michael Carter",NYJ,"at NYG","3 out of 5 stars","3.6","F","4.1","-1.4","35% (5/14)","1%","Bad"
"61","Dalvin Cook",NYJ,"at NYG","3 out of 5 stars","6.8","F","3.8","-2.9","18% (3/16)","6%","Bad"
"62","Clyde Edwards-Helaire",KC,"at DEN","3 out of 5 stars","8.6","F","3.7","-2.6","9% (1/11)","3%","Great"
"63","Cordarrelle Patterson",ATL,"at TEN","3 out of 5 stars","5.4","F","3.7","+0.4","50% (6/12)","3%","Bad"
"64","Chris Rodriguez Jr.",WAS,"vs. PHI","2 out of 5 stars","2.8","F","3.5","-0.2","25% (1/4)","3%","Bad"
"65","Matt Breida",NYG,"vs. NYJ","2 out of 5 stars","4.0","F","3.5","-0.4","25% (4/16)","4%","Great"
"66","Chase Edmonds",TB,"at BUF","4 out of 5 stars","-","F","3.2","-1.3","28% (2/7)","1%","Bad"
"67","Ke'Shawn Vaughn",TB,"at BUF","4 out of 5 stars","7.6","F","3.1","-1.1","16% (2/12)","8%","Bad"
"68","Tank Bigsby",JAC,"at PIT","4 out of 5 stars","6.2","F","3.1","-1.3","14% (1/7)","10%","Great"
"69","Damien Williams",ARI,"vs. BAL","3 out of 5 stars","7.0","F","2.9","+0.4","50% (1/2)","1%","Bad"
"70","Jordan Mason",SF,"vs. CIN","4 out of 5 stars","8.4","F","2.9","+0.9","53% (8/15)","2%","Great"
"71","DeeJay Dallas",SEA,"vs. CLE","2 out of 5 stars","4.6","F","2.6","-0.8","23% (3/13)","1%","Bad"
"72","Kyle Juszczyk",SF,"vs. CIN","4 out of 5 stars","7.8","F","2.3","-0.3","20% (3/15)","14%","Bad"
"73","Darrynton Evans",CHI,"at LAC","3 out of 5 stars","4.8","F","2.2","-","-","4%","Bad"
"74","Keaontay Ingram",ARI,"vs. BAL","3 out of 5 stars","7.6","F","2.1","-2.3","7% (1/14)","3%","Bad"
"75","Ameer Abdullah",LV,"at DET","2 out of 5 stars","4.0","F","1.9","+0.2","35% (6/17)","1%","Bad"
"76","Zamir White",LV,"at DET","2 out of 5 stars","2.8","F","1.8","-1.4","16% (2/12)","3%","Bad"
"77","Trayveon Williams",CIN,"at SF","3 out of 5 stars","-","F","1.5","-1.6","12% (1/8)","1%","Bad"
"78","Kendre Miller",NO,"at IND","3 out of 5 stars","6.4","F","1.2","-1.2","20% (1/5)","1%","Bad"
"79","Jerome Ford",CLE,"at SEA","2 out of 5 stars","3.4","F","1.1","+1.1","25% (3/12)","7%","Great"
"80","Patrick Ricard",BAL,"at ARI","4 out of 5 stars","7.2","F","1.1","-0.4","26% (4/15)","2%","Bad"
"81","Alec Ingold",MIA,"vs. NE","3 out of 5 stars","6.0","F","1.0","+0.5","31% (5/16)","1%","Bad"
"82","Emanuel Wilson",GB,"vs. MIN","2 out of 5 stars","4.4","F","1.0","-0.4","20% (1/5)","1%","Bad"
"83","Zach Evans",LAR,"at DAL","2 out of 5 stars","5.2","F","0.9","-1.4","50% (1/2)","1%","Bad"
"84","Reggie Gilliam",BUF,"vs. TB","3 out of 5 stars","6.4","F","0.9","-0.8","12% (1/8)","0%","N/A"
"85","C.J. Ham",MIN,"at GB","5 out of 5 stars","9.2","F","0.9","-0.4","14% (2/14)","0%","Bad"
"86","Keaton Mitchell",BAL,"at ARI","4 out of 5 stars","7.2","F","0.8","-1.0","0% (0/1)","0%","Bad"
"87","Boston Scott",PHI,"at WAS","3 out of 5 stars","5.8","F","0.8","-0.1","37% (6/16)","4%","Bad"
"88","Ty Chandler",MIN,"at GB","5 out of 5 stars","9.2","F","0.8","-1.3","18% (2/11)","1%","Bad"
"89","Deuce Vaughn",DAL,"vs. LAR","3 out of 5 stars","5.6","F","0.8","-1.0","20% (1/5)","3%","Bad"
"90","Khari Blasingame",CHI,"at LAC","3 out of 5 stars","5.0","F","0.7","-","-","1%","Bad"
"91","Myles Gaskin",LAR,"at DAL","2 out of 5 stars","4.6","F","0.7","-0.6","25% (1/4)","0%","N/A"
"92","Chris Evans",CIN,"at SF","3 out of 5 stars","-","F","0.7","-0.1","25% (2/8)","0%","Bad"
"93","Devine Ozigbo",DET,"vs. LV","5 out of 5 stars","9.6","F","0.7","-","-","1%","Bad"
"94","Deon Jackson",NYG,"vs. NYJ","2 out of 5 stars","2.8","F","0.7","-3.1","10% (1/10)","0%","N/A"
"95","Ty Montgomery II",NE,"at MIA","5 out of 5 stars","9.8","F","0.6","-0.4","28% (2/7)","5%","Bad"
"96","Travis Homer",CHI,"at LAC","3 out of 5 stars","5.0","F","0.6","-0.6","23% (3/13)","0%","Bad"
"97","Mike Boone",HOU,"at CAR","5 out of 5 stars","-","F","0.6","-0.6","28% (2/7)","0%","N/A"
"98","D'Ernest Johnson",JAC,"at PIT","4 out of 5 stars","7.0","F","0.6","-0.8","28% (4/14)","0%","Bad"
"99","Ty Johnson",BUF,"vs. TB","3 out of 5 stars","6.4","F","0.5","-0.2","20% (3/15)","0%","N/A"
"100","Michael Burton",DEN,"vs. KC","3 out of 5 stars","4.8","F","0.4","-0.2","25% (3/12)","0%","Bad"
"101","Jakob Johnson",LV,"at DET","2 out of 5 stars","4.0","F","0.4","-0.4","15% (2/13)","0%","Bad"
"102","Hunter Luepke",DAL,"vs. LAR","3 out of 5 stars","-","F","0.3","-","-","6%","Great"
"103","Raheem Blackshear",CAR,"vs. HOU","3 out of 5 stars","-","F","0.3","+1.1","45% (5/11)","4%","Bad"
"104","Isaiah Spiller",LAC,"vs. CHI","4 out of 5 stars","7.4","F","0.3","-1.4","7% (1/13)","3%","Bad"
"105","Keith Smith",ATL,"at TEN","3 out of 5 stars","5.4","F","0.2","-0.1","18% (2/11)","4%","Bad"
"106","Nick Bawden",NYJ,"at NYG","3 out of 5 stars","-","F","0.0","-","-","25%","Great"
