"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at DEN","3 out of 5 stars","4.8","A+","19.7","-0.9","43% (7/16)","16%","Good"
"2","Mark Andrews",BAL,"at ARI","3 out of 5 stars","5.0","A","14.7","-1.4","28% (4/14)","14%","Great"
"3","T.J. Hockenson",MIN,"at GB","3 out of 5 stars","5.6","A","14.4","0.0","35% (6/17)","10%","Poor"
"4","Sam LaPorta",DET,"vs. LV","3 out of 5 stars","6.0","A-","11.4","+2.3","57% (4/7)","9%","Great"
"5","George Kittle",SF,"vs. CIN","4 out of 5 stars","8.0","B+","11.3","+0.5","37% (6/16)","8%","Great"
"6","Darren Waller",NYG,"vs. NYJ","3 out of 5 stars","5.6","B","11.1","+1.1","50% (5/10)","14%","Bad"
"7","Dallas Goedert",PHI,"at WAS","4 out of 5 stars","8.2","B","10.8","+0.6","25% (3/12)","7%","Great"
"8","Evan Engram",JAC,"at PIT","3 out of 5 stars","5.2","B","10.3","+1.3","50% (8/16)","3%","Bad"
"9","Dalton Kincaid",BUF,"vs. TB","2 out of 5 stars","3.2","B-","10.3","-1.1","14% (1/7)","7%","Bad"
"10","Dalton Schultz",HOU,"at CAR","4 out of 5 stars","7.2","C+","10.2","+1.3","53% (8/15)","13%","Good"
"11","Jake Ferguson",DAL,"vs. LAR","4 out of 5 stars","9.4","C","9.0","-0.1","50% (7/14)","14%","Bad"
"12","Kyle Pitts",ATL,"at TEN","3 out of 5 stars","6.6","C","8.6","-0.7","27% (3/11)","10%","Bad"
"13","Logan Thomas",WAS,"vs. PHI","5 out of 5 stars","9.2","C-","8.5","-0.5","46% (7/15)","15%","Poor"
"14","Trey McBride",ARI,"vs. BAL","2 out of 5 stars","4.4","C-","8.4","+0.6","43% (7/16)","3%","Bad"
