player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,8,5,2,,0,1,3,59.2,77.2,86.1,73.5,69.2,39.7,6,10,0,,22.7,5,0,0,0.0,0,4,7,0,12,343,336,26,151,74,85,0,7,230,101,0,9,12,0,20,0,0,0,
Tyson Alualu,5535,DI,PIT,8,2,0,,0,0,25,60.0,30.3,18.2,52.3,31.9,48.2,1,4,0,,12.5,1,0,2,0.0,0,0,1,0,0,176,175,34,115,3,23,0,1,101,75,0,3,5,0,5,0,0,0,
Brandon Graham,5538,ED,PHI,8,3,1,100.0,0,1,24,72.3,90.0,86.2,84.4,75.2,57.9,3,14,0,2,15.4,2,0,0,79.2,2,4,3,0,7,203,200,1,4,188,7,0,3,137,59,0,10,8,2,21,0,2,5,1.0
Jason Pierre-Paul,5540,ED,BLT,6,1,3,100.0,1,0,3,55.7,49.6,59.2,56.2,46.3,59.4,0,8,0,8,12.5,1,0,1,100.0,1,1,3,0,5,240,237,0,5,214,18,0,3,157,78,0,3,6,1,9,0,8,7,8.0
Kareem Jackson,5545,S,DEN,8,13,0,64.3,0,0,10,68.6,69.0,56.6,,66.7,61.8,0,0,0,22,16.4,9,2,1,119.0,9,0,77,2,346,550,1,0,0,1,0,399,549,0,204,71,6,33,14,0,2,80,22,8.9
Devin McCourty,5552,S,NE,9,6,0,61.5,0,0,19,66.7,69.0,84.1,58.3,69.4,85.1,0,0,2,54,6.1,3,3,0,99.8,8,0,92,7,338,558,2,0,0,2,0,412,556,1,219,45,3,40,13,0,2,145,27,18.1
Jerry Hughes,5556,ED,HST,8,2,0,,1,1,13,68.2,76.3,54.7,70.2,63.9,28.0,0,21,1,,45.0,9,0,2,0.0,0,7,0,0,2,336,336,0,2,326,8,0,0,191,143,0,12,9,0,28,0,0,0,
Carlos Dunlap,5579,ED,KC,8,3,2,100.0,0,1,16,56.9,61.3,87.5,59.3,62.6,43.9,1,9,0,8,17.6,3,0,0,100.0,1,4,0,0,13,242,242,1,2,219,20,0,0,149,80,0,13,11,1,14,0,8,0,8.0
Corey Peters,5607,DI,JAX,5,3,0,,0,0,15,60.0,59.6,81.9,60.6,56.6,72.9,1,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,112,112,47,65,0,0,0,0,60,52,0,2,5,0,4,0,0,0,
Al Woods,5646,DI,SEA,8,6,1,,0,0,29,60.5,68.9,52.7,65.1,68.0,66.6,0,4,0,,4.5,1,0,1,0.0,0,2,0,0,1,203,203,116,87,0,0,0,0,84,118,0,13,15,0,6,0,0,0,
Von Miller,6154,ED,BUF,8,0,0,,0,1,4,90.2,88.5,42.7,80.3,79.1,53.1,2,20,0,,25.0,3,0,2,0.0,0,7,3,0,2,317,314,0,0,314,0,0,3,214,101,0,16,9,0,29,0,0,0,
Patrick Peterson,6157,CB,MIN,8,2,0,51.4,0,0,18,76.0,76.9,49.4,60.0,81.5,75.6,0,0,1,38,6.7,2,8,3,81.0,18,0,32,507,351,541,0,0,0,0,0,0,541,1,189,2,11,26,35,0,2,243,101,13.5
