player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,13,10,2,,0,2,3,58.6,76.6,87.7,72.1,70.0,33.1,11,14,0,,22.2,8,0,0,0.0,0,6,8,0,15,516,508,48,255,84,121,0,8,351,150,0,16,18,0,31,0,0,0,
Ndamukong Suh,5527,DI,PHI,6,2,0,,0,0,24,,66.0,81.2,54.4,71.4,54.7,0,5,0,,11.1,1,0,0,0.0,0,2,1,0,0,130,129,0,49,1,79,0,1,75,55,0,5,6,0,7,0,0,0,
Tyson Alualu,5535,DI,PIT,15,3,1,,0,0,25,60.0,29.8,34.2,58.7,28.4,42.5,2,6,0,,15.4,2,0,2,0.0,0,1,1,0,0,262,261,64,153,6,38,0,1,135,127,0,5,8,0,9,0,0,0,
Brandon Graham,5538,ED,PHI,15,4,1,100.0,0,2,24,72.7,90.5,71.9,88.8,78.0,57.4,3,26,0,2,15.0,3,0,1,79.2,2,11,5,0,12,379,371,1,10,347,13,0,8,237,130,3,21,13,2,40,0,2,5,1.0
Jason Pierre-Paul,5540,ED,BLT,12,2,3,100.0,1,0,3,58.5,53.4,57.5,53.3,58.1,45.5,0,14,1,24,18.2,4,0,2,69.6,5,2,8,0,16,444,436,0,12,389,35,0,8,267,161,0,11,16,5,16,0,51,39,10.2
Kareem Jackson,5545,S,DEN,15,20,0,66.7,0,0,10,62.3,64.7,74.0,56.7,68.5,56.3,0,0,0,23,17.7,17,3,1,115.0,22,0,169,4,613,1009,4,0,0,4,0,692,1005,2,394,140,17,59,33,0,3,214,53,9.7
Devin McCourty,5552,S,NE,15,9,0,57.9,0,0,19,69.3,70.4,87.3,55.5,70.3,87.2,0,0,3,54,5.9,4,3,0,87.3,11,0,183,8,597,967,3,0,0,3,0,689,964,2,368,84,6,55,19,0,2,189,44,17.2
Jerry Hughes,5556,ED,HST,15,5,0,,2,2,13,68.1,72.5,60.6,72.8,58.2,25.5,0,43,1,,46.9,15,0,3,0.0,0,8,4,0,3,618,614,0,3,596,15,0,4,336,279,0,15,12,0,51,0,0,0,
Linval Joseph,5571,DI,PHI,6,7,0,,0,0,24,60.0,54.6,44.5,61.1,54.8,43.9,0,2,0,,11.1,2,0,1,0.0,0,1,0,0,0,156,156,149,7,0,0,0,0,63,93,0,7,9,0,3,0,0,0,
Carlos Dunlap,5579,ED,KC,15,7,6,100.0,0,1,16,56.0,67.6,90.0,61.0,72.3,60.7,4,16,0,8,8.6,3,0,1,100.0,1,5,0,0,16,485,485,1,6,436,42,0,0,315,154,0,23,25,1,25,0,8,0,8.0
Corey Peters,5607,DI,JAX,10,4,0,,0,0,15,62.8,58.5,84.4,58.5,54.3,74.1,1,5,0,,0.0,0,0,0,0.0,0,0,0,0,0,209,209,95,114,0,0,0,0,108,101,0,4,7,0,6,0,0,0,
Al Woods,5646,DI,SEA,12,9,1,,0,0,29,60.5,71.8,64.5,68.6,68.7,57.9,0,10,0,,7.9,3,0,1,0.0,0,2,0,0,1,328,328,163,157,1,7,0,0,133,194,0,20,26,0,12,0,0,0,
Von Miller,6154,ED,BUF,11,1,0,,0,1,4,74.2,85.8,26.0,81.8,78.8,53.2,4,33,0,,22.2,4,0,4,0.0,0,8,4,0,4,450,446,0,1,445,0,0,4,311,135,0,21,13,0,45,0,0,0,
Patrick Peterson,6157,CB,MIN,15,3,0,59.4,0,0,18,82.1,80.3,67.2,62.7,64.6,73.2,0,1,4,38,8.3,5,9,4,71.8,41,0,57,961,658,1027,3,0,0,3,0,0,1024,2,367,6,16,52,69,1,3,495,186,12.1
J.J. Watt,6163,DI,ARZ,14,3,6,100.0,0,1,1,64.5,71.5,38.5,72.4,64.6,50.5,14,26,0,5,12.0,3,0,6,87.5,1,10,1,0,3,708,707,0,140,245,322,0,1,474,231,0,28,19,1,50,0,5,6,5.0
Robert Quinn,6166,ED,PHI,12,2,0,100.0,2,0,24,65.8,41.2,28.0,55.6,34.8,55.0,4,15,0,13,9.1,1,0,4,104.2,2,1,1,0,7,375,373,0,0,359,14,0,2,218,150,0,4,8,2,20,0,18,17,9.0
Cameron Jordan,6176,ED,NO,14,13,1,0.0,0,1,20,85.5,70.9,70.5,51.3,77.7,46.3,3,19,0,,16.1,9,1,2,39.6,0,7,0,0,13,698,695,0,3,644,48,0,3,417,268,2,28,34,1,29,0,0,0,
Cameron Heyward,6183,DI,PIT,15,15,1,,0,1,25,68.4,90.4,87.1,78.8,82.4,76.5,9,33,0,,1.9,1,0,1,0.0,0,9,3,0,0,701,698,28,392,53,225,0,3,434,267,0,36,36,0,51,0,0,0,
Justin Houston,6222,ED,BLT,12,2,0,,0,1,3,75.7,74.1,49.9,71.2,65.6,39.2,4,19,1,,35.7,5,0,2,0.0,0,10,1,1,23,353,350,0,3,335,12,0,3,260,70,1,14,7,0,33,0,0,0,
Lawrence Guy,6385,DI,NE,12,20,0,,0,0,19,62.9,52.5,86.2,55.2,49.4,70.3,1,13,0,,2.3,1,0,0,0.0,0,3,0,0,0,441,441,2,201,34,204,0,0,214,227,0,18,23,0,17,0,0,0,
Chris Harris Jr.,6457,CB,NO,10,3,0,78.0,0,1,20,47.8,50.1,37.4,66.3,60.3,56.6,0,5,0,62,6.5,2,1,4,110.5,32,1,29,61,226,375,15,0,0,15,0,1,360,20,129,268,9,26,41,6,1,351,146,11.0
Josh Bynes,6503,LB,BLT,7,4,0,58.3,0,0,3,69.9,54.2,80.9,58.5,38.1,62.3,0,1,1,22,13.3,4,1,0,72.6,7,1,258,1,124,269,3,0,0,3,0,0,266,23,122,7,9,22,12,2,1,83,56,11.9
