player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,13,10,2,,0,2,3,58.6,76.6,87.7,72.1,70.0,33.1,11,14,0,,22.2,8,0,0,0.0,0,6,8,0,15,516,508,48,255,84,121,0,8,351,150,0,16,18,0,31,0,0,0,
Ndamukong Suh,5527,DI,PHI,7,2,0,,0,0,24,,67.5,81.7,54.7,73.4,56.2,0,6,0,,10.0,1,0,0,0.0,0,2,1,0,0,152,151,0,58,1,92,0,1,86,66,0,6,7,0,8,0,0,0,
Tyson Alualu,5535,DI,PIT,16,3,1,,0,0,25,60.0,30.1,36.4,58.1,28.8,42.5,2,6,0,,15.4,2,0,2,0.0,0,1,1,0,0,275,274,65,165,6,38,0,1,140,135,0,5,8,0,9,0,0,0,
Brandon Graham,5538,ED,PHI,16,4,1,100.0,0,2,24,72.6,89.8,74.2,89.2,69.4,59.5,3,28,0,2,15.0,3,0,1,79.2,2,13,5,0,12,429,421,4,12,392,13,0,8,263,154,3,23,13,2,44,0,2,5,1.0
Jason Pierre-Paul,5540,ED,BLT,13,2,3,100.0,1,0,3,58.5,51.2,60.3,51.9,55.1,42.2,0,15,1,24,20.0,5,0,2,69.6,5,3,9,0,16,483,474,0,13,423,38,0,9,284,183,0,12,18,5,18,0,51,39,10.2
Kareem Jackson,5545,S,DEN,16,21,0,68.4,0,0,10,58.3,62.2,75.1,56.7,69.9,57.4,0,0,0,23,17.3,18,3,1,119.7,26,0,180,4,659,1069,4,0,0,4,0,725,1065,2,408,156,19,65,38,0,4,233,78,9.0
Devin McCourty,5552,S,NE,16,9,0,57.9,0,0,19,66.8,68.5,88.0,55.5,70.8,88.0,0,0,3,54,5.7,4,3,0,87.3,11,0,194,9,644,1038,3,0,0,3,0,741,1035,2,392,91,6,57,19,0,2,189,44,17.2
Jerry Hughes,5556,ED,HST,16,6,0,,2,2,13,68.1,73.3,62.3,71.7,60.9,26.0,0,45,1,,44.1,15,0,3,0.0,0,9,4,0,3,653,649,0,3,631,15,0,4,357,293,0,17,13,0,54,0,0,0,
Linval Joseph,5571,DI,PHI,7,9,0,,0,0,24,60.0,58.0,48.7,60.2,58.5,46.3,0,2,0,,10.0,2,0,1,0.0,0,1,0,0,0,176,176,166,10,0,0,0,0,68,108,0,7,9,0,3,0,0,0,
Carlos Dunlap,5579,ED,KC,16,8,7,100.0,0,1,16,56.2,67.8,90.2,61.6,71.3,61.9,5,18,0,8,8.1,3,0,1,100.0,1,5,0,0,17,520,520,1,6,465,48,0,0,337,166,0,24,26,1,28,0,8,0,8.0
Corey Peters,5607,DI,JAX,11,4,0,,0,0,15,61.9,60.3,84.8,58.6,57.4,74.7,1,5,0,,0.0,0,0,0,0.0,0,0,0,0,1,234,234,104,130,0,0,0,0,124,109,0,6,9,0,6,0,0,0,
Al Woods,5646,DI,SEA,13,10,1,,0,0,29,60.5,70.8,65.6,68.8,67.4,52.4,0,11,0,,9.8,4,0,1,0.0,0,2,0,0,1,346,346,173,165,1,7,0,0,143,202,0,21,27,0,13,0,0,0,
Von Miller,6154,ED,BUF,11,1,0,,0,1,4,74.2,85.8,26.0,81.8,78.8,53.2,4,33,0,,22.2,4,0,4,0.0,0,8,4,0,4,450,446,0,1,445,0,0,4,311,135,0,21,13,0,45,0,0,0,
