player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,BLT,8,5,2,,0,1,3,59.2,77.2,86.1,73.5,69.2,39.7,6,10,0,,22.7,5,0,0,0.0,0,4,7,0,12,343,336,26,151,74,85,0,7,230,101,0,9,12,0,20,0,0,0,
Tyson Alualu,5535,DI,PIT,9,2,0,,0,0,25,60.0,30.3,19.5,53.6,30.1,29.8,1,4,0,,22.2,2,0,2,0.0,0,0,1,0,0,182,181,36,119,3,23,0,1,105,77,0,3,5,0,5,0,0,0,
Brandon Graham,5538,ED,PHI,9,4,1,100.0,0,1,24,72.3,89.3,62.0,82.7,77.2,60.5,3,16,0,2,13.3,2,0,1,79.2,2,4,4,0,7,237,233,1,4,219,9,0,4,155,75,0,10,9,2,23,0,2,5,1.0
Jason Pierre-Paul,5540,ED,BLT,6,1,3,100.0,1,0,3,55.7,49.6,59.2,56.2,46.3,59.4,0,8,0,8,12.5,1,0,1,100.0,1,1,3,0,5,240,237,0,5,214,18,0,3,157,78,0,3,6,1,9,0,8,7,8.0
Kareem Jackson,5545,S,DEN,9,14,0,70.6,0,0,10,67.2,68.3,60.2,,68.3,56.9,0,0,0,22,17.7,11,3,1,125.2,12,0,88,2,386,612,1,0,0,1,0,443,611,0,226,78,6,37,17,0,3,101,24,8.4
Devin McCourty,5552,S,NE,9,6,0,61.5,0,0,19,66.7,69.0,84.1,58.3,69.4,85.1,0,0,2,54,6.1,3,3,0,99.8,8,0,92,7,338,558,2,0,0,2,0,412,556,1,219,45,3,40,13,0,2,145,27,18.1
Jerry Hughes,5556,ED,HST,9,2,0,,1,1,13,68.1,79.3,58.5,69.5,70.6,28.8,0,22,1,,40.9,9,0,2,0.0,0,8,0,0,3,378,378,0,2,367,9,0,0,204,171,0,15,11,0,30,0,0,0,
Carlos Dunlap,5579,ED,KC,9,5,2,100.0,0,1,16,59.8,62.1,88.1,56.7,65.0,50.1,1,9,0,8,14.3,3,0,0,100.0,1,5,0,0,14,290,290,1,2,265,22,0,0,187,89,0,15,13,1,15,0,8,0,8.0
Corey Peters,5607,DI,JAX,6,3,0,,0,0,15,60.0,57.8,82.5,59.4,55.1,72.9,1,4,0,,0.0,0,0,0,0.0,0,0,0,0,0,126,126,56,70,0,0,0,0,67,59,0,2,5,0,5,0,0,0,
Al Woods,5646,DI,SEA,9,8,1,,0,0,29,60.5,70.9,58.1,65.6,69.6,68.4,0,7,0,,3.8,1,0,1,0.0,0,2,0,0,1,249,249,138,111,0,0,0,0,101,147,0,15,17,0,9,0,0,0,
