player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeSean Jackson,4363,WR,LA,1,0,0,,0,0,26,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Calais Campbell,4364,DI,BLT,7,5,0,,0,0,3,72.9,83.0,85.0,74.8,73.4,42.9,7,13,0,,14.3,4,0,0,0.0,0,0,1,0,0,321,320,59,120,37,104,0,1,229,92,0,15,19,0,20,0,0,0,
Malcolm Jenkins,4937,S,NO,7,9,0,66.7,0,0,20,64.7,68.6,85.7,57.7,74.6,65.4,0,1,1,31,10.4,5,3,1,80.2,18,1,127,15,281,458,63,0,0,63,0,153,395,31,146,100,14,34,27,2,1,166,75,9.2
Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,25,16.0,4,3,0,114.6,10,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,14,0,1,98,29,9.8
Steve McLendon,5232,DI,TB,6,0,0,,0,0,30,59.5,49.7,80.0,55.5,47.6,26.7,1,2,0,,25.0,1,0,0,0.0,0,0,0,0,1,99,99,2,74,0,23,0,0,67,31,0,2,3,0,3,0,0,0,
Ndamukong Suh,5527,DI,TB,8,4,1,100.0,0,0,30,57.9,52.4,65.1,53.8,56.4,42.8,5,11,0,5,16.7,2,0,1,87.5,1,2,4,0,6,332,328,5,170,25,128,0,4,250,76,0,8,6,1,18,0,5,2,5.0
Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,,48.2,73.2,55.2,53.3,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,
Joe Haden,5532,CB,PIT,6,8,0,72.0,0,1,25,65.0,62.6,83.6,,49.1,29.8,0,0,0,37,23.5,8,3,0,111.8,18,0,35,346,241,388,3,0,0,3,0,0,385,0,147,4,5,18,25,0,1,218,77,12.1
Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,,59.7,78.7,59.4,58.2,40.8,1,1,0,,16.7,1,0,0,0.0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,,62.6,79.9,60.6,61.0,25.6,1,1,0,,50.0,2,0,0,0.0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,0,2,0,0,0,
Jason Pierre-Paul,5540,ED,TB,6,5,3,100.0,0,1,30,68.7,57.5,45.3,58.8,52.7,62.0,2,9,0,24,13.6,3,0,2,141.7,6,3,12,0,31,327,312,0,7,297,8,0,15,218,78,3,8,14,6,14,1,51,27,8.5
Kareem Jackson,5545,S,DEN,8,8,0,69.2,0,0,10,60.2,62.2,92.1,61.0,63.4,60.2,0,0,1,23,15.0,9,0,0,87.3,9,1,105,1,301,486,2,0,0,2,0,315,484,2,183,63,9,43,13,1,1,106,36,11.8
