"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Tyreek Hill",MIA,"vs. JAC","3 out of 5 stars","A+","20.8","+1.7","60% (9/15)","21%","Average"
"2","Amon-Ra St. Brown",DET,"vs. LAR","2 out of 5 stars","A+","19.0","+2.0","60% (9/15)","16%","Average"
"3","CeeDee Lamb",DAL,"at CLE","2 out of 5 stars","A+","18.8","+3.8","50% (8/16)","28%","Average"
"4","Justin Jefferson",MIN,"at NYG","3 out of 5 stars","A+","18.7","-0.5","55% (5/9)","26%","Poor"
"5","A.J. Brown",PHI,"vs. GB","3 out of 5 stars","A+","17.3","+0.5","43% (7/16)","24%","Poor"
"6","Puka Nacua",LAR,"at DET","4 out of 5 stars","A+","16.9","+2.9","62% (10/16)","13%","Average"
"7","Cooper Kupp",LAR,"at DET","4 out of 5 stars","A","16.8","-1.8","41% (5/12)","18%","Poor"
"8","Ja'Marr Chase",CIN,"vs. NE","3 out of 5 stars","A","16.1","-0.8","33% (5/15)","27%","Poor"
"9","Garrett Wilson",NYJ,"at SF","3 out of 5 stars","A","15.8","-1.3","37% (6/16)","29%","Bad"
"10","Davante Adams",LV,"at LAC","3 out of 5 stars","A","15.8","-0.8","37% (6/16)","36%","Poor"
"11","Marvin Harrison Jr.",ARI,"at BUF","3 out of 5 stars","A","15.6","-","-","0%","N/A"
"12","Mike Evans",TB,"vs. WAS","4 out of 5 stars","A","15.3","+2.7","62% (10/16)","26%","Average"
"13","Chris Olave",NO,"vs. CAR","3 out of 5 stars","A","15.3","-0.3","53% (8/15)","16%","Poor"
"14","Drake London",ATL,"vs. PIT","2 out of 5 stars","A","15.2","0.0","40% (6/15)","28%","Bad"
"15","Rashee Rice",KC,"vs. BAL","1 out of 5 stars","A","15.2","+2.5","68% (11/16)","14%","Average"
"16","Michael Pittman Jr.",IND,"vs. HOU","3 out of 5 stars","A-","15.1","+1.3","60% (9/15)","13%","Bad"
"17","Nico Collins",HOU,"at IND","4 out of 5 stars","A-","14.9","+2.6","50% (7/14)","16%","Good"
"18","Jaylen Waddle",MIA,"vs. JAC","3 out of 5 stars","A-","14.7","-0.6","35% (5/14)","11%","Poor"
"19","Malik Nabers",NYG,"vs. MIN","3 out of 5 stars","A-","14.6","-","-","0%","N/A"
"20","Stefon Diggs",HOU,"at IND","4 out of 5 stars","A-","14.5","-1.4","37% (6/16)","0%","N/A"
"21","Deebo Samuel Sr.",SF,"vs. NYJ","2 out of 5 stars","B+","14.5","+2.0","57% (8/14)","13%","Great"
"22","Chris Godwin",TB,"vs. WAS","4 out of 5 stars","B+","14.5","-0.1","31% (5/16)","16%","Bad"
