"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. TB","4 out of 5 stars","A+","14.1","-3.8","20% (3/15)","7%","Bad"
"2","Brock Bowers",LV,"at CIN","4 out of 5 stars","A+","13.8","+1.1","62% (5/8)","16%","Bad"
"3","Trey McBride",ARI,"vs. CHI","2 out of 5 stars","A","13.5","+0.6","40% (6/15)","12%","Bad"
"4","David Njoku",CLE,"vs. LAC","2 out of 5 stars","A","12.9","+3.0","64% (9/14)","8%","Great"
"5","Evan Engram",JAC,"at PHI","3 out of 5 stars","A-","12.5","+0.7","41% (5/12)","3%","Great"
"6","Cade Otton",TB,"at KC","3 out of 5 stars","A-","12.2","+1.1","52% (9/17)","11%","Average"
"7","Kyle Pitts",ATL,"vs. DAL","4 out of 5 stars","B+","11.6","+0.2","50% (8/16)","7%","Great"
"8","Jake Ferguson",DAL,"at ATL","4 out of 5 stars","B","11.6","-0.4","40% (6/15)","10%","Bad"
"9","Sam LaPorta",DET,"at GB","4 out of 5 stars","B","10.8","+0.1","40% (6/15)","6%","Average"
"10","Dalton Kincaid",BUF,"vs. MIA","2 out of 5 stars","B-","9.8","-1.7","37% (6/16)","9%","Average"
"11","Tucker Kraft",GB,"vs. DET","3 out of 5 stars","C+","9.7","+2.7","76% (13/17)","7%","Great"
"12","Dalton Schultz",HOU,"at NYJ","3 out of 5 stars","C","9.7","-0.8","40% (6/15)","5%","Bad"
"13","T.J. Hockenson",MIN,"vs. IND","5 out of 5 stars","C","9.6","+1.4","42% (3/7)","0%","N/A"
"14","Zach Ertz",WAS,"at NYG","4 out of 5 stars","C","9.5","+1.0","62% (5/8)","8%","Bad"
"15","Mark Andrews",BAL,"vs. DEN","1 out of 5 stars","C-","9.1","-1.0","45% (5/11)","9%","Great"
"16","Hunter Henry",NE,"at TEN","2 out of 5 stars","D+","9.0","+1.4","42% (6/14)","9%","Bad"
"17","Taysom Hill",NO,"at CAR","5 out of 5 stars","D","8.5","+1.1","54% (6/11)","10%","Great"
"18","Cole Kmet",CHI,"at ARI","2 out of 5 stars","D+","8.2","+1.6","46% (7/15)","7%","Great"
"19","Mike Gesicki",CIN,"vs. LV","4 out of 5 stars","D","8.2","-0.9","37% (6/16)","5%","Bad"
"20","Jonnu Smith",MIA,"at BUF","3 out of 5 stars","D-","7.8","+0.3","33% (5/15)","3%","Great"
"21","Tyler Conklin",NYJ,"vs. HOU","1 out of 5 stars","D-","7.4","+0.6","47% (8/17)","12%","Bad"
"22","Will Dissly",LAC,"at CLE","2 out of 5 stars","F","7.4","+0.3","43% (7/16)","4%","Bad"
"23","Grant Calcaterra",PHI,"vs. JAC","4 out of 5 stars","F","7.4","+0.7","50% (5/10)","1%","Bad"
"24","Isaiah Likely",BAL,"vs. DEN","1 out of 5 stars","F","6.6","+2.2","43% (7/16)","17%","Average"
"25","Colby Parkinson",LAR,"at SEA","4 out of 5 stars","F","6.3","-0.2","37% (6/16)","9%","Bad"
"26","Juwan Johnson",NO,"at CAR","5 out of 5 stars","F","6.3","+1.0","56% (9/16)","5%","Average"
"27","Chig Okonkwo",TEN,"vs. NE","3 out of 5 stars","F","6.1","-0.1","37% (6/16)","6%","Average"
"28","Noah Gray",KC,"vs. TB","4 out of 5 stars","F","6.1","+1.0","73% (11/15)","2%","Bad"
"29","Ja'Tavion Sanders",CAR,"vs. NO","3 out of 5 stars","F","5.6","0.0","50% (4/8)","8%","Bad"
"30","Theo Johnson",NYG,"vs. WAS","3 out of 5 stars","F","4.9","-1.4","25% (2/8)","5%","Bad"
"31","Erick All Jr.",CIN,"vs. LV","4 out of 5 stars","F","4.8","-0.6","37% (3/8)","2%","Bad"
"32","Foster Moreau",NO,"at CAR","5 out of 5 stars","F","4.6","+0.4","43% (7/16)","7%","Great"
"33","Lucas Krull",DEN,"at BAL","3 out of 5 stars","F","4.5","+0.8","25% (2/8)","2%","Bad"
"34","AJ Barner",SEA,"vs. LAR","3 out of 5 stars","F","4.4","+1.3","50% (4/8)","2%","Great"
"35","Dawson Knox",BUF,"vs. MIA","2 out of 5 stars","F","4.1","-0.6","33% (4/12)","4%","Good"
"36","Johnny Mundt",MIN,"vs. IND","5 out of 5 stars","F","4.0","+0.3","53% (8/15)","5%","Average"
"37","Austin Hooper",NE,"at TEN","2 out of 5 stars","F","3.9","-0.3","37% (6/16)","9%","Bad"
"38","Hayden Hurst",LAC,"at CLE","2 out of 5 stars","F","3.7","-1.9","14% (1/7)","7%","Bad"
"39","Brenton Strange",JAC,"at PHI","3 out of 5 stars","F","3.7","+0.7","33% (5/15)","7%","Great"
"40","Tommy Tremble",CAR,"vs. NO","3 out of 5 stars","F","3.7","-0.5","46% (6/13)","3%","Bad"
"41","Harrison Bryant",LV,"at CIN","4 out of 5 stars","F","3.6","+0.5","31% (5/16)","1%","Bad"
"42","Mo Alie-Cox",IND,"at MIN","3 out of 5 stars","F","3.2","+0.5","37% (6/16)","7%","Bad"
"43","Josh Whyle",TEN,"vs. NE","3 out of 5 stars","F","3.0","+0.3","46% (6/13)","2%","Bad"
"44","Adam Trautman",DEN,"at BAL","3 out of 5 stars","F","2.8","+0.7","37% (6/16)","7%","Average"
"45","Brock Wright",DET,"at GB","4 out of 5 stars","F","2.7","+0.9","46% (6/13)","5%","Average"
"46","Pharaoh Brown",SEA,"vs. LAR","3 out of 5 stars","F","2.7","-0.9","21% (3/14)","0%","Bad"
"47","Nate Adkins",DEN,"at BAL","3 out of 5 stars","F","2.6","+0.3","30% (3/10)","3%","Great"
"48","Cade Stover",HOU,"at NYJ","3 out of 5 stars","F","2.5","+0.1","57% (4/7)","0%","Bad"
"49","Jordan Akins",CLE,"vs. LAC","2 out of 5 stars","F","2.3","+0.2","41% (7/17)","3%","Great"
"50","Gerald Everett",CHI,"at ARI","2 out of 5 stars","F","2.1","-0.7","40% (6/15)","3%","Bad"
"51","Elijah Higgins",ARI,"vs. CHI","2 out of 5 stars","F","2.0","+1.2","56% (9/16)","9%","Great"
"52","Will Mallory",IND,"at MIN","3 out of 5 stars","F","2.0","+0.4","36% (4/11)","0%","Bad"
"53","Kylen Granson",IND,"at MIN","3 out of 5 stars","F","1.9","-1.1","18% (3/16)","2%","Bad"
"54","Ben Sims",GB,"vs. DET","3 out of 5 stars","F","1.9","-0.1","15% (2/13)","2%","Bad"
"55","Nick Vannett",TEN,"vs. NE","3 out of 5 stars","F","1.8","+0.3","22% (2/9)","7%","Good"
"56","Jeremy Ruckert",NYJ,"vs. HOU","1 out of 5 stars","F","1.8","-0.2","37% (6/16)","2%","Bad"
"57","Drew Ogletree",IND,"at MIN","3 out of 5 stars","F","1.7","-0.5","30% (4/13)","2%","Great"
"58","Charlie Kolar",BAL,"vs. DEN","1 out of 5 stars","F","1.7","+1.6","58% (7/12)","5%","Great"
"59","Josh Oliver",MIN,"vs. IND","5 out of 5 stars","F","1.6","+0.8","46% (7/15)","9%","Great"
"60","Durham Smythe",MIA,"at BUF","3 out of 5 stars","F","1.6","+0.2","35% (5/14)","7%","Bad"
"61","Brevyn Spann-Ford",DAL,"at ATL","4 out of 5 stars","F","1.4","-0.7","16% (1/6)","6%","Bad"
"62","Tanner Hudson",CIN,"vs. LV","4 out of 5 stars","F","1.3","+0.8","60% (6/10)","3%","Bad"
"63","Geoff Swaim",CLE,"vs. LAC","2 out of 5 stars","F","1.3","-","-","0%","N/A"
"64","Teagan Quitoriano",HOU,"at NYJ","3 out of 5 stars","F","1.3","-","-","0%","N/A"
"65","Drew Sample",CIN,"vs. LV","4 out of 5 stars","F","1.2","+1.0","52% (9/17)","0%","Bad"
"66","John Bates",WAS,"at NYG","4 out of 5 stars","F","1.1","-0.5","25% (4/16)","0%","N/A"
"67","Davis Allen",LAR,"at SEA","4 out of 5 stars","F","1.0","+0.5","27% (3/11)","2%","Bad"
"68","Ben Sinnott",WAS,"at NYG","4 out of 5 stars","F","1.0","-0.8","0% (0/6)","13%","Great"
"69","Jack Stoll",PHI,"vs. JAC","4 out of 5 stars","F","0.9","-1.2","0% (0/7)","0%","Bad"
"70","Tip Reiman",ARI,"vs. CHI","2 out of 5 stars","F","0.9","-0.6","25% (2/8)","0%","N/A"
"71","Charlie Woerner",ATL,"vs. DAL","4 out of 5 stars","F","0.7","-0.6","9% (1/11)","0%","Bad"
"72","Brady Russell",SEA,"vs. LAR","3 out of 5 stars","F","0.7","-","-","0%","N/A"
"73","Hunter Long",LAR,"at SEA","4 out of 5 stars","F","0.6","-0.8","22% (2/9)","0%","N/A"
"74","Ian Thomas",CAR,"vs. NO","3 out of 5 stars","F","0.6","-1.3","0% (0/9)","8%","Bad"
"75","Luke Schoonmaker",DAL,"at ATL","4 out of 5 stars","F","0.5","-0.2","31% (5/16)","2%","Bad"
"76","Luke Farrell",JAC,"at PHI","3 out of 5 stars","F","0.5","-0.1","25% (4/16)","2%","Bad"
"77","Tanner Conner",MIA,"at BUF","3 out of 5 stars","F","0.3","-","-","4%","Bad"
"78","Payne Durham",TB,"at KC","3 out of 5 stars","F","0.2","-0.4","26% (4/15)","0%","Bad"
"79","Eric Tomlinson",LAC,"at CLE","2 out of 5 stars","F","0.0","-","-","2%","Bad"
"80","Chris Manhertz",NYG,"vs. WAS","3 out of 5 stars","F","0.0","-0.7","0% (0/12)","0%","Bad"
"81","Daniel Bellinger",NYG,"vs. WAS","3 out of 5 stars","F","0.0","-0.1","50% (8/16)","3%","Bad"
"82","Quintin Morris",BUF,"vs. MIA","2 out of 5 stars","F","0.0","-0.5","25% (1/4)","0%","N/A"
"83","Ko Kieft",TB,"at KC","3 out of 5 stars","F","0.0","+1.1","25% (1/4)","0%","N/A"
"84","Anthony Firkser",KC,"vs. TB","4 out of 5 stars","F","0.0","-","-","0%","N/A"
"85","Marcedes Lewis",CHI,"at ARI","2 out of 5 stars","F","0.0","+0.3","22% (2/9)","0%","N/A"
"86","John FitzPatrick",GB,"vs. DET","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"87","Jaheim Bell",NE,"at TEN","2 out of 5 stars","F","0.0","-0.5","0% (0/1)","0%","N/A"
