"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Saquon Barkley",PHI,"vs. CLE","4 out of 5 stars","A+","18.7","+1.0","40% (6/15)","27%","Good"
"2","Derrick Henry",BAL,"vs. WAS","4 out of 5 stars","A+","18.4","+2.6","68% (11/16)","39%","Great"
"3","Bijan Robinson",ATL,"at CAR","5 out of 5 stars","A","17.6","-3.4","25% (4/16)","16%","Bad"
"4","Jordan Mason",SF,"at SEA","3 out of 5 stars","A","16.2","+0.2","38% (5/13)","21%","Poor"
"5","Alvin Kamara",NO,"vs. TB","2 out of 5 stars","A","17.2","+1.4","43% (7/16)","25%","Great"
"6","Jahmyr Gibbs",DET,"at DAL","4 out of 5 stars","A","15.8","+3.5","71% (10/14)","27%","Poor"
"7","Josh Jacobs",GB,"vs. ARI","3 out of 5 stars","A","15.5","-2.6","30% (4/13)","23%","Bad"
"8","Breece Hall",NYJ,"vs. BUF","5 out of 5 stars","A","15.7","-0.2","43% (7/16)","22%","Average"
"9","Tony Pollard",TEN,"vs. IND","5 out of 5 stars","A-","15.5","-2.3","40% (6/15)","34%","Average"
"10","Chuba Hubbard",CAR,"vs. ATL","1 out of 5 stars","A-","15.4","+1.7","37% (6/16)","20%","Average"
"11","Kenneth Walker III",SEA,"vs. SF","3 out of 5 stars","A-","15.0","-0.1","46% (6/13)","27%","Great"
"12","Bucky Irving",TB,"at NO","3 out of 5 stars","B+","14.9","+0.5","60% (3/5)","14%","Bad"
"13","James Conner",ARI,"at GB","3 out of 5 stars","B+","14.9","+2.5","66% (8/12)","21%","Great"
"14","D'Andre Swift",CHI,"vs. JAC","4 out of 5 stars","B+","14.5","-1.6","25% (4/16)","16%","Poor"
"15","J.K. Dobbins",LAC,"at DEN","3 out of 5 stars","B+","14.6","+2.4","50% (2/4)","12%","Great"
"16","David Montgomery",DET,"at DAL","4 out of 5 stars","B","14.3","+1.3","69% (9/13)","24%","Good"
"17","James Cook",BUF,"at NYJ","1 out of 5 stars","B","14.1","+1.7","50% (8/16)","23%","Great"
"18","Tyrone Tracy Jr.",NYG,"vs. CIN","3 out of 5 stars","B","13.8","-0.4","40% (2/5)","3%","Bad"
"19","Antonio Gibson",NE,"vs. HOU","2 out of 5 stars","B","13.7","+0.6","53% (8/15)","5%","Bad"
"20","Najee Harris",PIT,"at LV","5 out of 5 stars","B","13.0","+0.4","43% (7/16)","16%","Bad"
"21","Austin Ekeler",WAS,"at BAL","1 out of 5 stars","B","12.7","-3.0","43% (7/16)","4%","Great"
"22","Travis Etienne Jr.",JAC,"at CHI","4 out of 5 stars","B","12.8","-1.0","43% (7/16)","19%","Poor"
"23","Joe Mixon",HOU,"at NE","3 out of 5 stars","B-","12.6","+1.9","53% (7/13)","19%","Average"
"24","Chase Brown",CIN,"at NYG","3 out of 5 stars","B-","12.6","+3.1","63% (7/11)","10%","Good"
"25","Javonte Williams",DEN,"vs. LAC","3 out of 5 stars","C+","12.2","-1.2","31% (5/16)","20%","Bad"
"26","Rico Dowdle",DAL,"vs. DET","1 out of 5 stars","C+","12.0","+0.4","33% (5/15)","11%","Great"
"27","Zack Moss",CIN,"at NYG","3 out of 5 stars","C+","11.5","-1.2","42% (6/14)","17%","Poor"
"28","Trey Sermon",IND,"at TEN","3 out of 5 stars","C","10.2","+0.1","30% (4/13)","17%","Poor"
"29","Jerome Ford",CLE,"at PHI","4 out of 5 stars","C","11.4","+0.1","41% (7/17)","9%","Average"
"30","Tyjae Spears",TEN,"vs. IND","5 out of 5 stars","C","10.0","-0.7","40% (6/15)","6%","Great"
"31","Tank Bigsby",JAC,"at CHI","4 out of 5 stars","C","10.0","+0.6","25% (4/16)","14%","Great"
"32","Alexander Mattison",LV,"vs. PIT","2 out of 5 stars","C","8.0","-1.3","20% (3/15)","10%","Great"
"33","Tyler Allgeier",ATL,"at CAR","5 out of 5 stars","C","7.9","+0.3","37% (6/16)","5%","Bad"
"34","Justice Hill",BAL,"vs. WAS","4 out of 5 stars","C","7.7","+1.1","43% (7/16)","9%","Poor"
"35","Jeremy McNichols",WAS,"at BAL","1 out of 5 stars","C-","7.7","+8.3","66% (2/3)","7%","Great"
"36","Braelon Allen",NYJ,"vs. BUF","5 out of 5 stars","C","7.7","+1.8","40% (2/5)","4%","Great"
"37","Roschon Johnson",CHI,"vs. JAC","4 out of 5 stars","C-","7.1","+0.6","42% (6/14)","18%","Great"
"38","Emanuel Wilson",GB,"vs. ARI","3 out of 5 stars","C-","7.6","+1.5","50% (5/10)","4%","Great"
"39","Tyler Goodson",IND,"at TEN","3 out of 5 stars","C-","7.0","+0.3","37% (3/8)","1%","Bad"
"40","Jaylen Warren",PIT,"at LV","5 out of 5 stars","D+","6.3","-0.3","35% (5/14)","5%","Bad"
"41","Zach Charbonnet",SEA,"vs. SF","3 out of 5 stars","D+","6.8","+0.4","56% (9/16)","8%","Great"
"42","Jaleel McLaughlin",DEN,"vs. LAC","3 out of 5 stars","D+","6.6","-1.3","25% (4/16)","15%","Good"
"43","Miles Sanders",CAR,"vs. ATL","1 out of 5 stars","D","6.1","-1.9","26% (4/15)","7%","Average"
"44","Ameer Abdullah",LV,"vs. PIT","2 out of 5 stars","D","5.7","+0.1","43% (7/16)","9%","Great"
"45","Dare Ogunbowale",HOU,"at NE","3 out of 5 stars","D","5.7","+0.9","45% (5/11)","6%","Good"
"46","D'Onta Foreman",CLE,"at PHI","4 out of 5 stars","D-","5.6","+0.2","53% (7/13)","14%","Bad"
"47","Ezekiel Elliott",DAL,"vs. DET","1 out of 5 stars","D-","5.1","-0.3","40% (6/15)","7%","Average"
"48","Eric Gray",NYG,"vs. CIN","3 out of 5 stars","F","4.7","-1.1","12% (1/8)","14%","Bad"
"49","Ty Johnson",BUF,"at NYJ","1 out of 5 stars","F","4.9","+1.4","60% (6/10)","17%","Average"
"50","JaMycal Hasty",NE,"vs. HOU","2 out of 5 stars","F","3.9","-0.6","50% (3/6)","1%","Bad"
"51","Dameon Pierce",HOU,"at NE","3 out of 5 stars","F","3.9","-2.5","22% (2/9)","3%","Bad"
"52","Ray Davis",BUF,"at NYJ","1 out of 5 stars","F","3.8","-0.7","40% (2/5)","5%","Great"
"53","Jamaal Williams",NO,"vs. TB","2 out of 5 stars","F","3.7","-1.6","20% (3/15)","4%","Great"
"54","Isaac Guerendo",SF,"at SEA","3 out of 5 stars","F","3.1","-1.9","20% (1/5)","4%","Bad"
"55","Kimani Vidal",LAC,"at DEN","3 out of 5 stars","F","2.8","-","-","0%","N/A"
"56","Kenneth Gainwell",PHI,"vs. CLE","4 out of 5 stars","F","3.0","-0.3","40% (6/15)","4%","Bad"
"57","Emari Demercado",ARI,"at GB","3 out of 5 stars","F","2.8","+0.8","46% (6/13)","2%","Bad"
"58","Kyle Juszczyk",SF,"at SEA","3 out of 5 stars","F","2.8","+0.1","31% (5/16)","3%","Great"
"59","Sean Tucker",TB,"at NO","3 out of 5 stars","F","2.5","-0.3","14% (1/7)","0%","N/A"
"60","Hunter Luepke",DAL,"vs. DET","1 out of 5 stars","F","2.5","+0.3","37% (6/16)","1%","Bad"
"61","Trey Benson",ARI,"at GB","3 out of 5 stars","F","2.5","-2.5","20% (1/5)","3%","Bad"
"62","Pierre Strong Jr.",CLE,"at PHI","4 out of 5 stars","F","2.5","-0.2","46% (7/15)","1%","Bad"
"63","Zamir White",LV,"vs. PIT","2 out of 5 stars","F","2.1","-1.4","26% (4/15)","5%","Bad"
"64","D'Ernest Johnson",JAC,"at CHI","4 out of 5 stars","F","2.1","0.0","50% (8/16)","3%","Bad"
"65","Hassan Haskins",LAC,"at DEN","3 out of 5 stars","F","1.5","-0.4","0% (0/3)","0%","N/A"
"66","Cam Akers",HOU,"at NE","3 out of 5 stars","F","2.1","-0.6","50% (4/8)","8%","Great"
"67","Aaron Shampklin",PIT,"at LV","5 out of 5 stars","F","1.1","-","-","1%","Bad"
"68","Khalil Herbert",CHI,"vs. JAC","4 out of 5 stars","F","1.0","-0.6","27% (3/11)","16%","Bad"
"69","Patrick Ricard",BAL,"vs. WAS","4 out of 5 stars","F","0.7","+0.6","25% (4/16)","0%","N/A"
"70","Audric Estime",DEN,"vs. LAC","3 out of 5 stars","F","0.8","-1.7","0% (0/1)","1%","Bad"
"71","Evan Hull",IND,"at TEN","3 out of 5 stars","F","0.6","-4.3","0% (0/1)","0%","N/A"
"72","Trayveon Williams",CIN,"at NYG","3 out of 5 stars","F","0.5","-0.6","16% (2/12)","0%","N/A"
"73","Michael Burton",DEN,"vs. LAC","3 out of 5 stars","F","0.3","-0.2","43% (7/16)","0%","N/A"
"74","Reggie Gilliam",BUF,"at NYJ","1 out of 5 stars","F","0.3","-0.4","0% (0/6)","0%","N/A"
"75","Deuce Vaughn",DAL,"vs. DET","1 out of 5 stars","F","0.2","-0.3","60% (3/5)","1%","Bad"
"76","Chris Brooks",GB,"vs. ARI","3 out of 5 stars","F","0.2","-","-","0%","N/A"
