"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jake Ferguson",DAL,"vs. DET","3 out of 5 stars","A+","13.6","+0.3","46% (7/15)","9%","Bad"
"2","George Kittle",SF,"at SEA","5 out of 5 stars","A","13.0","+1.6","60% (9/15)","17%","Great"
"3","Brock Bowers",LV,"vs. PIT","3 out of 5 stars","A","12.2","+1.4","60% (3/5)","14%","Poor"
"4","Trey McBride",ARI,"at GB","5 out of 5 stars","A","12.2","+1.3","40% (6/15)","12%","Bad"
"5","Tucker Kraft",GB,"vs. ARI","2 out of 5 stars","A-","10.4","+2.4","68% (11/16)","8%","Great"
"6","Sam LaPorta",DET,"at DAL","2 out of 5 stars","A-","10.1","-0.1","33% (5/15)","3%","Bad"
"7","Dalton Kincaid",BUF,"at NYJ","1 out of 5 stars","B+","9.9","-1.2","37% (6/16)","9%","Average"
"8","Dallas Goedert",PHI,"vs. CLE","1 out of 5 stars","B","9.9","+0.9","33% (4/12)","5%","Bad"
"9","Kyle Pitts",ATL,"at CAR","3 out of 5 stars","B","9.3","-0.8","37% (6/16)","10%","Average"
"10","Evan Engram",JAC,"at CHI","2 out of 5 stars","B-","9.1","+0.3","33% (4/12)","2%","Bad"
"11","Dalton Schultz",HOU,"at NE","4 out of 5 stars","C","8.8","-0.5","42% (6/14)","6%","Bad"
"12","Tyler Conklin",NYJ,"vs. BUF","3 out of 5 stars","C","8.5","-0.2","37% (6/16)","11%","Bad"
"13","Zach Ertz",WAS,"at BAL","4 out of 5 stars","C+","8.4","-1.4","28% (2/7)","9%","Bad"
"14","Pat Freiermuth",PIT,"at LV","2 out of 5 stars","C","8.3","-0.2","33% (4/12)","7%","Great"
"15","Cole Kmet",CHI,"vs. JAC","3 out of 5 stars","C-","8.3","+0.3","43% (7/16)","6%","Average"
"16","Cade Otton",TB,"at NO","2 out of 5 stars","D+","8.2","-0.3","47% (8/17)","6%","Bad"
"17","Isaiah Likely",BAL,"vs. WAS","1 out of 5 stars","D+","7.9","+2.4","43% (7/16)","13%","Great"
"18","David Njoku",CLE,"at PHI","1 out of 5 stars","D","7.4","+2.7","64% (9/14)","1%","Bad"
"19","Mark Andrews",BAL,"vs. WAS","1 out of 5 stars","D","7.3","-2.7","36% (4/11)","2%","Bad"
"20","Mike Gesicki",CIN,"at NYG","2 out of 5 stars","D","7.1","-0.5","43% (7/16)","4%","Bad"
"21","Theo Johnson",NYG,"vs. CIN","3 out of 5 stars","D","6.7","-1.5","20% (1/5)","6%","Bad"
"22","Hunter Henry",NE,"vs. HOU","1 out of 5 stars","D-","6.3","0.0","28% (4/14)","16%","Bad"
"23","Noah Fant",SEA,"vs. SF","1 out of 5 stars","D-","6.2","-1.2","35% (6/17)","1%","Bad"
"24","Juwan Johnson",NO,"vs. TB","2 out of 5 stars","F","6.0","+1.0","50% (7/14)","8%","Good"
"25","Chig Okonkwo",TEN,"vs. IND","5 out of 5 stars","F","5.5","-0.2","33% (5/15)","11%","Great"
"26","Ja'Tavion Sanders",CAR,"vs. ATL","2 out of 5 stars","F","5.0","-1.0","40% (2/5)","4%","Bad"
"27","Erick All Jr.",CIN,"at NYG","2 out of 5 stars","F","4.6","+0.4","60% (3/5)","1%","Bad"
"28","Foster Moreau",NO,"vs. TB","2 out of 5 stars","F","4.5","+0.4","43% (7/16)","9%","Great"
"29","Hayden Hurst",LAC,"at DEN","4 out of 5 stars","F","4.3","-1.9","12% (1/8)","13%","Bad"
"30","Dawson Knox",BUF,"at NYJ","1 out of 5 stars","F","3.8","-1.9","18% (2/11)","2%","Bad"
"31","Will Dissly",LAC,"at DEN","4 out of 5 stars","F","3.3","-0.5","31% (5/16)","1%","Bad"
"32","Brenton Strange",JAC,"at CHI","2 out of 5 stars","F","3.2","+0.7","26% (4/15)","9%","Great"
"33","Josh Whyle",TEN,"vs. IND","5 out of 5 stars","F","3.0","+0.2","45% (5/11)","5%","Bad"
"34","Austin Hooper",NE,"vs. HOU","1 out of 5 stars","F","2.9","-0.1","50% (8/16)","10%","Average"
"35","Jordan Akins",CLE,"at PHI","1 out of 5 stars","F","2.7","+0.1","41% (7/17)","2%","Great"
"36","Mo Alie-Cox",IND,"at TEN","1 out of 5 stars","F","2.6","+0.3","31% (5/16)","8%","Poor"
"37","Elijah Higgins",ARI,"at GB","5 out of 5 stars","F","2.6","+1.3","50% (7/14)","10%","Great"
"38","Harrison Bryant",LV,"vs. PIT","3 out of 5 stars","F","2.5","+0.1","17% (3/17)","1%","Bad"
"39","Darnell Washington",PIT,"at LV","2 out of 5 stars","F","2.3","-0.1","43% (7/16)","8%","Great"
"40","Brock Wright",DET,"at DAL","2 out of 5 stars","F","2.3","+0.5","46% (6/13)","6%","Bad"
"41","Cade Stover",HOU,"at NE","4 out of 5 stars","F","2.2","+0.2","50% (2/4)","0%","N/A"
"42","Gerald Everett",CHI,"vs. JAC","3 out of 5 stars","F","2.2","+0.1","53% (8/15)","3%","Bad"
"43","Lucas Krull",DEN,"vs. LAC","4 out of 5 stars","F","2.1","+0.9","20% (1/5)","0%","N/A"
"44","Luke Schoonmaker",DAL,"vs. DET","3 out of 5 stars","F","2.1","-0.1","37% (6/16)","2%","Bad"
"45","Connor Heyward",PIT,"at LV","2 out of 5 stars","F","2.0","-0.2","33% (5/15)","5%","Great"
"46","Kylen Granson",IND,"at TEN","1 out of 5 stars","F","2.0","-0.7","28% (4/14)","3%","Bad"
"47","Adam Trautman",DEN,"vs. LAC","4 out of 5 stars","F","1.9","-0.6","31% (5/16)","0%","N/A"
"48","Will Mallory",IND,"at TEN","1 out of 5 stars","F","1.9","+0.4","36% (4/11)","0%","N/A"
"49","Jeremy Ruckert",NYJ,"vs. BUF","3 out of 5 stars","F","1.8","-0.4","33% (5/15)","2%","Bad"
"50","AJ Barner",SEA,"vs. SF","1 out of 5 stars","F","1.8","+1.4","40% (2/5)","2%","Great"
"51","Nate Adkins",DEN,"vs. LAC","4 out of 5 stars","F","1.8","-0.6","22% (2/9)","1%","Bad"
"52","Charlie Kolar",BAL,"vs. WAS","1 out of 5 stars","F","1.7","+2.3","55% (5/9)","8%","Great"
