"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Ja'Marr Chase",CIN,"vs. PIT","2 out of 5 stars","A+","19.3","+2.7","46% (7/15)","17%","Good"
"2","Puka Nacua",LAR,"at NO","2 out of 5 stars","A+","18.2","+2.3","72% (8/11)","10%","Bad"
"3","A.J. Brown",PHI,"at BAL","3 out of 5 stars","A+","17.9","-0.6","46% (6/13)","7%","Great"
"4","Justin Jefferson",MIN,"vs. ARI","4 out of 5 stars","A+","17.9","-1.6","40% (6/15)","16%","Poor"
"5","Nico Collins",HOU,"at JAC","4 out of 5 stars","A+","17.8","+2.6","63% (7/11)","23%","Poor"
"6","Cooper Kupp",LAR,"at NO","2 out of 5 stars","A+","17.2","+2.9","66% (8/12)","13%","Good"
"7","Amon-Ra St. Brown",DET,"vs. CHI","3 out of 5 stars","A+","16.8","+1.0","62% (10/16)","13%","Great"
"8","CeeDee Lamb",DAL,"vs. NYG","3 out of 5 stars","A","16.7","+1.0","43% (7/16)","14%","Poor"
"9","Drake London",ATL,"vs. LAC","4 out of 5 stars","A","16.5","-0.2","43% (7/16)","24%","Average"
"10","Ladd McConkey",LAC,"at ATL","5 out of 5 stars","A","15.6","+0.8","36% (4/11)","7%","Great"
"11","Malik Nabers",NYG,"at DAL","4 out of 5 stars","A","15.3","0.0","33% (3/9)","23%","Bad"
"12","Mike Evans",TB,"at CAR","2 out of 5 stars","A","15.2","-0.1","46% (6/13)","16%","Good"
"13","Tee Higgins",CIN,"vs. PIT","2 out of 5 stars","A","15.1","+3.5","45% (5/11)","13%","Average"
"14","Courtland Sutton",DEN,"vs. CLE","4 out of 5 stars","A","15.0","+1.0","62% (10/16)","20%","Poor"
"15","George Pickens",PIT,"at CIN","2 out of 5 stars","A","14.7","+1.2","37% (6/16)","19%","Bad"
"16","Tyreek Hill",MIA,"at GB","2 out of 5 stars","A","14.7","-3.9","20% (3/15)","14%","Poor"
"17","Davante Adams",NYJ,"vs. SEA","3 out of 5 stars","A","14.6","-0.2","33% (4/12)","18%","Poor"
"18","Garrett Wilson",NYJ,"vs. SEA","3 out of 5 stars","A-","14.4","-0.5","31% (5/16)","20%","Poor"
"19","Jaxon Smith-Njigba",SEA,"at NYJ","3 out of 5 stars","A-","14.3","+1.7","50% (8/16)","20%","Bad"
"20","Zay Flowers",BAL,"vs. PHI","2 out of 5 stars","A-","14.2","+0.4","50% (8/16)","12%","Average"
"21","Calvin Ridley",TEN,"at WAS","4 out of 5 stars","A-","14.0","-0.4","31% (5/16)","18%","Average"
"22","Terry McLaurin",WAS,"vs. TEN","2 out of 5 stars","B+","14.0","+1.3","68% (11/16)","9%","Good"
"23","Keenan Allen",CHI,"at DET","2 out of 5 stars","B","13.8","-1.5","18% (2/11)","14%","Good"
