"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Saquon Barkley",PHI,"vs. CAR","4 out of 5 stars","A+","22.2","+4.0","56% (9/16)","24%","Good"
"2","Alvin Kamara",NO,"at NYG","4 out of 5 stars","A+","21.1","-1.1","31% (5/16)","18%","Average"
"3","Chase Brown",CIN,"at DAL","4 out of 5 stars","A+","18.3","+2.7","62% (10/16)","16%","Average"
"4","Bijan Robinson",ATL,"at MIN","1 out of 5 stars","A","18.1","-0.7","50% (8/16)","20%","Great"
"5","De'Von Achane",MIA,"vs. NYJ","2 out of 5 stars","A","18.1","-0.4","50% (8/16)","19%","Average"
"6","Jahmyr Gibbs",DET,"vs. GB","3 out of 5 stars","A","17.1","+2.5","62% (10/16)","17%","Good"
"7","Josh Jacobs",GB,"at DET","2 out of 5 stars","A","16.5","+1.4","46% (6/13)","23%","Good"
"8","Bucky Irving",TB,"vs. LV","3 out of 5 stars","A","16.3","+3.7","75% (9/12)","14%","Average"
"9","Zach Charbonnet",SEA,"at ARI","2 out of 5 stars","A-","15.5","-0.2","43% (7/16)","10%","Great"
"10","Tony Pollard",TEN,"vs. JAC","3 out of 5 stars","A-","15.9","-2.0","37% (6/16)","16%","Average"
"11","James Cook",BUF,"at LAR","3 out of 5 stars","A-","15.9","+2.4","60% (9/15)","19%","Great"
"12","James Conner",ARI,"vs. SEA","3 out of 5 stars","B+","14.9","+1.4","66% (10/15)","23%","Poor"
"13","Kyren Williams",LAR,"vs. BUF","4 out of 5 stars","B+","15.2","0.0","43% (7/16)","27%","Average"
"14","Isaac Guerendo",SF,"vs. CHI","3 out of 5 stars","B+","14.7","+1.4","33% (4/12)","3%","Great"
"15","Aaron Jones Sr.",MIN,"vs. ATL","3 out of 5 stars","B+","14.6","-0.9","46% (7/15)","25%","Bad"
"16","Rico Dowdle",DAL,"vs. CIN","4 out of 5 stars","B+","14.3","+0.2","33% (5/15)","11%","Average"
"17","David Montgomery",DET,"vs. GB","3 out of 5 stars","B","14.2","+1.8","68% (11/16)","19%","Good"
"18","D'Andre Swift",CHI,"at SF","4 out of 5 stars","B","14.0","-0.8","37% (6/16)","15%","Average"
"19","Najee Harris",PIT,"vs. CLE","4 out of 5 stars","B","13.7","+0.4","50% (8/16)","17%","Poor"
"20","Tyrone Tracy Jr.",NYG,"vs. NO","5 out of 5 stars","B","13.2","+0.5","50% (6/12)","12%","Good"
"21","Rachaad White",TB,"vs. LV","3 out of 5 stars","B","13.2","+0.6","53% (8/15)","12%","Average"
"22","Jaylen Warren",PIT,"vs. CLE","4 out of 5 stars","B-","12.0","-1.1","28% (4/14)","8%","Bad"
"23","Chuba Hubbard",CAR,"at PHI","2 out of 5 stars","B-","11.6","+0.7","37% (6/16)","23%","Average"
"24","Braelon Allen",NYJ,"at MIA","4 out of 5 stars","B-","11.3","-0.5","25% (3/12)","4%","Great"
"25","Isiah Pacheco",KC,"vs. LAC","1 out of 5 stars","C+","11.0","+1.0","40% (2/5)","15%","Bad"
"26","Travis Etienne Jr.",JAC,"at TEN","3 out of 5 stars","C+","9.6","-3.2","21% (3/14)","10%","Bad"
"27","Nick Chubb",CLE,"at PIT","3 out of 5 stars","C","9.0","-1.2","50% (3/6)","20%","Average"
"28","Ameer Abdullah",LV,"at TB","3 out of 5 stars","C","8.9","+0.5","50% (8/16)","8%","Great"
"29","Tank Bigsby",JAC,"at TEN","3 out of 5 stars","C","8.1","+0.7","33% (5/15)","11%","Average"
"30","Kareem Hunt",KC,"vs. LAC","1 out of 5 stars","C","6.9","+0.3","53% (7/13)","19%","Bad"
"31","Jerome Ford",CLE,"at PIT","3 out of 5 stars","C","8.1","-1.1","42% (6/14)","4%","Poor"
"32","Tyjae Spears",TEN,"vs. JAC","3 out of 5 stars","C","7.5","-1.6","41% (5/12)","3%","Great"
"33","Sincere McCormick",LV,"at TB","3 out of 5 stars","C","7.7","+0.9","100% (2/2)","2%","Bad"
"34","Gus Edwards",LAC,"at KC","2 out of 5 stars","C","7.0","-1.4","41% (5/12)","7%","Bad"
"35","Jonathon Brooks",CAR,"at PHI","2 out of 5 stars","C-","6.7","-1.4","50% (1/2)","11%","Bad"
"36","Ray Davis",BUF,"at LAR","3 out of 5 stars","C-","6.3","+2.0","50% (6/12)","6%","Great"
"37","Raheem Mostert",MIA,"vs. NYJ","2 out of 5 stars","C-","6.1","+0.2","50% (6/12)","8%","Poor"
"38","Devin Singletary",NYG,"vs. NO","5 out of 5 stars","D+","6.0","-0.6","42% (6/14)","10%","Great"
"39","Cam Akers",MIN,"vs. ATL","3 out of 5 stars","D+","5.0","+0.3","41% (5/12)","6%","Great"
"40","Kenneth Gainwell",PHI,"vs. CAR","4 out of 5 stars","D","5.9","-0.1","43% (7/16)","6%","Bad"
"41","Kimani Vidal",LAC,"at KC","2 out of 5 stars","D","5.6","-0.4","20% (1/5)","4%","Great"
"42","Isaiah Davis",NYJ,"at MIA","4 out of 5 stars","D","5.2","-0.4","25% (1/4)","5%","Great"
"43","Tyler Allgeier",ATL,"at MIN","1 out of 5 stars","D","4.9","+0.6","37% (6/16)","14%","Bad"
"44","Chris Brooks",GB,"at DET","2 out of 5 stars","D-","4.7","+0.8","57% (4/7)","4%","Bad"
"45","Kendre Miller",NO,"at NYG","4 out of 5 stars","D-","4.0","-0.6","33% (1/3)","1%","Bad"
"46","Blake Corum",LAR,"vs. BUF","4 out of 5 stars","D-","4.4","-1.1","33% (4/12)","4%","Bad"
"47","Trey Benson",ARI,"vs. SEA","3 out of 5 stars","D-","3.9","-0.5","33% (4/12)","4%","Average"
"48","Travis Homer",CHI,"at SF","4 out of 5 stars","F","3.4","-0.2","33% (1/3)","0%","Bad"
"49","Jaylen Wright",MIA,"vs. NYJ","2 out of 5 stars","F","3.4","-0.5","36% (4/11)","2%","Bad"
"50","Alexander Mattison",LV,"at TB","3 out of 5 stars","D","3.3","-0.3","30% (4/13)","17%","Poor"
"51","Patrick Taylor Jr.",SF,"vs. CHI","3 out of 5 stars","F","3.2","-0.2","22% (2/9)","3%","Bad"
"52","Ty Johnson",BUF,"at LAR","3 out of 5 stars","F","3.1","+1.4","66% (10/15)","8%","Average"
"53","Emari Demercado",ARI,"vs. SEA","3 out of 5 stars","F","3.2","+1.8","46% (7/15)","3%","Good"
"54","Emanuel Wilson",GB,"at DET","2 out of 5 stars","F","2.9","+0.2","41% (5/12)","4%","Good"
"55","Samaje Perine",KC,"vs. LAC","1 out of 5 stars","F","2.9","-0.4","31% (5/16)","2%","Good"
"56","Sean Tucker",TB,"vs. LV","3 out of 5 stars","F","2.8","+2.3","36% (4/11)","5%","Great"
"57","Ezekiel Elliott",DAL,"vs. CIN","4 out of 5 stars","F","2.6","-1.4","26% (4/15)","6%","Average"
"58","Kyle Juszczyk",SF,"vs. CHI","3 out of 5 stars","F","2.6","+0.2","43% (7/16)","3%","Average"
"59","Khalil Herbert",CIN,"at DAL","4 out of 5 stars","F","2.6","-0.5","23% (3/13)","0%","N/A"
"60","Cordarrelle Patterson",PIT,"vs. CLE","4 out of 5 stars","F","2.4","-0.2","33% (4/12)","3%","Bad"
"61","Kenny McIntosh",SEA,"at ARI","2 out of 5 stars","F","1.9","-1.4","0% (0/5)","0%","N/A"
"62","Jamaal Williams",NO,"at NYG","4 out of 5 stars","F","2.0","-1.6","15% (2/13)","3%","Good"
"63","Hassan Haskins",LAC,"at KC","2 out of 5 stars","F","1.6","-0.7","9% (1/11)","8%","Bad"
"64","Alec Ingold",MIA,"vs. NYJ","2 out of 5 stars","F","1.5","+0.8","64% (9/14)","2%","Great"
"65","Hunter Luepke",DAL,"vs. CIN","4 out of 5 stars","F","1.1","+0.1","40% (6/15)","1%","Bad"
"66","Will Shipley",PHI,"vs. CAR","4 out of 5 stars","F","1.3","-0.1","14% (1/7)","1%","Bad"
"67","Eric Gray",NYG,"vs. NO","5 out of 5 stars","F","0.9","-1.0","16% (2/12)","10%","Bad"
"68","Ty Chandler",MIN,"vs. ATL","3 out of 5 stars","F","0.9","-1.2","25% (4/16)","3%","Bad"
"69","Israel Abanikanda",SF,"vs. CHI","3 out of 5 stars","F","0.7","+0.7","50% (2/4)","0%","N/A"
"70","Pierre Strong Jr.",CLE,"at PIT","3 out of 5 stars","F","0.5","-0.9","28% (4/14)","1%","Bad"
"71","C.J. Ham",MIN,"vs. ATL","3 out of 5 stars","F","0.4","+0.1","21% (3/14)","5%","Great"
"72","Raheem Blackshear",CAR,"at PHI","2 out of 5 stars","F","0.4","-0.2","25% (2/8)","0%","N/A"
"73","Carson Steele",KC,"vs. LAC","1 out of 5 stars","F","0.4","-1.9","8% (1/12)","4%","Bad"
"74","Kene Nwangwu",NYJ,"at MIA","4 out of 5 stars","F","0.3","-2.1","0% (0/2)","0%","N/A"
"75","Dylan Laube",LV,"at TB","3 out of 5 stars","F","0.3","-2.6","0% (0/4)","0%","N/A"
"76","Craig Reynolds",DET,"vs. GB","3 out of 5 stars","F","0.3","0.0","30% (3/10)","0%","Bad"
"77","Julius Chestnut",TEN,"vs. JAC","3 out of 5 stars","F","0.3","-1.4","0% (0/8)","5%","Bad"
"78","Adam Prentice",NO,"at NYG","4 out of 5 stars","F","0.2","-0.3","10% (1/10)","0%","Bad"
"79","Darrynton Evans",CHI,"at SF","4 out of 5 stars","F","0.2","-0.4","0% (0/2)","0%","N/A"
"80","Jeff Wilson Jr.",MIA,"vs. NYJ","2 out of 5 stars","F","0.2","-1.0","25% (2/8)","1%","Bad"
"81","Sione Vaki",DET,"vs. GB","3 out of 5 stars","F","0.1","-0.2","0% (0/5)","0%","Bad"
"82","Keilan Robinson",JAC,"at TEN","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"83","George Holani",SEA,"at ARI","2 out of 5 stars","F","0.0","-","-","0%","N/A"
"84","Ronnie Rivers",LAR,"vs. BUF","4 out of 5 stars","F","0.0","-0.9","37% (3/8)","1%","Bad"
"85","Reggie Gilliam",BUF,"at LAR","3 out of 5 stars","F","0.0","-0.3","0% (0/4)","0%","N/A"
"86","Jordan Mims",NO,"at NYG","4 out of 5 stars","F","0.0","-0.5","33% (2/6)","2%","Bad"
"87","Ke'Shawn Vaughn",SF,"vs. CHI","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"88","DeeJay Dallas",ARI,"vs. SEA","3 out of 5 stars","F","0.0","+0.3","7% (1/13)","0%","N/A"
"89","Jaret Patterson",LAC,"at KC","2 out of 5 stars","F","0.0","-","-","0%","N/A"
"90","Trayveon Williams",CIN,"at DAL","4 out of 5 stars","F","0.0","-0.7","12% (1/8)","0%","N/A"
"91","Avery Williams",ATL,"at MIN","1 out of 5 stars","F","0.0","-0.2","0% (0/3)","0%","N/A"
"92","Deuce Vaughn",DAL,"vs. CIN","4 out of 5 stars","F","0.0","-0.1","66% (4/6)","1%","Bad"
