"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Trey McBride",ARI,"vs. DET","3 out of 5 stars","A+","13.7","+1.5","43% (7/16)","10%","Bad"
"2","Travis Kelce",KC,"at ATL","4 out of 5 stars","A","13.7","-2.9","25% (4/16)","14%","Bad"
"3","Brock Bowers",LV,"vs. CAR","3 out of 5 stars","A-","12.9","+3.2","100% (2/2)","16%","Bad"
"4","Sam LaPorta",DET,"at ARI","1 out of 5 stars","A-","12.4","+1.4","43% (7/16)","2%","Bad"
"5","Dallas Goedert",PHI,"at NO","2 out of 5 stars","B","11.3","+0.5","30% (4/13)","2%","Bad"
"6","Dalton Kincaid",BUF,"vs. JAC","1 out of 5 stars","B+","11.3","-1.7","31% (5/16)","3%","Bad"
"7","Mark Andrews",BAL,"at DAL","2 out of 5 stars","B","11.2","-1.0","36% (4/11)","3%","Bad"
"8","Kyle Pitts",ATL,"vs. KC","5 out of 5 stars","B","10.9","-0.5","37% (6/16)","15%","Great"
"9","Jake Ferguson",DAL,"vs. BAL","4 out of 5 stars","B-","10.3","+0.2","46% (7/15)","29%","Bad"
"10","Isaiah Likely",BAL,"at DAL","2 out of 5 stars","C+","9.5","+2.3","43% (7/16)","19%","Good"
"11","Mike Gesicki",CIN,"vs. WAS","1 out of 5 stars","C","8.9","-0.3","37% (6/16)","5%","Bad"
"12","Hunter Henry",NE,"at NYJ","2 out of 5 stars","C","8.7","+0.1","35% (5/14)","5%","Bad"
"13","Zach Ertz",WAS,"at CIN","2 out of 5 stars","C","8.0","-1.0","42% (3/7)","2%","Bad"
"14","Dalton Schultz",HOU,"at MIN","3 out of 5 stars","C-","8.0","+0.6","50% (7/14)","4%","Bad"
"15","Colby Parkinson",LAR,"vs. SF","1 out of 5 stars","C-","7.9","+0.1","43% (7/16)","2%","Bad"
"16","Pat Freiermuth",PIT,"vs. LAC","4 out of 5 stars","D+","7.9","-0.9","27% (3/11)","5%","Bad"
"17","Brenton Strange",JAC,"at BUF","4 out of 5 stars","D-","7.8","+0.3","20% (3/15)","12%","Bad"
"18","Greg Dulcich",DEN,"at TB","2 out of 5 stars","D","7.2","-1.7","0% (0/3)","5%","Bad"
"19","Noah Fant",SEA,"vs. MIA","1 out of 5 stars","D","7.2","-1.1","43% (7/16)","4%","Bad"
"20","Cole Kmet",CHI,"at IND","1 out of 5 stars","D","6.8","+0.7","43% (7/16)","5%","Bad"
"21","Jonnu Smith",MIA,"at SEA","4 out of 5 stars","D","6.7","+0.4","43% (7/16)","3%","Bad"
"22","Tyler Conklin",NYJ,"vs. NE","2 out of 5 stars","F","6.7","-0.2","43% (7/16)","14%","Bad"
"23","Cade Otton",TB,"vs. DEN","5 out of 5 stars","F","6.5","-0.5","43% (7/16)","9%","Bad"
"24","Chig Okonkwo",TEN,"vs. GB","3 out of 5 stars","F","6.0","-0.2","31% (5/16)","19%","Great"
"25","Jordan Akins",CLE,"vs. NYG","2 out of 5 stars","F","5.9","-0.3","37% (6/16)","0%","Bad"
"26","Juwan Johnson",NO,"vs. PHI","1 out of 5 stars","F","5.7","+0.8","46% (6/13)","19%","Good"
"27","Gerald Everett",CHI,"at IND","1 out of 5 stars","F","5.5","0.0","57% (8/14)","0%","N/A"
"28","Tucker Kraft",GB,"at TEN","1 out of 5 stars","F","5.5","+1.0","60% (9/15)","4%","Bad"
"29","Hayden Hurst",LAC,"at PIT","2 out of 5 stars","F","5.4","-2.1","11% (1/9)","7%","Bad"
