"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Trey McBride",ARI,"at CAR","3 out of 5 stars","A+","16.0","+0.5","46% (7/15)","22%","Bad"
"2","Brock Bowers",LV,"vs. JAC","4 out of 5 stars","A","15.1","+1.4","57% (8/14)","13%","Poor"
"3","George Kittle",SF,"at MIA","2 out of 5 stars","A","14.1","+2.3","71% (10/14)","11%","Great"
"4","Jonnu Smith",MIA,"vs. SF","3 out of 5 stars","A-","13.8","+3.0","56% (9/16)","10%","Good"
"5","T.J. Hockenson",MIN,"at SEA","4 out of 5 stars","B","12.7","-1.5","25% (2/8)","11%","Bad"
"6","Travis Kelce",KC,"vs. HOU","3 out of 5 stars","B","11.6","-3.0","31% (5/16)","10%","Bad"
"7","Sam LaPorta",DET,"at CHI","3 out of 5 stars","B+","11.0","-0.7","40% (6/15)","10%","Poor"
"8","Brenton Strange",JAC,"at LV","4 out of 5 stars","B","10.5","+0.9","43% (7/16)","6%","Poor"
"9","Hunter Henry",NE,"at BUF","3 out of 5 stars","B-","10.2","-0.3","42% (6/14)","11%","Bad"
"10","Mark Andrews",BAL,"vs. PIT","4 out of 5 stars","C+","9.9","+1.3","57% (8/14)","7%","Great"
"11","Pat Freiermuth",PIT,"at BAL","3 out of 5 stars","C+","9.8","+0.7","50% (8/16)","8%","Great"
"12","Tucker Kraft",GB,"vs. NO","3 out of 5 stars","C","9.6","+1.7","62% (10/16)","7%","Great"
"13","Dalton Kincaid",BUF,"vs. NE","3 out of 5 stars","C","9.0","-2.0","30% (4/13)","8%","Poor"
"14","Jake Ferguson",DAL,"vs. TB","3 out of 5 stars","C-","8.6","-2.8","23% (3/13)","6%","Bad"
"15","Dalton Schultz",HOU,"at KC","3 out of 5 stars","D+","8.3","-1.4","31% (5/16)","5%","Bad"
"16","Stone Smartt",LAC,"vs. DEN","3 out of 5 stars","D+","7.8","+0.1","33% (4/12)","6%","Bad"
"17","Kyle Pitts",ATL,"vs. NYG","3 out of 5 stars","D+","7.7","-1.4","37% (6/16)","8%","Average"
"18","Noah Gray",KC,"vs. HOU","3 out of 5 stars","D","7.4","+2.5","75% (12/16)","4%","Great"
"19","Chig Okonkwo",TEN,"at IND","4 out of 5 stars","D","7.2","+0.6","37% (6/16)","7%","Average"
"20","Juwan Johnson",NO,"at GB","3 out of 5 stars","D","7.2","+1.2","56% (9/16)","7%","Average"
"21","Mike Gesicki",CIN,"vs. CLE","3 out of 5 stars","D-","7.0","+0.3","43% (7/16)","5%","Bad"
"22","Noah Fant",SEA,"vs. MIN","3 out of 5 stars","F","6.8","-0.5","30% (4/13)","5%","Bad"
"23","Isaiah Likely",BAL,"vs. PIT","4 out of 5 stars","F","6.6","+0.8","40% (6/15)","11%","Average"
"24","Cole Kmet",CHI,"vs. DET","3 out of 5 stars","F","6.5","-0.1","37% (6/16)","7%","Good"
"25","Grant Calcaterra",PHI,"at WAS","3 out of 5 stars","F","6.5","+0.6","46% (7/15)","2%","Good"
"26","Austin Hooper",NE,"at BUF","3 out of 5 stars","F","6.1","+1.6","62% (10/16)","6%","Good"
"27","Foster Moreau",NO,"at GB","3 out of 5 stars","F","6.1","+0.9","50% (8/16)","8%","Good"
"28","Michael Mayer",LV,"vs. JAC","4 out of 5 stars","F","6.0","-0.4","12% (1/8)","4%","Bad"
"29","Daniel Bellinger",NYG,"at ATL","4 out of 5 stars","F","6.0","+0.3","42% (6/14)","2%","Bad"
"30","Ja'Tavion Sanders",CAR,"vs. ARI","2 out of 5 stars","F","5.4","+0.2","53% (7/13)","6%","Bad"
"31","Jordan Akins",CLE,"at CIN","3 out of 5 stars","F","5.3","+0.4","50% (8/16)","2%","Average"
"32","Ben Sinnott",WAS,"vs. PHI","3 out of 5 stars","F","4.9","-0.4","25% (3/12)","3%","Great"
"33","Tyler Conklin",NYJ,"vs. LAR","2 out of 5 stars","F","4.6","-0.5","40% (6/15)","9%","Bad"
"34","David Njoku",CLE,"at CIN","3 out of 5 stars","D","4.3","+2.2","58% (7/12)","16%","Average"
"35","Zach Ertz",WAS,"vs. PHI","3 out of 5 stars","D-","4.3","+0.9","57% (8/14)","9%","Poor"
"36","Dawson Knox",BUF,"vs. NE","3 out of 5 stars","F","4.3","-0.5","31% (5/16)","3%","Poor"
"37","Luke Schoonmaker",DAL,"vs. TB","3 out of 5 stars","F","4.1","+0.4","37% (6/16)","2%","Great"
"38","Payne Durham",TB,"at DAL","4 out of 5 stars","F","4.1","-0.3","20% (2/10)","1%","Bad"
"39","Josh Whyle",TEN,"at IND","4 out of 5 stars","F","3.8","+0.5","40% (6/15)","3%","Great"
"40","Tommy Tremble",CAR,"vs. ARI","2 out of 5 stars","F","3.4","+0.3","54% (6/11)","4%","Average"
"41","Tyler Higbee",LAR,"at NYJ","3 out of 5 stars","F","3.4","+1.4","50% (1/2)","0%","N/A"
"42","Kylen Granson",IND,"vs. TEN","3 out of 5 stars","F","3.1","-0.7","31% (5/16)","3%","Bad"
"43","Lucas Krull",DEN,"at LAC","2 out of 5 stars","F","3.1","+0.2","33% (4/12)","1%","Bad"
"44","Josh Oliver",MIN,"at SEA","4 out of 5 stars","F","3.1","+1.6","57% (8/14)","5%","Great"
"45","Drew Sample",CIN,"vs. CLE","3 out of 5 stars","F","3.1","+0.4","43% (7/16)","2%","Average"
"46","Colby Parkinson",LAR,"at NYJ","3 out of 5 stars","F","3.0","-0.6","37% (6/16)","9%","Bad"
"47","Hayden Hurst",LAC,"vs. DEN","3 out of 5 stars","F","2.9","-2.9","0% (0/7)","6%","Bad"
"48","Adam Trautman",DEN,"at LAC","2 out of 5 stars","F","2.9","+0.2","31% (5/16)","4%","Great"
"49","Jeremy Ruckert",NYJ,"vs. LAR","2 out of 5 stars","F","2.8","-0.6","33% (5/15)","2%","Bad"
"50","John Bates",WAS,"vs. PHI","3 out of 5 stars","F","2.7","-0.2","25% (4/16)","0%","N/A"
"51","AJ Barner",SEA,"vs. MIN","3 out of 5 stars","F","2.5","+0.7","35% (5/14)","4%","Good"
"52","Ko Kieft",TB,"at DAL","4 out of 5 stars","F","2.5","-0.6","0% (0/3)","0%","N/A"
"53","Darnell Washington",PIT,"at BAL","3 out of 5 stars","F","2.5","+0.2","43% (7/16)","4%","Poor"
"54","Julian Hill",MIA,"vs. SF","3 out of 5 stars","F","2.3","+0.1","46% (7/15)","5%","Bad"
"55","Elijah Higgins",ARI,"at CAR","3 out of 5 stars","F","2.3","+0.6","56% (9/16)","5%","Good"
"56","Durham Smythe",MIA,"vs. SF","3 out of 5 stars","F","1.9","0.0","43% (7/16)","3%","Bad"
"57","Mo Alie-Cox",IND,"vs. TEN","3 out of 5 stars","F","1.8","-0.7","31% (5/16)","6%","Bad"
"58","Tip Reiman",ARI,"at CAR","3 out of 5 stars","F","1.8","-0.3","30% (4/13)","0%","Bad"
"59","Will Mallory",IND,"vs. TEN","3 out of 5 stars","F","1.7","+0.1","30% (3/10)","0%","Bad"
"60","Luke Farrell",JAC,"at LV","4 out of 5 stars","F","1.7","-0.9","13% (2/15)","1%","Bad"
"61","MyCole Pruitt",PIT,"at BAL","3 out of 5 stars","F","1.6","-0.3","27% (3/11)","0%","Bad"
"62","Blake Whiteheart",CLE,"at CIN","3 out of 5 stars","F","1.6","-0.3","11% (1/9)","5%","Good"
"63","Brock Wright",DET,"at CHI","3 out of 5 stars","F","1.6","+0.3","35% (5/14)","4%","Average"
"64","Charlie Woerner",ATL,"vs. NYG","3 out of 5 stars","F","1.5","-0.5","28% (4/14)","0%","Bad"
"65","Drew Ogletree",IND,"vs. TEN","3 out of 5 stars","F","1.4","-0.2","33% (5/15)","2%","Great"
"66","Tucker Fisk",LAC,"vs. DEN","3 out of 5 stars","F","1.3","-","-","3%","Bad"
"67","Nate Adkins",DEN,"at LAC","2 out of 5 stars","F","1.3","+1.2","42% (6/14)","3%","Great"
"68","Nick Vannett",TEN,"at IND","4 out of 5 stars","F","1.3","+0.6","21% (3/14)","6%","Good"
"69","Irv Smith Jr.",HOU,"at KC","3 out of 5 stars","F","1.2","-","-","0%","N/A"
"70","Cam Grandy",CIN,"vs. CLE","3 out of 5 stars","F","1.1","-","-","3%","Bad"
"71","Eric Saubert",SF,"at MIA","2 out of 5 stars","F","1.1","-0.4","20% (3/15)","2%","Bad"
"72","Josiah Deguara",JAC,"at LV","4 out of 5 stars","F","1.0","-0.3","20% (1/5)","4%","Bad"
"73","Davis Allen",LAR,"at NYJ","3 out of 5 stars","F","1.0","-1.4","7% (1/13)","7%","Bad"
"74","Johnny Mundt",MIN,"at SEA","4 out of 5 stars","F","0.9","+0.3","37% (6/16)","4%","Average"
"75","Brevyn Spann-Ford",DAL,"vs. TB","3 out of 5 stars","F","0.7","-0.1","30% (4/13)","3%","Bad"
"76","Harrison Bryant",LV,"vs. JAC","4 out of 5 stars","F","0.6","-0.1","40% (4/10)","0%","Bad"
"77","Ben Sims",GB,"vs. NO","3 out of 5 stars","F","0.6","-0.3","8% (1/12)","3%","Bad"
"78","Pharaoh Brown",SEA,"vs. MIN","3 out of 5 stars","F","0.5","-0.6","35% (5/14)","3%","Bad"
"79","Greg Dulcich",NYG,"at ATL","4 out of 5 stars","F","0.5","-2.3","0% (0/5)","0%","N/A"
"80","Chris Manhertz",NYG,"at ATL","4 out of 5 stars","F","0.5","-0.2","8% (1/12)","12%","Great"
"81","Luke Musgrave",GB,"vs. NO","3 out of 5 stars","F","0.4","-1.6","12% (1/8)","0%","Bad"
"82","Zaire Mitchell-Paden",BAL,"vs. PIT","4 out of 5 stars","F","0.4","-","-","0%","N/A"
"83","John FitzPatrick",GB,"vs. NO","3 out of 5 stars","F","0.2","-","-","0%","N/A"
"84","Connor Heyward",PIT,"at BAL","3 out of 5 stars","F","0.1","-0.2","9% (1/11)","2%","Great"
"85","C.J. Uzomah",PHI,"at WAS","3 out of 5 stars","F","0.1","-","-","0%","N/A"
"86","Dallin Holker",NO,"at GB","3 out of 5 stars","F","0.0","-0.5","33% (1/3)","0%","Bad"
"87","Hunter Long",LAR,"at NYJ","3 out of 5 stars","F","0.0","-0.6","21% (3/14)","0%","N/A"
"88","Quintin Morris",BUF,"vs. NE","3 out of 5 stars","F","0.0","-0.5","20% (1/5)","6%","Great"
"89","Ross Dwelley",ATL,"vs. NYG","3 out of 5 stars","F","0.0","-0.6","0% (0/2)","0%","Bad"
"90","Tanner McLachlan",CIN,"vs. CLE","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"91","Anthony Firkser",KC,"vs. HOU","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"92","Shane Zylstra",DET,"at CHI","3 out of 5 stars","F","0.0","+0.2","33% (1/3)","0%","N/A"
"93","Eric Tomlinson",LAC,"vs. DEN","3 out of 5 stars","F","0.0","-1.0","0% (0/4)","2%","Bad"
"94","Devin Culp",TB,"at DAL","4 out of 5 stars","F","0.0","-0.8","0% (0/1)","0%","N/A"
"95","Brenden Bates",CLE,"at CIN","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"96","Kenny Yeboah",NYJ,"vs. LAR","2 out of 5 stars","F","0.0","+0.8","50% (3/6)","2%","Great"
"97","Jordan Franks",FA,"-","-","F","0.0","-","-","0%","N/A"
"98","Brayden Willis",SF,"at MIA","2 out of 5 stars","F","0.0","-","-","0%","N/A"
"99","Jaheim Bell",NE,"at BUF","3 out of 5 stars","F","0.0","-0.4","0% (0/5)","0%","Bad"
"100","Cole Turner",WAS,"vs. PHI","3 out of 5 stars","F","0.0","-0.2","0% (0/1)","0%","N/A"
"101","E.J. Jenkins",PHI,"at WAS","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"102","Gerald Everett",CHI,"vs. DET","3 out of 5 stars","F","0.0","-1.4","14% (2/14)","3%","Bad"
"103","Jake Tonges",SF,"at MIA","2 out of 5 stars","F","0.0","-1.6","0% (0/3)","0%","N/A"
"104","Marcedes Lewis",CHI,"vs. DET","3 out of 5 stars","F","0.0","+1.6","33% (1/3)","0%","N/A"
"105","David Martin-Robinson",TEN,"at IND","4 out of 5 stars","F","0.0","-","-","0%","N/A"
