"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Ja'Marr Chase",CIN,"at TEN","2 out of 5 stars","A+","20.7","+4.0","53% (8/15)","21%","Good"
"2","Puka Nacua",LAR,"at SF","3 out of 5 stars","A+","18.9","+3.2","63% (7/11)","15%","Poor"
"3","Amon-Ra St. Brown",DET,"vs. BUF","4 out of 5 stars","A+","18.6","+1.1","62% (10/16)","12%","Good"
"4","Justin Jefferson",MIN,"vs. CHI","3 out of 5 stars","A+","18.1","-0.1","43% (7/16)","15%","Average"
"5","Nico Collins",HOU,"vs. MIA","3 out of 5 stars","A+","18.0","+2.2","70% (7/10)","21%","Poor"
"6","Tyreek Hill",MIA,"at HOU","4 out of 5 stars","A","16.3","-2.7","26% (4/15)","14%","Poor"
"7","Tee Higgins",CIN,"at TEN","2 out of 5 stars","A","16.2","+3.0","54% (6/11)","16%","Average"
"8","A.J. Brown",PHI,"vs. PIT","2 out of 5 stars","A","16.0","-1.5","38% (5/13)","7%","Great"
"9","Mike Evans",TB,"at LAC","3 out of 5 stars","A","16.0","+0.1","46% (6/13)","14%","Average"
"10","Terry McLaurin",WAS,"at NO","2 out of 5 stars","A","15.5","+2.7","75% (12/16)","11%","Good"
"11","Drake London",ATL,"at LV","3 out of 5 stars","A","15.4","-0.8","43% (7/16)","27%","Poor"
"12","Courtland Sutton",DEN,"vs. IND","4 out of 5 stars","A","15.3","+0.6","60% (9/15)","19%","Poor"
"13","Cooper Kupp",LAR,"at SF","3 out of 5 stars","A","15.2","+1.4","58% (7/12)","12%","Good"
"14","CeeDee Lamb",DAL,"at CAR","2 out of 5 stars","A","15.1","+0.2","43% (7/16)","14%","Average"
"15","Jauan Jennings",SF,"vs. LAR","3 out of 5 stars","A","15.1","+4.1","58% (7/12)","11%","Average"
"16","Davante Adams",NYJ,"at JAC","3 out of 5 stars","A","15.1","+1.0","46% (6/13)","20%","Average"
"17","Jaxon Smith-Njigba",SEA,"vs. GB","2 out of 5 stars","A","15.1","+1.9","50% (8/16)","17%","Poor"
"18","Ladd McConkey",LAC,"vs. TB","3 out of 5 stars","A-","15.0","+1.1","41% (5/12)","7%","Good"
"19","Garrett Wilson",NYJ,"at JAC","3 out of 5 stars","A-","15.0","-0.6","31% (5/16)","18%","Poor"
"20","Jerry Jeudy",CLE,"vs. KC","4 out of 5 stars","A-","14.8","+2.1","62% (10/16)","11%","Poor"
"21","Malik Nabers",NYG,"vs. BAL","3 out of 5 stars","A-","14.7","0.0","36% (4/11)","22%","Bad"
"22","Calvin Ridley",TEN,"vs. CIN","3 out of 5 stars","B+","14.6","-0.4","31% (5/16)","20%","Poor"
"23","Zay Flowers",BAL,"at NYG","3 out of 5 stars","B","14.5","-0.3","43% (7/16)","12%","Average"
"24","Brian Thomas Jr.",JAC,"vs. NYJ","3 out of 5 stars","B+","14.2","+2.0","69% (9/13)","12%","Average"
"25","Jakobi Meyers",LV,"vs. ATL","5 out of 5 stars","B","14.2","+1.8","50% (7/14)","11%","Bad"
"26","DJ Moore",CHI,"at MIN","3 out of 5 stars","B","14.1","-0.1","31% (5/16)","15%","Average"
"27","DK Metcalf",SEA,"vs. GB","2 out of 5 stars","B","13.8","-1.0","35% (5/14)","16%","Bad"
"28","Jordan Addison",MIN,"vs. CHI","3 out of 5 stars","B-","13.6","+3.8","42% (6/14)","14%","Good"
"29","Khalil Shakir",BUF,"at DET","2 out of 5 stars","C+","13.2","+0.9","60% (9/15)","7%","Average"
"30","Deebo Samuel Sr.",SF,"vs. LAR","3 out of 5 stars","C+","12.8","-4.0","26% (4/15)","9%","Bad"
"31","Adam Thielen",CAR,"vs. DAL","3 out of 5 stars","C+","12.7","+1.5","44% (4/9)","8%","Average"
"32","Jaylen Waddle",MIA,"at HOU","4 out of 5 stars","C+","12.3","-0.2","26% (4/15)","7%","Bad"
"33","Marvin Harrison Jr.",ARI,"vs. NE","4 out of 5 stars","C+","12.3","-1.3","38% (5/13)","18%","Good"
"34","Darnell Mooney",ATL,"at LV","3 out of 5 stars","C+","12.2","+1.0","46% (7/15)","17%","Average"
"35","Jayden Reed",GB,"at SEA","3 out of 5 stars","C+","12.1","+1.5","46% (7/15)","7%","Great"
"36","Keenan Allen",CHI,"at MIN","3 out of 5 stars","C+","12.1","+0.3","27% (3/11)","13%","Good"
"37","Jameson Williams",DET,"vs. BUF","4 out of 5 stars","C+","11.7","+1.5","60% (9/15)","8%","Average"
"38","DeAndre Hopkins",KC,"at CLE","4 out of 5 stars","C","11.5","-1.4","31% (5/16)","12%","Average"
"39","DeVonta Smith",PHI,"vs. PIT","2 out of 5 stars","C","11.3","-0.7","46% (6/13)","10%","Good"
"40","Elijah Moore",CLE,"vs. KC","4 out of 5 stars","C","11.3","-0.1","37% (6/16)","7%","Bad"
"41","Josh Downs",IND,"at DEN","3 out of 5 stars","C","11.3","+1.1","38% (5/13)","11%","Average"
"42","Amari Cooper",BUF,"at DET","2 out of 5 stars","C","11.0","+1.7","38% (5/13)","7%","Great"
"43","Michael Pittman Jr.",IND,"at DEN","3 out of 5 stars","C","10.9","-2.5","35% (5/14)","8%","Bad"
"44","Tank Dell",HOU,"vs. MIA","3 out of 5 stars","C","10.7","-2.9","25% (3/12)","11%","Bad"
"45","Rome Odunze",CHI,"at MIN","3 out of 5 stars","C","10.6","-0.2","30% (4/13)","18%","Bad"
"46","Quentin Johnston",LAC,"vs. TB","3 out of 5 stars","C","10.6","+0.5","50% (7/14)","13%","Good"
"47","Xavier Legette",CAR,"vs. DAL","3 out of 5 stars","C-","10.5","-0.7","46% (6/13)","10%","Average"
"48","Christian Watson",GB,"at SEA","3 out of 5 stars","C-","10.0","-1.2","33% (4/12)","14%","Bad"
"49","Xavier Worthy",KC,"at CLE","4 out of 5 stars","C-","9.5","-0.9","38% (5/13)","6%","Good"
"50","DeMario Douglas",NE,"at ARI","4 out of 5 stars","C-","9.5","-1.3","31% (5/16)","4%","Poor"
"51","Romeo Doubs",GB,"at SEA","3 out of 5 stars","C-","9.5","-0.1","30% (4/13)","8%","Poor"
"52","Nick Westbrook-Ikhine",TEN,"vs. CIN","3 out of 5 stars","C-","9.3","+3.2","50% (6/12)","20%","Great"
"53","Rashod Bateman",BAL,"at NYG","3 out of 5 stars","C-","9.3","+1.1","50% (8/16)","9%","Great"
"54","Ray-Ray McCloud III",ATL,"at LV","3 out of 5 stars","C-","9.1","+0.7","61% (8/13)","5%","Bad"
"55","Joshua Palmer",LAC,"vs. TB","3 out of 5 stars","D+","9.0","-0.3","28% (4/14)","8%","Bad"
"56","Wan'Dale Robinson",NYG,"vs. BAL","3 out of 5 stars","D+","9.0","-0.6","37% (6/16)","11%","Poor"
"57","Michael Wilson",ARI,"vs. NE","4 out of 5 stars","D","8.7","0.0","56% (9/16)","12%","Average"
"58","Devaughn Vele",DEN,"vs. IND","4 out of 5 stars","D","8.6","+2.1","55% (5/9)","6%","Bad"
"59","Jalen McMillan",TB,"at LAC","3 out of 5 stars","D-","8.3","-0.5","30% (3/10)","7%","Good"
"60","Marquez Valdes-Scantling",NO,"vs. WAS","3 out of 5 stars","D-","8.3","+0.8","28% (4/14)","10%","Great"
"61","Tre Tucker",LV,"vs. ATL","5 out of 5 stars","F","8.3","+1.2","37% (6/16)","6%","Good"
"62","Tim Patrick",DET,"vs. BUF","4 out of 5 stars","F","8.3","+1.3","58% (7/12)","7%","Poor"
"63","Alec Pierce",IND,"at DEN","3 out of 5 stars","F","7.9","+2.3","50% (8/16)","8%","Good"
"64","Sterling Shepard",TB,"at LAC","3 out of 5 stars","F","7.8","+0.1","50% (6/12)","6%","Bad"
"65","Parker Washington",JAC,"vs. NYJ","3 out of 5 stars","F","7.7","-0.5","20% (3/15)","7%","Bad"
"66","Keon Coleman",BUF,"at DET","2 out of 5 stars","F","7.7","-0.5","50% (5/10)","14%","Poor"
"67","Tyler Lockett",SEA,"vs. GB","2 out of 5 stars","F","7.6","-2.4","37% (6/16)","12%","Bad"
"68","Kendrick Bourne",NE,"at ARI","4 out of 5 stars","F","7.6","-0.3","33% (3/9)","5%","Average"
"69","Marvin Mims Jr.",DEN,"vs. IND","4 out of 5 stars","F","7.3","+0.8","46% (7/15)","3%","Great"
"70","Brandin Cooks",DAL,"at CAR","2 out of 5 stars","F","7.3","-0.8","36% (4/11)","16%","Average"
"71","Dontayvion Wicks",GB,"at SEA","3 out of 5 stars","F","7.2","-0.7","33% (5/15)","9%","Average"
"72","Kayshon Boutte",NE,"at ARI","4 out of 5 stars","F","7.1","+1.1","58% (7/12)","9%","Bad"
"73","Calvin Austin III",PIT,"at PHI","2 out of 5 stars","F","6.9","+1.6","37% (6/16)","6%","Good"
"74","Dyami Brown",WAS,"at NO","2 out of 5 stars","F","6.9","-0.6","31% (5/16)","4%","Bad"
"75","Demarcus Robinson",LAR,"at SF","3 out of 5 stars","F","6.8","+2.2","50% (8/16)","13%","Average"
"76","Allen Lazard",NYJ,"at JAC","3 out of 5 stars","F","6.7","+3.7","70% (7/10)","13%","Good"
"77","Tyler Boyd",TEN,"vs. CIN","3 out of 5 stars","F","6.6","-1.2","37% (6/16)","11%","Bad"
"78","David Moore",CAR,"vs. DAL","3 out of 5 stars","F","6.6","+1.1","37% (6/16)","11%","Bad"
"79","Darius Slayton",NYG,"vs. BAL","3 out of 5 stars","F","6.5","+1.4","46% (7/15)","8%","Bad"
