"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Saquon Barkley",PHI,"vs. JAC","3 out of 5 stars","A+","20.6","+0.6","40% (6/15)","25%","Average"
"2","Alvin Kamara",NO,"at CAR","5 out of 5 stars","A+","19.0","-0.3","37% (6/16)","20%","Great"
"3","Bijan Robinson",ATL,"vs. DAL","4 out of 5 stars","A+","18.6","-0.9","43% (7/16)","17%","Great"
"4","Kyren Williams",LAR,"at SEA","4 out of 5 stars","A+","18.6","+4.0","61% (8/13)","31%","Good"
"5","Joe Mixon",HOU,"at NYJ","3 out of 5 stars","A","18.3","+3.6","64% (9/14)","26%","Good"
"6","Breece Hall",NYJ,"vs. HOU","2 out of 5 stars","A","17.8","-0.4","41% (7/17)","17%","Poor"
"7","Derrick Henry",BAL,"vs. DEN","2 out of 5 stars","A","17.4","+2.9","64% (11/17)","33%","Great"
"8","Aaron Jones",MIN,"vs. IND","3 out of 5 stars","A","17.4","-0.5","53% (7/13)","29%","Bad"
"9","Jahmyr Gibbs",DET,"at GB","3 out of 5 stars","A-","17.3","+3.0","66% (10/15)","18%","Good"
"10","Kenneth Walker III",SEA,"vs. LAR","3 out of 5 stars","A-","17.1","+0.8","53% (7/13)","26%","Great"
"11","De'Von Achane",MIA,"at BUF","3 out of 5 stars","A-","16.6","-1.0","38% (5/13)","18%","Bad"
"12","Chase Brown",CIN,"vs. LV","4 out of 5 stars","A-","16.4","+2.5","53% (7/13)","11%","Great"
"13","James Cook",BUF,"vs. MIA","5 out of 5 stars","A-","16.3","+2.5","53% (8/15)","18%","Great"
"14","Jonathan Taylor",IND,"at MIN","2 out of 5 stars","B+","16.2","+1.7","60% (6/10)","26%","Average"
"15","D'Andre Swift",CHI,"at ARI","3 out of 5 stars","B+","16.2","-0.5","40% (6/15)","15%","Average"
"16","James Conner",ARI,"vs. CHI","3 out of 5 stars","B+","15.6","+1.8","66% (10/15)","23%","Average"
"17","Kareem Hunt",KC,"vs. TB","2 out of 5 stars","B","15.5","+1.2","61% (8/13)","19%","Average"
"18","Tony Pollard",TEN,"vs. NE","4 out of 5 stars","B+","15.2","-1.6","43% (7/16)","15%","Good"
"19","J.K. Dobbins",LAC,"at CLE","3 out of 5 stars","B","15.1","+1.1","42% (3/7)","13%","Great"
"20","Josh Jacobs",GB,"vs. DET","2 out of 5 stars","B","15.0","-0.2","38% (5/13)","21%","Poor"
"21","Rhamondre Stevenson",NE,"at TEN","2 out of 5 stars","B","14.6","+0.8","54% (6/11)","27%","Good"
"22","Chuba Hubbard",CAR,"vs. NO","5 out of 5 stars","B","13.3","+1.0","29% (5/17)","25%","Average"
"23","Tyrone Tracy Jr.",NYG,"vs. WAS","4 out of 5 stars","B-","13.3","+1.9","50% (4/8)","7%","Great"
"24","Brian Robinson Jr.",WAS,"at NYG","3 out of 5 stars","B-","13.0","+1.6","61% (8/13)","19%","Good"
"25","David Montgomery",DET,"at GB","3 out of 5 stars","B-","13.0","+2.3","73% (11/15)","20%","Great"
"26","Alexander Mattison",LV,"at CIN","3 out of 5 stars","C+","12.9","+0.1","33% (5/15)","21%","Average"
"27","Rico Dowdle",DAL,"at ATL","2 out of 5 stars","C+","12.3","+0.2","33% (5/15)","9%","Good"
"28","Rachaad White",TB,"at KC","1 out of 5 stars","C+","11.7","+1.6","56% (9/16)","12%","Average"
"29","Nick Chubb",CLE,"vs. LAC","2 out of 5 stars","C","11.5","-2.3","50% (1/2)","18%","Poor"
"30","Bucky Irving",TB,"at KC","1 out of 5 stars","C","11.5","+2.1","75% (6/8)","14%","Poor"
"31","Javonte Williams",DEN,"at BAL","3 out of 5 stars","C","10.6","-1.8","25% (4/16)","17%","Bad"
"32","Austin Ekeler",WAS,"at NYG","3 out of 5 stars","C","10.5","-2.9","37% (6/16)","7%","Bad"
"33","Tank Bigsby",JAC,"at PHI","3 out of 5 stars","C","9.8","+1.4","31% (5/16)","18%","Average"
"34","Tyler Allgeier",ATL,"vs. DAL","4 out of 5 stars","C-","9.5","+0.8","37% (6/16)","12%","Bad"
"35","Travis Etienne Jr.",JAC,"at PHI","3 out of 5 stars","C-","7.9","-3.6","28% (4/14)","14%","Poor"
"36","Raheem Mostert",MIA,"at BUF","3 out of 5 stars","C","7.8","+1.8","54% (6/11)","11%","Good"
"37","Zach Charbonnet",SEA,"vs. LAR","3 out of 5 stars","C-","7.2","+0.2","52% (9/17)","11%","Great"
"38","Ray Davis",BUF,"vs. MIA","5 out of 5 stars","D+","6.2","+1.2","50% (4/8)","6%","Great"
"39","Justice Hill",BAL,"vs. DEN","2 out of 5 stars","D+","6.0","+1.1","43% (7/16)","9%","Average"
"40","Devin Singletary",NYG,"vs. WAS","4 out of 5 stars","D+","6.0","-0.1","46% (7/15)","10%","Great"
"41","Roschon Johnson",CHI,"at ARI","3 out of 5 stars","D","5.9","+0.7","46% (7/15)","14%","Great"
"42","Antonio Gibson",NE,"at TEN","2 out of 5 stars","D","5.7","-0.7","40% (6/15)","6%","Bad"
"43","Jaleel McLaughlin",DEN,"at BAL","3 out of 5 stars","D","5.5","-0.8","31% (5/16)","9%","Great"
"44","Braelon Allen",NYJ,"vs. HOU","2 out of 5 stars","D","5.5","+0.4","37% (3/8)","4%","Great"
"45","Miles Sanders",CAR,"vs. NO","5 out of 5 stars","D-","5.4","-1.3","29% (5/17)","9%","Poor"
"46","Kimani Vidal",LAC,"at CLE","3 out of 5 stars","F","5.2","+1.3","33% (1/3)","6%","Great"
"47","Julius Chestnut",TEN,"vs. NE","4 out of 5 stars","F","5.0","-1.2","0% (0/3)","6%","Bad"
