"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Ja'Marr Chase",CIN,"vs. DEN","3 out of 5 stars","A+","21.4","+3.9","56% (9/16)","17%","Good"
"2","Puka Nacua",LAR,"vs. ARI","4 out of 5 stars","A+","19.8","+1.5","54% (6/11)","14%","Poor"
"3","Justin Jefferson",MIN,"vs. GB","3 out of 5 stars","A+","19.1","+0.5","50% (8/16)","17%","Average"
"4","Nico Collins",HOU,"vs. BAL","3 out of 5 stars","A+","18.4","+1.5","63% (7/11)","20%","Average"
"5","Mike Evans",TB,"vs. CAR","3 out of 5 stars","A+","17.8","+0.3","38% (5/13)","14%","Good"
"6","Amon-Ra St. Brown",DET,"at SF","3 out of 5 stars","A+","17.6","+1.2","62% (10/16)","14%","Good"
"7","Brian Thomas Jr.",JAC,"vs. TEN","3 out of 5 stars","A","16.9","+3.5","73% (11/15)","14%","Good"
"8","A.J. Brown",PHI,"vs. DAL","3 out of 5 stars","A","16.9","+0.4","53% (7/13)","10%","Good"
"9","Jaxon Smith-Njigba",SEA,"at CHI","3 out of 5 stars","A","16.8","+2.1","50% (8/16)","18%","Poor"
"10","Davante Adams",NYJ,"at BUF","4 out of 5 stars","A","16.1","+3.3","53% (7/13)","25%","Average"
"11","Terry McLaurin",WAS,"vs. ATL","4 out of 5 stars","A","15.6","+2.8","81% (13/16)","12%","Good"
"12","Ladd McConkey",LAC,"at NE","4 out of 5 stars","A","15.4","+1.2","50% (7/14)","7%","Great"
"13","Courtland Sutton",DEN,"at CIN","3 out of 5 stars","A","15.2","+1.0","60% (9/15)","19%","Poor"
"14","Malik Nabers",NYG,"vs. IND","3 out of 5 stars","A","15.1","+0.4","38% (5/13)","26%","Bad"
"15","Tee Higgins",CIN,"vs. DEN","3 out of 5 stars","A","15.0","+1.5","54% (6/11)","15%","Average"
