"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Bijan Robinson",ATL,"vs. CAR","4 out of 5 stars","A+","21.6","+0.7","56% (9/16)","23%","Good"
"2","Jahmyr Gibbs",DET,"vs. MIN","2 out of 5 stars","A+","21.5","+2.9","68% (11/16)","16%","Good"
"3","Derrick Henry",BAL,"vs. CLE","4 out of 5 stars","A","18.5","+2.8","56% (9/16)","25%","Great"
"4","Bucky Irving",TB,"vs. NO","5 out of 5 stars","A","18.3","+2.8","75% (12/16)","12%","Poor"
"5","Jonathan Taylor",IND,"vs. JAC","3 out of 5 stars","A","18.2","+1.3","46% (6/13)","25%","Average"
"6","Josh Jacobs",GB,"vs. CHI","4 out of 5 stars","A","17.5","+1.9","50% (8/16)","22%","Good"
"7","De'Von Achane",MIA,"at NYJ","2 out of 5 stars","A","17.3","-0.2","50% (8/16)","21%","Average"
"8","Aaron Jones Sr.",MIN,"at DET","3 out of 5 stars","A","17.1","-0.7","43% (7/16)","23%","Bad"
"9","Zach Charbonnet",SEA,"at LAR","2 out of 5 stars","A-","16.9","+1.0","43% (7/16)","12%","Great"
"10","Rico Dowdle",DAL,"vs. WAS","4 out of 5 stars","A-","15.2","0.0","37% (6/16)","11%","Poor"
"11","Brian Robinson Jr.",WAS,"at DAL","4 out of 5 stars","A-","14.6","-0.6","53% (7/13)","16%","Average"
"12","D'Andre Swift",CHI,"at GB","3 out of 5 stars","B+","14.4","-1.2","31% (5/16)","14%","Poor"
"13","Breece Hall",NYJ,"vs. MIA","4 out of 5 stars","B+","14.1","-2.6","26% (4/15)","15%","Average"
"14","Najee Harris",PIT,"vs. CIN","4 out of 5 stars","B+","13.8","-1.1","37% (6/16)","15%","Poor"
"15","Ameer Abdullah",LV,"vs. LAC","2 out of 5 stars","B","13.8","+1.9","62% (10/16)","10%","Good"
"16","Isaac Guerendo",SF,"at ARI","3 out of 5 stars","B","13.7","+1.7","33% (5/15)","5%","Great"
"17","Michael Carter",ARI,"vs. SF","4 out of 5 stars","B","12.8","+5.3","100% (1/1)","12%","Bad"
"18","Tyrone Tracy Jr.",NYG,"at PHI","2 out of 5 stars","B","12.7","+0.1","50% (8/16)","13%","Good"
"19","Rachaad White",TB,"vs. NO","5 out of 5 stars","B","12.6","+0.7","46% (7/15)","10%","Good"
"20","Ray Davis",BUF,"at NE","4 out of 5 stars","B-","12.3","+1.5","43% (7/16)","6%","Great"
"21","Jaylen Warren",PIT,"vs. CIN","4 out of 5 stars","B","12.2","-1.0","35% (5/14)","9%","Bad"
"22","Blake Corum",LAR,"vs. SEA","2 out of 5 stars","B","12.1","-1.3","31% (5/16)","4%","Bad"
"23","Jaleel McLaughlin",DEN,"vs. KC","2 out of 5 stars","B-","11.8","-0.5","40% (6/15)","8%","Average"
"24","Raheem Blackshear",CAR,"at ATL","3 out of 5 stars","C+","11.5","-1.2","0% (0/8)","2%","Bad"
"25","J.K. Dobbins",LAC,"at LV","4 out of 5 stars","C+","11.2","+1.0","50% (6/12)","14%","Great"
"26","Travis Etienne Jr.",JAC,"at IND","3 out of 5 stars","C+","11.0","-3.6","14% (2/14)","9%","Bad"
"27","Tank Bigsby",JAC,"at IND","3 out of 5 stars","C+","10.4","+0.6","40% (6/15)","11%","Average"
"28","Antonio Gibson",NE,"vs. BUF","4 out of 5 stars","C","10.3","-0.9","31% (5/16)","6%","Bad"
"29","D'Onta Foreman",CLE,"at BAL","3 out of 5 stars","C","10.1","-1.6","50% (5/10)","10%","Bad"
"30","Rhamondre Stevenson",NE,"vs. BUF","4 out of 5 stars","C","9.8","-1.0","40% (6/15)","22%","Average"
"31","Javonte Williams",DEN,"vs. KC","2 out of 5 stars","C","9.5","-2.1","25% (4/16)","14%","Bad"
"32","Chase Brown",CIN,"at PIT","3 out of 5 stars","B-","9.1","+2.3","62% (10/16)","15%","Average"
"33","Tyler Allgeier",ATL,"vs. CAR","4 out of 5 stars","C","8.9","-0.4","31% (5/16)","11%","Poor"
"34","Mike Boone",CAR,"at ATL","3 out of 5 stars","C","8.8","-3.0","0% (0/4)","1%","Bad"
"35","Alexander Mattison",LV,"vs. LAC","2 out of 5 stars","D+","8.6","-0.2","38% (5/13)","14%","Poor"
"36","Kimani Vidal",LAC,"at LV","4 out of 5 stars","C-","8.6","-1.6","11% (1/9)","3%","Good"
"37","Joe Mixon",HOU,"at TEN","3 out of 5 stars","C-","8.4","+0.4","46% (6/13)","26%","Good"
"38","Ty Johnson",BUF,"at NE","4 out of 5 stars","D+","8.1","+2.5","62% (10/16)","7%","Average"
"39","Khalil Herbert",CIN,"at PIT","3 out of 5 stars","C-","8.0","-1.7","15% (2/13)","1%","Great"
"40","Audric Estime",DEN,"vs. KC","2 out of 5 stars","D","8.0","-0.5","41% (5/12)","3%","Average"
"41","Kenneth Gainwell",PHI,"vs. NYG","4 out of 5 stars","C","7.9","-0.2","50% (8/16)","5%","Bad"
"42","Clyde Edwards-Helaire",NO,"at TB","2 out of 5 stars","D","7.4","-2.0","0% (0/1)","1%","Bad"
"43","Raheem Mostert",MIA,"at NYJ","2 out of 5 stars","D","7.4","-1.2","41% (5/12)","7%","Poor"
"44","Cam Akers",MIN,"at DET","3 out of 5 stars","D-","7.3","+0.6","43% (7/16)","7%","Great"
"45","Braelon Allen",NYJ,"vs. MIA","4 out of 5 stars","D-","6.9","-1.2","18% (3/16)","4%","Great"
"46","Tony Pollard",TEN,"vs. HOU","2 out of 5 stars","C-","6.8","-1.5","40% (6/15)","14%","Average"
"47","Devin Singletary",NYG,"at PHI","2 out of 5 stars","F","6.4","-1.3","35% (5/14)","9%","Great"
"48","Justice Hill",BAL,"vs. CLE","4 out of 5 stars","D+","6.4","+1.7","53% (8/15)","7%","Good"
"49","Roschon Johnson",CHI,"at GB","3 out of 5 stars","F","5.9","+0.3","42% (6/14)","16%","Good"
"50","Jeremy McNichols",WAS,"at DAL","4 out of 5 stars","F","5.7","+1.2","50% (7/14)","4%","Great"
"51","Chris Rodriguez Jr.",WAS,"at DAL","4 out of 5 stars","F","5.5","+2.5","42% (3/7)","7%","Good"
"52","Saquon Barkley",PHI,"vs. NYG","4 out of 5 stars","D-","5.3","+3.8","50% (8/16)","21%","Good"
"53","Craig Reynolds",DET,"vs. MIN","2 out of 5 stars","F","5.2","+0.2","33% (4/12)","1%","Bad"
"54","Will Shipley",PHI,"vs. NYG","4 out of 5 stars","D","5.2","-0.1","11% (1/9)","1%","Bad"
"55","Kareem Hunt",KC,"at DEN","3 out of 5 stars","F","5.0","+0.7","53% (7/13)","16%","Bad"
"56","Tyjae Spears",TEN,"vs. HOU","2 out of 5 stars","F","4.9","+0.6","41% (5/12)","13%","Great"
"57","Kendre Miller",NO,"at TB","2 out of 5 stars","F","4.9","-1.5","28% (2/7)","2%","Great"
"58","Kyren Williams",LAR,"vs. SEA","2 out of 5 stars","F","4.8","-0.1","43% (7/16)","24%","Good"
"59","Isiah Pacheco",KC,"at DEN","3 out of 5 stars","F","4.4","-3.7","14% (1/7)","8%","Bad"
"60","Emanuel Wilson",GB,"vs. CHI","4 out of 5 stars","F","4.4","+1.0","43% (7/16)","6%","Average"
"61","Isaiah Davis",NYJ,"vs. MIA","4 out of 5 stars","F","4.3","+0.8","50% (4/8)","5%","Great"
"62","Sean Tucker",TB,"vs. NO","5 out of 5 stars","F","4.2","+1.9","40% (6/15)","3%","Great"
"63","Kenny McIntosh",SEA,"at LAR","2 out of 5 stars","F","4.2","-0.6","33% (3/9)","2%","Bad"
"64","Jerome Ford",CLE,"at BAL","3 out of 5 stars","F","4.1","-1.0","42% (6/14)","5%","Good"
"65","DeeJay Dallas",ARI,"vs. SF","4 out of 5 stars","F","4.0","+0.4","16% (2/12)","5%","Great"
"66","Carson Steele",KC,"at DEN","3 out of 5 stars","F","4.0","-1.8","7% (1/13)","4%","Bad"
"67","Dameon Pierce",HOU,"at TEN","3 out of 5 stars","F","3.7","-0.3","20% (2/10)","1%","Great"
"68","Chris Brooks",GB,"vs. CHI","4 out of 5 stars","F","3.6","+0.7","40% (4/10)","4%","Bad"
"69","Julius Chestnut",TEN,"vs. HOU","2 out of 5 stars","F","3.6","-1.4","0% (0/11)","4%","Bad"
"70","Jamaal Williams",NO,"at TB","2 out of 5 stars","F","3.4","-1.9","7% (1/13)","2%","Good"
"71","Dare Ogunbowale",HOU,"at TEN","3 out of 5 stars","F","3.2","-0.1","31% (5/16)","6%","Bad"
"72","Cordarrelle Patterson",PIT,"vs. CIN","4 out of 5 stars","F","2.8","-0.2","33% (4/12)","2%","Good"
"73","Hassan Haskins",LAC,"at LV","4 out of 5 stars","F","2.8","-0.4","14% (2/14)","7%","Average"
"74","Patrick Taylor Jr.",SF,"at ARI","3 out of 5 stars","F","2.6","-1.4","11% (1/9)","7%","Poor"
"75","James Cook",BUF,"at NE","4 out of 5 stars","F","2.6","+2.1","60% (9/15)","17%","Great"
"76","Trey Benson",ARI,"vs. SF","4 out of 5 stars","F","2.4","-0.7","28% (4/14)","3%","Average"
"77","Trey Sermon",IND,"vs. JAC","3 out of 5 stars","F","2.4","-0.6","37% (6/16)","10%","Bad"
"78","Kyle Juszczyk",SF,"at ARI","3 out of 5 stars","F","2.4","+0.2","43% (7/16)","2%","Great"
"79","Samaje Perine",KC,"at DEN","3 out of 5 stars","F","2.1","+0.2","50% (8/16)","2%","Good"
"80","Tyler Goodson",IND,"vs. JAC","3 out of 5 stars","F","2.1","+0.3","40% (6/15)","6%","Good"
"81","Tyrion Davis-Price",PHI,"vs. NYG","4 out of 5 stars","F","2.0","-","-","1%","Bad"
"82","Keaontay Ingram",KC,"at DEN","3 out of 5 stars","F","1.8","-2.2","0% (0/1)","0%","N/A"
"83","Alec Ingold",MIA,"at NYJ","2 out of 5 stars","F","1.5","+0.4","42% (6/14)","2%","Great"
"84","Ronnie Rivers",LAR,"vs. SEA","2 out of 5 stars","F","1.5","-1.1","33% (2/6)","1%","Bad"
"85","Hunter Luepke",DAL,"vs. WAS","4 out of 5 stars","F","1.4","-0.2","33% (5/15)","1%","Bad"
"86","C.J. Ham",MIN,"at DET","3 out of 5 stars","F","1.3","+0.3","21% (3/14)","3%","Great"
"87","Jaylen Wright",MIA,"at NYJ","2 out of 5 stars","F","1.3","-0.9","26% (4/15)","2%","Bad"
"88","Pierre Strong Jr.",CLE,"at BAL","3 out of 5 stars","F","1.2","-0.5","28% (4/14)","1%","Bad"
"89","Rasheen Ali",BAL,"vs. CLE","4 out of 5 stars","F","1.2","-1.7","0% (0/2)","3%","Bad"
"90","Trayveon Williams",CIN,"at PIT","3 out of 5 stars","F","1.1","-1.6","0% (0/4)","0%","N/A"
"91","D'Ernest Johnson",JAC,"at IND","3 out of 5 stars","F","1.0","-0.2","50% (6/12)","4%","Bad"
"92","John Kelly Jr.",CLE,"at BAL","3 out of 5 stars","F","0.9","-","-","0%","N/A"
"93","James Conner",ARI,"vs. SF","4 out of 5 stars","F","0.8","+0.4","62% (10/16)","21%","Average"
"94","Jordan Mims",NO,"at TB","2 out of 5 stars","F","0.8","+0.2","42% (3/7)","2%","Bad"
"95","Sione Vaki",DET,"vs. MIN","2 out of 5 stars","F","0.7","-0.3","14% (1/7)","0%","Bad"
"96","Deuce Vaughn",DAL,"vs. WAS","4 out of 5 stars","F","0.7","-0.1","60% (3/5)","1%","Bad"
"97","Jeff Wilson Jr.",MIA,"at NYJ","2 out of 5 stars","F","0.7","-0.7","42% (3/7)","1%","Bad"
"98","Michael Burton",DEN,"vs. KC","2 out of 5 stars","F","0.6","+0.8","56% (9/16)","8%","Average"
"99","Joshua Kelley",TEN,"vs. HOU","2 out of 5 stars","F","0.6","-","-","0%","N/A"
"100","Jermar Jefferson",DET,"vs. MIN","2 out of 5 stars","F","0.6","-","-","6%","Bad"
"101","Ezekiel Elliott",FA,"-","-","F","0.6","-1.7","26% (4/15)","7%","Average"
"102","Eric Gray",NYG,"at PHI","2 out of 5 stars","F","0.6","-0.9","20% (3/15)","9%","Bad"
"103","Keaton Mitchell",BAL,"vs. CLE","4 out of 5 stars","F","0.5","-0.9","0% (0/3)","2%","Bad"
"104","Patrick Ricard",BAL,"vs. CLE","4 out of 5 stars","F","0.5","+0.5","13% (2/15)","5%","Great"
"105","Kendall Milton",CIN,"at PIT","3 out of 5 stars","F","0.4","-","-","0%","N/A"
"106","JaMycal Hasty",NE,"vs. BUF","4 out of 5 stars","F","0.4","0.0","40% (6/15)","1%","Great"
"107","Dylan Laube",LV,"vs. LAC","2 out of 5 stars","F","0.4","-2.3","0% (0/5)","0%","N/A"
"108","Ke'Shawn Vaughn",SF,"at ARI","3 out of 5 stars","F","0.2","-","-","0%","Bad"
"109","Cody Schrader",LAR,"vs. SEA","2 out of 5 stars","F","0.2","-0.8","0% (0/1)","0%","N/A"
"110","Ty Chandler",MIN,"at DET","3 out of 5 stars","F","0.0","-1.5","25% (4/16)","2%","Bad"
