"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Alvin Kamara",NO,"vs. PHI","2 out of 5 stars","A+","20.3","+2.3","53% (8/15)","28%","Great"
"2","Bijan Robinson",ATL,"vs. KC","2 out of 5 stars","A+","19.6","-3.2","25% (4/16)","18%","Bad"
"3","Breece Hall",NYJ,"vs. NE","2 out of 5 stars","A+","19.1","+1.7","50% (8/16)","24%","Great"
"4","Jordan Mason",SF,"at LAR","3 out of 5 stars","A","18.7","+1.5","46% (6/13)","27%","Average"
"5","Saquon Barkley",PHI,"at NO","1 out of 5 stars","A","17.8","+0.3","38% (5/13)","38%","Average"
"6","Zach Charbonnet",SEA,"vs. MIA","3 out of 5 stars","A","17.5","-0.2","53% (8/15)","26%","Great"
"7","Jahmyr Gibbs",DET,"at ARI","4 out of 5 stars","A","17.3","+2.2","57% (8/14)","25%","Bad"
"8","De'Von Achane",MIA,"at SEA","3 out of 5 stars","A","16.1","+7.3","63% (7/11)","39%","Average"
"9","James Cook",BUF,"vs. JAC","2 out of 5 stars","A","16.0","+1.4","50% (8/16)","37%","Great"
"10","Jonathan Taylor",IND,"vs. CHI","3 out of 5 stars","A","15.7","-0.6","36% (4/11)","28%","Poor"
"11","Josh Jacobs",GB,"at TEN","3 out of 5 stars","A-","15.3","-1.5","38% (5/13)","29%","Bad"
"12","Tony Pollard",TEN,"vs. GB","5 out of 5 stars","A-","15.2","-3.4","31% (5/16)","22%","Great"
"13","Rhamondre Stevenson",NE,"at NYJ","3 out of 5 stars","B+","15.2","-0.8","50% (6/12)","48%","Average"
"14","Kyren Williams",LAR,"vs. SF","3 out of 5 stars","B+","14.8","+3.0","50% (6/12)","53%","Bad"
"15","James Conner",ARI,"vs. DET","1 out of 5 stars","B","14.7","+2.2","58% (7/12)","28%","Great"
"16","Derrick Henry",BAL,"at DAL","4 out of 5 stars","B","14.6","-0.5","56% (9/16)","25%","Great"
"17","Travis Etienne Jr.",JAC,"at BUF","3 out of 5 stars","B","14.5","+0.7","56% (9/16)","48%","Average"
"18","Zack Moss",CIN,"vs. WAS","5 out of 5 stars","B","13.7","+0.9","42% (6/14)","23%","Bad"
"19","Aaron Jones",MIN,"vs. HOU","2 out of 5 stars","B","13.5","-3.1","36% (4/11)","27%","Poor"
