"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","CeeDee Lamb",DAL,"vs. BAL","4 out of 5 stars","A+","19.4","+3.4","50% (8/16)","21%","Average"
"2","Ja'Marr Chase",CIN,"vs. WAS","5 out of 5 stars","A+","19.1","-0.5","33% (5/15)","8%","Bad"
"3","Amon-Ra St. Brown",DET,"at ARI","2 out of 5 stars","A+","18.7","+1.4","60% (9/15)","14%","Bad"
"4","Rashee Rice",KC,"at ATL","1 out of 5 stars","A+","18.7","+2.5","75% (12/16)","4%","Great"
"5","Justin Jefferson",MIN,"vs. HOU","4 out of 5 stars","A+","17.6","-0.6","44% (4/9)","20%","Great"
"6","DeVonta Smith",PHI,"at NO","2 out of 5 stars","A","17.4","+0.1","43% (7/16)","10%","Good"
"7","Nico Collins",HOU,"at MIN","3 out of 5 stars","A","17.3","+2.2","50% (7/14)","9%","Great"
"8","Davante Adams",LV,"vs. CAR","1 out of 5 stars","A","16.8","-0.4","37% (6/16)","45%","Poor"
"9","Marvin Harrison Jr.",ARI,"vs. DET","4 out of 5 stars","A","16.0","+2.0","50% (1/2)","19%","Great"
"10","Garrett Wilson",NYJ,"vs. NE","3 out of 5 stars","A","15.9","-2.1","31% (5/16)","22%","Poor"
"11","Chris Godwin",TB,"vs. DEN","1 out of 5 stars","A","15.7","+1.3","43% (7/16)","17%","Great"
"12","Chris Olave",NO,"vs. PHI","5 out of 5 stars","A","15.7","-1.2","46% (7/15)","11%","Bad"
"13","Brandon Aiyuk",SF,"at LAR","4 out of 5 stars","A","15.6","0.0","53% (8/15)","12%","Bad"
"14","Malik Nabers",NYG,"at CLE","1 out of 5 stars","A","15.3","+4.4","50% (1/2)","43%","Poor"
"15","Tyreek Hill",MIA,"at SEA","2 out of 5 stars","A","15.0","-0.1","60% (9/15)","18%","Average"
"16","Zay Flowers",BAL,"at DAL","2 out of 5 stars","A-","14.9","0.0","43% (7/16)","26%","Average"
"17","DK Metcalf",SEA,"vs. MIA","2 out of 5 stars","A-","14.8","+1.4","53% (8/15)","15%","Great"
"18","Mike Evans",TB,"vs. DEN","1 out of 5 stars","A-","14.5","+1.5","56% (9/16)","28%","Good"
"19","DJ Moore",CHI,"at IND","2 out of 5 stars","A-","14.3","+2.7","43% (7/16)","15%","Bad"
"20","Drake London",ATL,"vs. KC","1 out of 5 stars","A-","13.2","-0.3","40% (6/15)","11%","Great"
"21","Stefon Diggs",HOU,"at MIN","3 out of 5 stars","B+","13.2","-1.5","37% (6/16)","18%","Great"
"22","Jaxon Smith-Njigba",SEA,"vs. MIA","2 out of 5 stars","B+","13.1","+0.3","56% (9/16)","23%","Bad"
"23","Jameson Williams",DET,"at ARI","2 out of 5 stars","B","13.1","+2.1","64% (9/14)","20%","Bad"
"24","Rashid Shaheed",NO,"vs. PHI","5 out of 5 stars","B","12.9","+2.1","35% (5/14)","10%","Great"
"25","Amari Cooper",CLE,"vs. NYG","3 out of 5 stars","B-","12.8","+1.6","46% (7/15)","23%","Bad"
"26","Tank Dell",HOU,"at MIN","3 out of 5 stars","B","12.7","+1.0","45% (5/11)","12%","Bad"
