"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Sam LaPorta",DET,"vs. TB","3 out of 5 stars","A+","14.8","+2.1","50% (8/16)","3%","Bad"
"2","Travis Kelce",KC,"vs. CIN","3 out of 5 stars","A+","14.1","-2.5","25% (4/16)","13%","Bad"
"3","Trey McBride",ARI,"vs. LAR","4 out of 5 stars","A","14.0","+1.3","43% (7/16)","17%","Bad"
"4","Dalton Kincaid",BUF,"at MIA","4 out of 5 stars","A-","12.8","-1.4","31% (5/16)","3%","Bad"
"5","George Kittle",SF,"at MIN","4 out of 5 stars","A-","12.4","+1.1","50% (8/16)","3%","Bad"
"6","Evan Engram",JAC,"vs. CLE","4 out of 5 stars","B+","12.3","+0.2","43% (7/16)","6%","Bad"
"7","Mark Andrews",BAL,"vs. LV","3 out of 5 stars","B","11.7","-0.5","45% (5/11)","0%","N/A"
"8","Kyle Pitts",ATL,"at PHI","3 out of 5 stars","B","11.6","-0.4","37% (6/16)","10%","Great"
"9","Dallas Goedert",PHI,"vs. ATL","4 out of 5 stars","B","11.1","+0.6","30% (4/13)","0%","N/A"
"10","Brock Bowers",LV,"at BAL","2 out of 5 stars","B-","10.4","+1.0","100% (1/1)","21%","Bad"
"11","Isaiah Likely",BAL,"vs. LV","3 out of 5 stars","C+","9.6","+2.5","43% (7/16)","26%","Great"
"12","Colby Parkinson",LAR,"at ARI","3 out of 5 stars","C","8.6","+0.6","50% (8/16)","0%","Bad"
"13","Dalton Schultz",HOU,"vs. CHI","4 out of 5 stars","D+","8.5","+0.7","50% (7/14)","0%","N/A"
"14","Pat Freiermuth",PIT,"at DEN","4 out of 5 stars","C-","8.2","-1.6","27% (3/11)","1%","Bad"
"15","Taysom Hill",NO,"at DAL","3 out of 5 stars","D+","8.0","+1.9","53% (8/15)","6%","Bad"
"16","Zach Ertz",WAS,"vs. NYG","2 out of 5 stars","D+","7.6","-0.9","42% (3/7)","0%","N/A"
"17","Tyler Conklin",NYJ,"at TEN","3 out of 5 stars","D","7.4","+0.3","50% (8/16)","0%","N/A"
"18","Hunter Henry",NE,"vs. SEA","3 out of 5 stars","D","7.4","0.0","35% (5/14)","6%","Bad"
"19","Cade Otton",TB,"at DET","3 out of 5 stars","D","7.2","+0.1","50% (8/16)","0%","N/A"
"20","Noah Fant",SEA,"at NE","3 out of 5 stars","D-","7.2","-0.6","50% (8/16)","8%","Bad"
"21","Mike Gesicki",CIN,"at KC","2 out of 5 stars","D-","6.7","-0.6","37% (6/16)","9%","Bad"
"22","Juwan Johnson",NO,"at DAL","3 out of 5 stars","D-","6.6","+0.9","46% (6/13)","19%","Average"
"23","Hayden Hurst",LAC,"at CAR","3 out of 5 stars","F","6.5","-2.0","11% (1/9)","20%","Bad"
"24","Jordan Akins",CLE,"at JAC","4 out of 5 stars","F","6.4","-0.1","37% (6/16)","0%","Bad"
"25","Tucker Kraft",GB,"vs. IND","2 out of 5 stars","F","6.3","+1.1","60% (9/15)","6%","Bad"
"26","Chig Okonkwo",TEN,"vs. NYJ","3 out of 5 stars","F","6.2","-0.2","31% (5/16)","39%","Great"
"27","Cole Kmet",CHI,"at HOU","3 out of 5 stars","F","6.0","+0.7","43% (7/16)","8%","Bad"
"28","Greg Dulcich",DEN,"vs. PIT","3 out of 5 stars","F","6.0","-2.0","0% (0/2)","0%","N/A"
"29","Jonnu Smith",MIA,"vs. BUF","3 out of 5 stars","F","5.7","+0.5","43% (7/16)","3%","Bad"
"30","Johnny Mundt",MIN,"vs. SF","2 out of 5 stars","F","5.5","+0.5","50% (8/16)","0%","N/A"
