"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Derrick Henry",BAL,"at NYG","4 out of 5 stars","A+","20.3","+2.1","50% (8/16)","27%","Great"
"2","Bijan Robinson",ATL,"at LV","4 out of 5 stars","A+","19.8","-0.7","50% (8/16)","21%","Good"
"3","Saquon Barkley",PHI,"vs. PIT","3 out of 5 stars","A+","19.5","+3.1","50% (8/16)","24%","Good"
"4","Joe Mixon",HOU,"vs. MIA","4 out of 5 stars","A","18.8","+2.5","53% (7/13)","28%","Great"
"5","Chuba Hubbard",CAR,"vs. DAL","4 out of 5 stars","A","18.2","+1.2","43% (7/16)","25%","Poor"
"6","Chase Brown",CIN,"at TEN","3 out of 5 stars","A","18.2","+2.1","62% (10/16)","16%","Average"
"7","Josh Jacobs",GB,"at SEA","3 out of 5 stars","A","18.1","+2.7","53% (7/13)","23%","Good"
"8","De'Von Achane",MIA,"at HOU","2 out of 5 stars","A","18.1","-0.2","50% (8/16)","22%","Average"
"9","Jahmyr Gibbs",DET,"vs. BUF","4 out of 5 stars","A","17.9","+2.4","62% (10/16)","17%","Good"
"10","Alvin Kamara",NO,"vs. WAS","4 out of 5 stars","A-","17.1","-1.3","31% (5/16)","18%","Average"
"11","Zach Charbonnet",SEA,"vs. GB","3 out of 5 stars","A-","17.0","+1.1","50% (8/16)","13%","Great"
"12","James Conner",ARI,"vs. NE","4 out of 5 stars","A-","16.9","+1.7","68% (11/16)","24%","Poor"
"13","Rico Dowdle",DAL,"at CAR","4 out of 5 stars","B+","16.1","-0.1","33% (5/15)","11%","Average"
"14","Kyren Williams",LAR,"at SF","4 out of 5 stars","B+","15.2","+0.8","50% (8/16)","26%","Average"
"15","Brian Robinson Jr.",WAS,"at NO","4 out of 5 stars","B","15.1","+0.8","63% (7/11)","16%","Good"
"16","Tony Pollard",TEN,"vs. CIN","4 out of 5 stars","B","14.9","-2.0","37% (6/16)","16%","Average"
"17","Aaron Jones Sr.",MIN,"vs. CHI","4 out of 5 stars","B","14.6","-0.7","50% (8/16)","24%","Bad"
"18","Jonathan Taylor",IND,"at DEN","2 out of 5 stars","B","14.6","-1.5","41% (5/12)","24%","Poor"
"19","David Montgomery",DET,"vs. BUF","4 out of 5 stars","B","14.4","+2.2","75% (12/16)","19%","Good"
"20","Rhamondre Stevenson",NE,"at ARI","3 out of 5 stars","B","14.3","-0.2","41% (5/12)","25%","Poor"
"21","James Cook",BUF,"at DET","3 out of 5 stars","B","14.0","+1.0","53% (8/15)","16%","Great"
"22","Isiah Pacheco",KC,"at CLE","4 out of 5 stars","B-","13.8","+0.3","33% (2/6)","13%","Bad"
"23","Rachaad White",TB,"at LAC","1 out of 5 stars","B-","13.7","+1.1","53% (8/15)","14%","Good"
"24","Breece Hall",NYJ,"at JAC","3 out of 5 stars","C+","13.3","-0.5","40% (6/15)","15%","Average"
"25","Isaac Guerendo",SF,"vs. LAR","3 out of 5 stars","B-","13.1","+2.3","38% (5/13)","5%","Great"
"26","D'Andre Swift",CHI,"at MIN","2 out of 5 stars","C+","13.0","-0.9","37% (6/16)","15%","Average"
"27","Sincere McCormick",LV,"vs. ATL","3 out of 5 stars","C+","12.9","+1.0","100% (3/3)","12%","Bad"
"28","Tyrone Tracy Jr.",NYG,"vs. BAL","3 out of 5 stars","C+","12.5","+0.8","53% (7/13)","13%","Good"
"29","Najee Harris",PIT,"at PHI","2 out of 5 stars","C+","10.4","+0.5","50% (8/16)","17%","Poor"
"30","Jaylen Warren",PIT,"at PHI","2 out of 5 stars","C","10.3","-0.8","28% (4/14)","8%","Bad"
"31","Tank Bigsby",JAC,"vs. NYJ","2 out of 5 stars","C","9.7","+1.1","40% (6/15)","11%","Good"
"32","Jaleel McLaughlin",DEN,"vs. IND","3 out of 5 stars","C","9.6","-0.2","43% (7/16)","8%","Average"
"33","Jerome Ford",CLE,"vs. KC","1 out of 5 stars","C","9.5","-1.1","35% (5/14)","4%","Poor"
"34","Travis Etienne Jr.",JAC,"vs. NYJ","2 out of 5 stars","C","8.9","-3.4","14% (2/14)","10%","Bad"
"35","Bucky Irving",TB,"at LAC","1 out of 5 stars","C-","8.8","+2.5","69% (9/13)","14%","Average"
"36","Gus Edwards",LAC,"vs. TB","3 out of 5 stars","C-","8.8","-0.7","50% (6/12)","8%","Average"
"37","Nick Chubb",CLE,"vs. KC","1 out of 5 stars","C-","8.4","-1.5","42% (3/7)","19%","Average"
"38","Javonte Williams",DEN,"vs. IND","3 out of 5 stars","C-","8.0","-2.3","18% (3/16)","16%","Poor"
"39","Justice Hill",BAL,"at NYG","4 out of 5 stars","C-","7.7","+2.1","56% (9/16)","8%","Average"
"40","Kimani Vidal",LAC,"vs. TB","3 out of 5 stars","D+","7.0","-0.8","16% (1/6)","4%","Great"
"41","Tyjae Spears",TEN,"vs. CIN","4 out of 5 stars","D+","6.9","-2.5","33% (4/12)","3%","Great"
"42","Braelon Allen",NYJ,"at JAC","3 out of 5 stars","D+","6.9","-0.6","23% (3/13)","4%","Great"
"43","Jeremy McNichols",WAS,"at NO","4 out of 5 stars","D","6.3","+1.7","54% (6/11)","4%","Great"
"44","Kendre Miller",NO,"vs. WAS","4 out of 5 stars","D","6.2","+1.2","50% (2/4)","2%","Great"
"45","Kareem Hunt",KC,"at CLE","4 out of 5 stars","D","6.1","-0.1","46% (6/13)","18%","Bad"
"46","Tyler Allgeier",ATL,"at LV","4 out of 5 stars","D","5.8","+1.1","43% (7/16)","13%","Poor"
"47","Isaiah Davis",NYJ,"at JAC","3 out of 5 stars","D","5.7","+1.4","40% (2/5)","7%","Great"
"48","Antonio Gibson",NE,"at ARI","3 out of 5 stars","D-","5.6","-1.2","31% (5/16)","4%","Bad"
"49","Patrick Taylor Jr.",SF,"vs. LAR","3 out of 5 stars","D-","5.3","-0.3","22% (2/9)","6%","Good"
"50","Cam Akers",MIN,"vs. CHI","4 out of 5 stars","F","5.2","+0.2","38% (5/13)","5%","Great"
"51","Trey Benson",ARI,"vs. NE","4 out of 5 stars","F","5.1","-0.5","30% (4/13)","3%","Average"
"52","Blake Corum",LAR,"at SF","4 out of 5 stars","F","5.1","-1.0","38% (5/13)","5%","Bad"
"53","Ameer Abdullah",LV,"vs. ATL","3 out of 5 stars","F","4.9","-0.1","43% (7/16)","8%","Good"
"54","Ray Davis",BUF,"at DET","3 out of 5 stars","F","4.6","+1.6","46% (6/13)","6%","Great"
"55","Audric Estime",DEN,"vs. IND","3 out of 5 stars","F","4.4","-1.2","33% (3/9)","2%","Bad"
"56","Kenneth Gainwell",PHI,"vs. PIT","3 out of 5 stars","F","4.3","+0.1","50% (8/16)","6%","Bad"
"57","Sean Tucker",TB,"at LAC","1 out of 5 stars","F","4.3","+2.4","41% (5/12)","5%","Great"
"58","Kenny McIntosh",SEA,"vs. GB","3 out of 5 stars","F","3.8","-0.9","16% (1/6)","2%","Bad"
"59","Raheem Mostert",MIA,"at HOU","2 out of 5 stars","F","3.7","-0.7","45% (5/11)","8%","Poor"
"60","Devin Singletary",NYG,"vs. BAL","3 out of 5 stars","F","3.7","-1.2","35% (5/14)","8%","Great"
"61","Ty Johnson",BUF,"at DET","3 out of 5 stars","F","3.4","+2.1","66% (10/15)","7%","Good"
"62","Kyle Juszczyk",SF,"vs. LAR","3 out of 5 stars","F","3.4","+0.2","43% (7/16)","3%","Average"
"63","Alexander Mattison",LV,"vs. ATL","3 out of 5 stars","F","3.3","-0.1","33% (4/12)","14%","Poor"
"64","Jaylen Wright",MIA,"at HOU","2 out of 5 stars","F","3.3","-0.7","33% (4/12)","2%","Bad"
"65","Chris Brooks",GB,"at SEA","3 out of 5 stars","F","3.1","+0.4","50% (4/8)","4%","Bad"
"66","Samaje Perine",KC,"at CLE","4 out of 5 stars","F","3.0","-0.4","31% (5/16)","2%","Good"
"67","Travis Homer",CHI,"at MIN","2 out of 5 stars","F","3.0","-0.7","25% (1/4)","0%","Bad"
"68","Chris Rodriguez Jr.",WAS,"at NO","4 out of 5 stars","F","2.9","+4.1","50% (3/6)","8%","Average"
"69","Ezekiel Elliott",DAL,"at CAR","4 out of 5 stars","F","2.8","-2.3","20% (3/15)","6%","Average"
"70","Alec Ingold",MIA,"at HOU","2 out of 5 stars","F","2.6","+0.6","57% (8/14)","2%","Great"
"71","Khalil Herbert",CIN,"at TEN","3 out of 5 stars","F","2.6","-0.2","23% (3/13)","0%","N/A"
"72","Mike Boone",CAR,"vs. DAL","4 out of 5 stars","F","2.3","-0.2","0% (0/1)","1%","Bad"
"73","Cordarrelle Patterson",PIT,"at PHI","2 out of 5 stars","F","2.1","-0.3","33% (4/12)","2%","Bad"
"74","Dare Ogunbowale",HOU,"vs. MIA","4 out of 5 stars","F","2.1","-0.4","18% (3/16)","7%","Bad"
"75","Emanuel Wilson",GB,"at SEA","3 out of 5 stars","F","2.0","0.0","38% (5/13)","4%","Good"
"76","Jamaal Williams",NO,"vs. WAS","4 out of 5 stars","F","1.7","-1.4","15% (2/13)","2%","Good"
"77","JaMycal Hasty",NE,"at ARI","3 out of 5 stars","F","1.4","0.0","42% (6/14)","1%","Great"
"78","Pierre Strong Jr.",CLE,"vs. KC","1 out of 5 stars","F","1.2","-0.6","35% (5/14)","1%","Bad"
"79","Dameon Pierce",HOU,"vs. MIA","4 out of 5 stars","F","0.9","-0.4","20% (2/10)","1%","Great"
"80","Ke'Shawn Vaughn",SF,"vs. LAR","3 out of 5 stars","F","0.8","-","-","1%","Bad"
"81","Hunter Luepke",DAL,"at CAR","4 out of 5 stars","F","0.7","+0.1","40% (6/15)","1%","Bad"
"82","Trey Sermon",IND,"at DEN","2 out of 5 stars","F","0.6","-0.5","37% (6/16)","12%","Bad"
"83","Keaton Mitchell",BAL,"at NYG","4 out of 5 stars","F","0.6","-0.2","25% (1/4)","0%","N/A"
