"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Breece Hall",NYJ,"at TEN","2 out of 5 stars","A+","20.6","+1.0","43% (7/16)","26%","Great"
"2","Bijan Robinson",ATL,"at PHI","2 out of 5 stars","A+","20.0","-2.7","31% (5/16)","25%","Bad"
"3","Saquon Barkley",PHI,"vs. ATL","3 out of 5 stars","A+","17.4","+1.0","46% (6/13)","51%","Great"
"4","Jonathan Taylor",IND,"at GB","4 out of 5 stars","A","17.0","-0.5","40% (4/10)","50%","Poor"
"5","Kyren Williams",LAR,"at ARI","4 out of 5 stars","A","16.9","+4.5","58% (7/12)","53%","Bad"
"6","Isiah Pacheco",KC,"vs. CIN","3 out of 5 stars","A","16.6","+1.4","57% (8/14)","50%","Good"
"7","Joe Mixon",HOU,"vs. CHI","3 out of 5 stars","A","16.0","+1.4","43% (7/16)","38%","Poor"
"8","Jahmyr Gibbs",DET,"vs. TB","3 out of 5 stars","A","15.9","+2.0","57% (8/14)","43%","Bad"
"9","Alvin Kamara",NO,"at DAL","3 out of 5 stars","A","15.7","+0.4","50% (7/14)","40%","Bad"
"10","Derrick Henry",BAL,"vs. LV","4 out of 5 stars","A-","15.7","-0.6","56% (9/16)","23%","Great"
"11","De'Von Achane",MIA,"vs. BUF","4 out of 5 stars","A-","15.4","+6.1","54% (6/11)","34%","Average"
"12","James Conner",ARI,"vs. LAR","1 out of 5 stars","A-","15.1","+2.0","58% (7/12)","33%","Good"
"13","Jordan Mason",SF,"at MIN","2 out of 5 stars","A-","15.0","+1.4","38% (5/13)","40%","Poor"
"14","James Cook",BUF,"at MIA","4 out of 5 stars","B+","15.0","+0.8","50% (8/16)","41%","Great"
"15","Rachaad White",TB,"at DET","3 out of 5 stars","B","14.8","+1.5","62% (10/16)","25%","Bad"
"16","Travis Etienne Jr.",JAC,"vs. CLE","3 out of 5 stars","B","14.7","+0.2","50% (8/16)","54%","Average"
"17","Josh Jacobs",GB,"vs. IND","4 out of 5 stars","B","14.7","-2.0","38% (5/13)","32%","Bad"
"18","Rhamondre Stevenson",NE,"vs. SEA","4 out of 5 stars","B+","14.7","-1.0","41% (5/12)","49%","Good"
"19","David Montgomery",DET,"vs. TB","3 out of 5 stars","B","14.0","+2.1","61% (8/13)","24%","Good"
"20","J.K. Dobbins",LAC,"at CAR","4 out of 5 stars","B","13.6","+11.5","100% (1/1)","10%","Great"
"21","Jerome Ford",CLE,"at JAC","3 out of 5 stars","B","12.9","+2.4","50% (8/16)","27%","Good"
"22","Aaron Jones",MIN,"vs. SF","3 out of 5 stars","B","12.9","-2.9","40% (4/10)","39%","Average"
"23","Brian Robinson Jr.",WAS,"vs. NYG","5 out of 5 stars","B-","12.7","+1.6","50% (7/14)","24%","Good"
"24","Najee Harris",PIT,"at DEN","5 out of 5 stars","B-","12.6","+0.3","43% (7/16)","50%","Bad"
"25","Tony Pollard",TEN,"vs. NYJ","3 out of 5 stars","C+","12.5","-3.4","31% (5/16)","8%","Great"
"26","Zack Moss",CIN,"at KC","3 out of 5 stars","C+","12.4","+2.1","50% (7/14)","45%","Great"
"27","D'Andre Swift",CHI,"at HOU","2 out of 5 stars","C+","12.3","-1.1","31% (5/16)","12%","Bad"
"28","Devin Singletary",NYG,"at WAS","4 out of 5 stars","C+","12.3","+0.1","50% (8/16)","16%","Bad"
"29","Ezekiel Elliott",DAL,"vs. NO","3 out of 5 stars","C","11.8","+0.8","53% (8/15)","29%","Great"
"30","Austin Ekeler",WAS,"vs. NYG","5 out of 5 stars","C","11.3","-4.2","30% (4/13)","2%","Bad"
"31","Javonte Williams",DEN,"vs. PIT","2 out of 5 stars","C","11.0","-2.3","26% (4/15)","13%","Bad"
"32","Tyjae Spears",TEN,"vs. NYJ","3 out of 5 stars","C","10.7","-0.1","43% (7/16)","5%","Bad"
"33","Zach Charbonnet",SEA,"at NE","2 out of 5 stars","C","10.7","-0.4","46% (7/15)","20%","Great"
"34","Chuba Hubbard",CAR,"vs. LAC","2 out of 5 stars","C-","10.6","-0.2","31% (5/16)","0%","N/A"
"35","Jaleel McLaughlin",DEN,"vs. PIT","2 out of 5 stars","C-","9.8","+0.8","37% (6/16)","9%","Bad"
"36","Gus Edwards",LAC,"at CAR","4 out of 5 stars","C","9.1","+2.2","50% (8/16)","21%","Bad"
"37","Chase Brown",CIN,"at KC","3 out of 5 stars","C-","9.0","+0.7","36% (4/11)","6%","Bad"
"38","Zamir White",LV,"at BAL","3 out of 5 stars","C-","9.0","-0.8","25% (4/16)","4%","Bad"
"39","Rico Dowdle",DAL,"vs. NO","3 out of 5 stars","D+","8.7","0.0","33% (5/15)","5%","Bad"
"40","Jaylen Warren",PIT,"at DEN","5 out of 5 stars","D+","8.6","+0.2","43% (7/16)","2%","Bad"
"41","Jeff Wilson Jr.",MIA,"vs. BUF","4 out of 5 stars","D+","8.6","-0.7","30% (3/10)","2%","Bad"
"42","Kenneth Walker III",SEA,"at NE","2 out of 5 stars","C","8.3","+0.2","50% (7/14)","36%","Great"
"43","Ty Chandler",MIN,"vs. SF","3 out of 5 stars","D","7.8","+0.3","31% (5/16)","7%","Bad"
"44","Justice Hill",BAL,"vs. LV","4 out of 5 stars","D","7.3","+0.6","40% (6/15)","10%","Bad"
"45","Alexander Mattison",LV,"at BAL","3 out of 5 stars","D","7.3","-1.9","26% (4/15)","10%","Great"
"46","Jaylen Wright",MIA,"vs. BUF","4 out of 5 stars","D","6.9","-","-","1%","Bad"
"47","Bucky Irving",TB,"at DET","3 out of 5 stars","D","6.8","+2.9","100% (1/1)","2%","Bad"
"48","Tank Bigsby",JAC,"vs. CLE","3 out of 5 stars","D-","6.2","-0.9","18% (3/16)","3%","Bad"
"49","Samaje Perine",KC,"vs. CIN","3 out of 5 stars","D-","6.1","-0.7","37% (6/16)","0%","N/A"
"50","Miles Sanders",CAR,"vs. LAC","2 out of 5 stars","F","5.9","-3.4","26% (4/15)","3%","Bad"
"51","Antonio Gibson",NE,"vs. SEA","4 out of 5 stars","F","5.8","+0.2","53% (8/15)","10%","Bad"
"52","Tyler Allgeier",ATL,"at PHI","2 out of 5 stars","F","5.5","-1.0","25% (4/16)","2%","Bad"
"53","Emanuel Wilson",GB,"vs. IND","4 out of 5 stars","F","5.1","+0.5","40% (4/10)","3%","Bad"
"54","Jamaal Williams",NO,"at DAL","3 out of 5 stars","F","5.1","-1.4","25% (3/12)","5%","Great"
"55","Ray Davis",BUF,"at MIA","4 out of 5 stars","F","5.1","-2.0","0% (0/1)","5%","Bad"
"56","Trey Benson",ARI,"vs. LAR","1 out of 5 stars","F","4.9","-3.7","0% (0/1)","3%","Bad"
"57","Pierre Strong Jr.",CLE,"at JAC","3 out of 5 stars","F","4.7","+0.7","62% (10/16)","1%","Bad"
"58","Braelon Allen",NYJ,"at TEN","2 out of 5 stars","F","4.4","-2.0","0% (0/1)","1%","Bad"
"59","Kenneth Gainwell",PHI,"vs. ATL","3 out of 5 stars","F","4.0","-0.7","33% (5/15)","1%","Bad"
"60","Khalil Herbert",CHI,"at HOU","2 out of 5 stars","F","3.3","-0.4","27% (3/11)","3%","Bad"
"61","Tyrone Tracy Jr.",NYG,"at WAS","4 out of 5 stars","F","3.1","-3.1","0% (0/1)","3%","Bad"
"62","Cordarrelle Patterson",PIT,"at DEN","5 out of 5 stars","F","2.9","-0.3","35% (5/14)","4%","Bad"
"63","Emari Demercado",ARI,"vs. LAR","1 out of 5 stars","F","2.9","+1.5","53% (7/13)","4%","Bad"
"64","Blake Corum",LAR,"at ARI","4 out of 5 stars","F","2.9","-6.6","0% (0/1)","0%","N/A"
"65","Eric Gray",NYG,"at WAS","4 out of 5 stars","F","2.8","-0.4","25% (2/8)","9%","Bad"
"66","Ty Johnson",BUF,"at MIA","4 out of 5 stars","F","2.6","-0.1","30% (3/10)","8%","Bad"
"67","Ronnie Rivers",LAR,"at ARI","4 out of 5 stars","F","2.5","-1.5","37% (3/8)","0%","N/A"
"68","Kyle Juszczyk",SF,"at MIN","2 out of 5 stars","F","2.4","+0.8","37% (6/16)","6%","Bad"
"69","D'Onta Foreman",CLE,"at JAC","3 out of 5 stars","F","2.2","+1.0","55% (5/9)","0%","N/A"
"70","Isaac Guerendo",SF,"at MIN","2 out of 5 stars","F","2.2","-1.4","0% (0/1)","0%","N/A"
"71","Dameon Pierce",HOU,"vs. CHI","3 out of 5 stars","F","1.9","-2.3","30% (4/13)","3%","Bad"
"72","Carson Steele",KC,"vs. CIN","3 out of 5 stars","F","1.9","-0.9","0% (0/1)","1%","Bad"
"73","Dare Ogunbowale",HOU,"vs. CHI","3 out of 5 stars","F","1.6","-0.4","25% (2/8)","0%","N/A"
"74","Trey Sermon",IND,"at GB","4 out of 5 stars","F","1.5","-0.8","25% (3/12)","0%","N/A"
"75","Alec Ingold",MIA,"vs. BUF","4 out of 5 stars","F","1.4","0.0","43% (7/16)","1%","Bad"
"76","Deuce Vaughn",DAL,"vs. NO","3 out of 5 stars","F","1.3","-0.5","33% (2/6)","1%","Bad"
"77","Christian McCaffrey",SF,"at MIN","2 out of 5 stars","F","1.3","+2.1","60% (9/15)","0%","N/A"
"78","Travis Homer",CHI,"at HOU","2 out of 5 stars","F","1.0","-1.0","12% (1/8)","2%","Bad"
"79","C.J. Ham",MIN,"vs. SF","3 out of 5 stars","F","0.8","-0.4","25% (4/16)","0%","N/A"
"80","Roschon Johnson",CHI,"at HOU","2 out of 5 stars","F","0.8","-1.7","21% (3/14)","0%","N/A"
"81","MarShawn Lloyd",GB,"vs. IND","4 out of 5 stars","F","0.8","-","-","0%","N/A"
"82","Will Shipley",PHI,"vs. ATL","3 out of 5 stars","F","0.8","-1.1","0% (0/1)","0%","N/A"
