"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","CeeDee Lamb",DAL,"vs. DET","5 out of 5 stars","A+","19.0","+3.6","56% (9/16)","13%","Average"
"2","Ja'Marr Chase",CIN,"at NYG","2 out of 5 stars","A+","18.2","-0.2","40% (6/15)","10%","Great"
"3","Amon-Ra St. Brown",DET,"at DAL","3 out of 5 stars","A+","17.7","+1.8","66% (10/15)","17%","Good"
"4","Drake London",ATL,"at CAR","4 out of 5 stars","A+","16.8","+0.9","40% (6/15)","22%","Good"
"5","Jayden Reed",GB,"vs. ARI","2 out of 5 stars","A+","15.9","+5.4","73% (11/15)","8%","Great"
"6","Chris Godwin",TB,"at NO","2 out of 5 stars","A+","15.9","+0.8","41% (7/17)","11%","Good"
"7","Stefon Diggs",HOU,"at NE","3 out of 5 stars","A","15.6","-2.5","31% (5/16)","9%","Great"
"8","A.J. Brown",PHI,"vs. CLE","2 out of 5 stars","A","15.7","-0.1","41% (5/12)","16%","Great"
"9","Garrett Wilson",NYJ,"vs. BUF","1 out of 5 stars","A","15.5","-1.3","37% (6/16)","25%","Bad"
"10","Diontae Johnson",CAR,"vs. ATL","3 out of 5 stars","A","15.3","+0.1","56% (9/16)","31%","Bad"
"11","DK Metcalf",SEA,"vs. SF","3 out of 5 stars","A","15.0","+1.2","50% (8/16)","18%","Poor"
"12","DJ Moore",CHI,"vs. JAC","5 out of 5 stars","A","15.0","+0.4","31% (5/16)","12%","Good"
"13","Deebo Samuel Sr.",SF,"at SEA","2 out of 5 stars","A","14.9","+1.4","53% (7/13)","17%","Poor"
"14","Zay Flowers",BAL,"vs. WAS","5 out of 5 stars","A","14.8","-0.4","50% (8/16)","11%","Poor"
"15","Brandon Aiyuk",SF,"at SEA","2 out of 5 stars","A","14.8","-0.5","50% (8/16)","11%","Bad"
"16","Wan'Dale Robinson",NYG,"vs. CIN","4 out of 5 stars","A-","14.6","+1.0","56% (9/16)","11%","Average"
"17","Terry McLaurin",WAS,"at BAL","5 out of 5 stars","A","14.3","-0.2","50% (8/16)","11%","Average"
"18","Marvin Harrison Jr.",ARI,"at GB","4 out of 5 stars","A-","14.2","-0.7","40% (2/5)","26%","Good"
"19","Tee Higgins",CIN,"at NYG","2 out of 5 stars","A-","14.2","+1.6","36% (4/11)","16%","Poor"
"20","Mike Evans",TB,"at NO","2 out of 5 stars","A-","14.1","+1.9","58% (10/17)","22%","Good"
"21","DeVonta Smith",PHI,"vs. CLE","2 out of 5 stars","A-","13.5","+1.3","50% (7/14)","12%","Poor"
"22","Brian Thomas Jr.",JAC,"at CHI","1 out of 5 stars","B+","13.3","+4.7","80% (4/5)","13%","Great"
"23","Chris Olave",NO,"vs. TB","4 out of 5 stars","B+","13.0","-0.5","53% (8/15)","9%","Poor"
"24","Darnell Mooney",ATL,"at CAR","4 out of 5 stars","B","12.8","+0.7","40% (6/15)","29%","Average"
"25","Jaxon Smith-Njigba",SEA,"vs. SF","3 out of 5 stars","B","12.7","+0.7","58% (10/17)","23%","Bad"
"26","Tank Dell",HOU,"at NE","3 out of 5 stars","B","12.7","-0.1","40% (4/10)","13%","Bad"
"27","Amari Cooper",CLE,"at PHI","5 out of 5 stars","B-","12.4","+1.8","43% (7/16)","19%","Poor"
"28","Jameson Williams",DET,"at DAL","3 out of 5 stars","B-","12.6","+2.0","66% (10/15)","16%","Average"
"29","George Pickens",PIT,"at LV","4 out of 5 stars","C+","12.4","+0.2","31% (5/16)","20%","Bad"
"30","Rashid Shaheed",NO,"vs. TB","4 out of 5 stars","C+","12.2","+2.2","50% (7/14)","22%","Poor"
"31","Josh Downs",IND,"at TEN","1 out of 5 stars","B-","11.9","+0.2","35% (5/14)","10%","Poor"
"32","Keenan Allen",CHI,"vs. JAC","5 out of 5 stars","C+","12.1","-0.6","33% (4/12)","8%","Bad"
"33","Darius Slayton",NYG,"vs. CIN","4 out of 5 stars","C+","11.8","+2.0","50% (8/16)","5%","Good"
"34","Christian Kirk",JAC,"at CHI","1 out of 5 stars","C+","11.5","-1.7","50% (6/12)","8%","Average"
"35","Ladd McConkey",LAC,"at DEN","1 out of 5 stars","C+","11.4","-0.1","50% (2/4)","17%","Great"
"36","Calvin Ridley",TEN,"vs. IND","5 out of 5 stars","C+","11.3","-0.7","33% (5/15)","14%","Great"
"37","Courtland Sutton",DEN,"vs. LAC","1 out of 5 stars","C","11.2","+0.2","60% (9/15)","22%","Bad"
"38","Jalen Tolbert",DAL,"vs. DET","5 out of 5 stars","C","11.1","+1.0","37% (6/16)","21%","Poor"
"39","Rome Odunze",CHI,"vs. JAC","5 out of 5 stars","C","10.6","-1.2","20% (1/5)","16%","Bad"
"40","Dontayvion Wicks",GB,"vs. ARI","2 out of 5 stars","C","10.6","+1.5","71% (10/14)","13%","Good"
"41","Tyler Lockett",SEA,"vs. SF","3 out of 5 stars","C","10.4","-1.2","47% (8/17)","16%","Bad"
"42","DeAndre Hopkins",TEN,"vs. IND","5 out of 5 stars","C","10.3","-0.5","33% (5/15)","7%","Great"
"43","Michael Wilson",ARI,"at GB","4 out of 5 stars","C","10.3","0.0","50% (6/12)","14%","Poor"
"44","Michael Pittman Jr.",IND,"at TEN","1 out of 5 stars","C","10.1","+0.4","60% (9/15)","9%","Bad"
"45","Xavier Legette",CAR,"vs. ATL","3 out of 5 stars","C","10.2","-1.1","40% (2/5)","11%","Poor"
"46","Tre Tucker",LV,"vs. PIT","3 out of 5 stars","C","9.5","+2.2","50% (8/16)","9%","Great"
"47","Romeo Doubs",GB,"vs. ARI","2 out of 5 stars","C","9.5","+0.1","46% (7/15)","11%","Bad"
"48","Ray-Ray McCloud III",ATL,"at CAR","4 out of 5 stars","C-","9.5","+0.8","66% (6/9)","7%","Bad"
"49","Allen Lazard",NYJ,"vs. BUF","1 out of 5 stars","C-","9.3","+0.1","42% (6/14)","17%","Great"
"50","Jerry Jeudy",CLE,"at PHI","5 out of 5 stars","C-","9.1","-1.7","37% (6/16)","11%","Poor"
"51","Jauan Jennings",SF,"at SEA","2 out of 5 stars","C-","8.9","+1.8","50% (7/14)","15%","Average"
"52","Rashod Bateman",BAL,"vs. WAS","5 out of 5 stars","C-","8.6","+0.2","50% (8/16)","7%","Great"
"53","Quentin Johnston",LAC,"at DEN","1 out of 5 stars","C-","8.4","-0.1","43% (7/16)","23%","Great"
"54","DeMario Douglas",NE,"vs. HOU","3 out of 5 stars","D+","8.3","-0.7","46% (6/13)","7%","Bad"
"55","Keon Coleman",BUF,"at NYJ","1 out of 5 stars","D","8.3","-1.2","60% (3/5)","19%","Average"
"56","Alec Pierce",IND,"at TEN","1 out of 5 stars","D+","8.2","+2.8","56% (9/16)","7%","Great"
"57","Joshua Palmer",LAC,"at DEN","1 out of 5 stars","D","8.1","-0.7","25% (2/8)","12%","Bad"
"58","Ja'Lynn Polk",NE,"vs. HOU","3 out of 5 stars","D","7.7","-1.4","40% (2/5)","12%","Average"
"59","Gabe Davis",JAC,"at CHI","1 out of 5 stars","D","8.1","-2.5","18% (3/16)","16%","Bad"
"60","Andrei Iosivas",CIN,"at NYG","2 out of 5 stars","D-","7.5","+1.2","53% (8/15)","8%","Good"
