"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Saquon Barkley",PHI,"at TB","3 out of 5 stars","A+","16.4","+1.4","42% (6/14)","34%","Great"
"2","Breece Hall",NYJ,"vs. DEN","5 out of 5 stars","A+","15.4","+2.0","50% (8/16)","21%","Great"
"3","Bijan Robinson",ATL,"vs. NO","3 out of 5 stars","A+","14.8","-3.0","25% (4/16)","23%","Poor"
"4","Jordan Mason",SF,"vs. NE","2 out of 5 stars","A","14.8","+1.0","38% (5/13)","26%","Poor"
"5","Kyren Williams",LAR,"at CHI","3 out of 5 stars","A","14.6","+4.8","58% (7/12)","51%","Average"
"6","James Conner",ARI,"vs. WAS","4 out of 5 stars","A","14.4","+0.8","50% (6/12)","21%","Great"
"7","Jonathan Taylor",IND,"vs. PIT","2 out of 5 stars","A","14.2","+0.4","41% (5/12)","34%","Average"
"8","Derrick Henry",BAL,"vs. BUF","4 out of 5 stars","A","13.9","+1.4","62% (10/16)","36%","Great"
"9","Brian Robinson Jr.",WAS,"at ARI","4 out of 5 stars","A","13.3","+0.8","50% (7/14)","30%","Poor"
"10","Alvin Kamara",NO,"at ATL","3 out of 5 stars","A-","12.9","+2.0","50% (8/16)","27%","Great"
"11","De'Von Achane",MIA,"vs. TEN","2 out of 5 stars","A-","12.6","+2.4","54% (6/11)","35%","Bad"
"12","Aaron Jones",MIN,"at GB","4 out of 5 stars","A-","12.5","-1.9","41% (5/12)","34%","Poor"
"13","Najee Harris",PIT,"at IND","4 out of 5 stars","B+","12.1","+0.7","50% (8/16)","18%","Bad"
"14","Jahmyr Gibbs",DET,"vs. SEA","4 out of 5 stars","B+","12.0","+2.8","64% (9/14)","25%","Bad"
"15","David Montgomery",DET,"vs. SEA","4 out of 5 stars","B+","11.9","+2.8","71% (10/14)","19%","Great"
"16","Josh Jacobs",GB,"vs. MIN","2 out of 5 stars","B","11.6","-1.8","38% (5/13)","31%","Bad"
"17","James Cook",BUF,"at BAL","3 out of 5 stars","B+","11.4","+1.5","50% (8/16)","23%","Great"
"18","Zack Moss",CIN,"at CAR","4 out of 5 stars","B","11.4","+0.6","42% (6/14)","15%","Average"
"19","Chuba Hubbard",CAR,"vs. CIN","3 out of 5 stars","B","11.3","+1.0","31% (5/16)","8%","Great"
"20","Travis Etienne Jr.",JAC,"at HOU","2 out of 5 stars","B","11.3","+0.5","50% (8/16)","34%","Average"
"21","Kenneth Walker III",SEA,"at DET","3 out of 5 stars","B","11.2","-1.6","41% (5/12)","29%","Great"
"22","Tony Pollard",TEN,"at MIA","4 out of 5 stars","B","11.2","-3.6","31% (5/16)","16%","Great"
"23","Devin Singletary",NYG,"vs. DAL","3 out of 5 stars","B-","11.1","+0.8","56% (9/16)","14%","Great"
"24","J.K. Dobbins",LAC,"vs. KC","3 out of 5 stars","B-","11.0","+4.8","66% (2/3)","9%","Great"
"25","Rhamondre Stevenson",NE,"at SF","3 out of 5 stars","B-","10.8","-1.3","50% (6/12)","46%","Average"
"26","Jerome Ford",CLE,"at LV","4 out of 5 stars","C+","10.3","+0.2","37% (6/16)","11%","Great"
"27","Rachaad White",TB,"vs. PHI","2 out of 5 stars","C+","10.1","+0.5","56% (9/16)","28%","Bad"
"28","Rico Dowdle",DAL,"at NYG","5 out of 5 stars","C+","9.4","-0.8","20% (3/15)","7%","Great"
"29","Carson Steele",KC,"at LAC","2 out of 5 stars","C+","8.3","-0.8","0% (0/3)","20%","Bad"
"30","Braelon Allen",NYJ,"vs. DEN","5 out of 5 stars","C","7.9","+4.6","66% (2/3)","5%","Great"
"31","Zamir White",LV,"vs. CLE","3 out of 5 stars","C","7.9","-1.2","25% (4/16)","4%","Bad"
"32","Bucky Irving",TB,"vs. PHI","2 out of 5 stars","C","7.7","+0.6","66% (2/3)","2%","Bad"
