Patrick Mahomes,QB,,,,,,,,,,,,
OAK @ KC,,,,,,,,,,,,,
Sun 4:25pm,,,,,,,,,,,,,
26.2,"$8,600 ",3.04,25.80/39.31,348.33,2.6,0.78,4.23,18.63,0.18,0,0,0,0
Christian McCaffrey,RB,,,,,,,,,,,,
WSH @ CAR,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
25,"$11,000 ",2.28,0.00/0.00,0,0,0,23.29,108.29,0.92,5.25,45.76,0.26,7.16
Lamar Jackson,QB,,,,,,,,,,,,
SF @ BAL,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
24.7,"$8,700 ",2.83,21.24/32.04,247.02,1.57,0.68,10.67,65.93,0.49,0,0,0,0
Kyler Murray,QB,,,,,,,,,,,,
LA @ ARI,,,,,,,,,,,,,
Sun 4:05pm,,,,,,,,,,,,,
20.4,"$7,700 ",2.65,22.69/35.20,251.69,1.47,0.73,6.21,37.35,0.3,0,0,0,0
Jameis Winston,QB,,,,,,,,,,,,
TB @ JAC,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
19.6,"$7,600 ",2.57,22.15/36.97,288.73,1.85,1.2,3.29,14.31,0.16,0,0,0,0
Tyreek Hill,WR,,,,,,,,,,,,
OAK @ KC GTD,,,,,,,,,,,,,
Sun 4:25pm,,,,,,,,,,,,,
19.4,"$8,300 ",2.33,0.00/0.00,0,0,0,0.5,3.22,0.02,6.25,110.45,0.79,9.57
Leonard Fournette,RB,,,,,,,,,,,,
TB @ JAC,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
18.7,"$7,600 ",2.46,0.00/0.00,0,0,0,20.91,83.63,0.62,5.32,30.76,0.16,6.06
Carson Wentz,QB,,,,,,,,,,,,
PHI @ MIA GTD,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
18.4,"$7,300 ",2.52,20.65/32.96,216.57,2.04,0.64,4.11,17.33,0.17,0,0,0,0
Aaron Rodgers,QB,,,,,,,,,,,,
GB @ NYG,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
18.2,"$8,100 ",2.25,21.81/33.83,253.09,1.63,0.37,2.71,13.44,0.12,0,0,0,0
Saquon Barkley,RB,,,,,,,,,,,,
GB @ NYG,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
18.1,"$7,600 ",2.39,0.00/0.00,0,0,0,17.43,78.07,0.49,4.98,37.44,0.21,7.04
Le'Veon Bell,RB,,,,,,,,,,,,
NYJ @ CIN,,,,,,,,,,,,,
Sun 1:00pm,,,,,,,,,,,,,
